Date,Open,High,Low,Close,Volume
2025-02-14,1589.90,1589.90,1510.40,1510.40,458
2025-02-17,1434.90,1434.90,1434.90,1434.90,701
2025-02-18,1363.15,1363.15,1363.15,1363.15,754
2025-02-19,1295.00,1295.00,1295.00,1295.00,2175
2025-02-20,1231.00,1359.75,1230.25,1352.70,30545
2025-02-21,1399.80,1399.80,1305.00,1320.60,3159
2025-02-24,1310.00,1350.00,1254.60,1274.65,3663
2025-02-25,1278.00,1336.50,1274.90,1276.25,6701
2025-02-27,1279.00,1314.90,1255.00,1275.85,6308
2025-02-28,1270.70,1313.00,1240.00,1246.75,11674
2025-03-03,1299.00,1299.00,1199.40,1203.00,5939
2025-03-04,1240.00,1240.00,1151.05,1190.90,6870
2025-03-05,1163.00,1226.50,1163.00,1191.80,8204
2025-03-06,1220.00,1220.00,1171.10,1178.05,11712
2025-03-07,1183.10,1385.00,1182.00,1356.95,16299
2025-03-10,1365.00,1394.95,1308.25,1348.10,5756
2025-03-11,1327.95,1343.25,1232.05,1256.55,8537
2025-03-12,1244.40,1350.00,1240.05,1317.10,17682
2025-03-13,1308.70,1324.50,1271.00,1283.70,15687
2025-03-17,1290.15,1330.00,1260.05,1298.20,10270
2025-03-18,1298.00,1307.90,1262.75,1274.60,7374
2025-03-19,1296.75,1341.90,1260.05,1301.50,9167
2025-03-20,1302.30,1321.95,1265.00,1274.75,7289
2025-03-21,1284.55,1310.00,1281.15,1301.75,6211
2025-03-24,1310.00,1369.95,1276.00,1350.25,15255
2025-03-25,1351.40,1392.50,1272.00,1299.45,21208
2025-03-26,1291.00,1375.00,1249.90,1263.10,5149
2025-03-27,1251.00,1284.90,1251.00,1268.10,3139
2025-03-28,1280.05,1343.35,1251.10,1255.25,3547
2025-04-01,1255.90,1274.85,1216.50,1239.90,11761
2025-04-02,1249.50,1251.10,1194.95,1200.25,6913
2025-04-03,1200.40,1223.00,1183.00,1189.30,8344
2025-04-04,1178.00,1184.00,1135.00,1139.55,10729
2025-04-07,1076.00,1115.10,1020.00,1097.95,15890
2025-04-08,1093.45,1128.70,1084.05,1100.00,4064
2025-04-09,1083.50,1120.15,1067.55,1086.35,12388
2025-04-11,1090.00,1110.95,1086.00,1089.70,7330
2025-04-15,1089.70,1300.00,1089.70,1275.70,27057
2025-04-16,1300.00,1309.00,1250.00,1276.00,11039
2025-04-17,1275.00,1324.90,1245.00,1279.00,9728
2025-04-21,1261.00,1330.00,1261.00,1287.40,9682
2025-04-22,1289.40,1374.00,1281.00,1337.80,8462
2025-04-23,1337.80,1400.00,1308.50,1332.80,9140
2025-04-24,1341.40,1370.00,1321.00,1347.60,7244
2025-04-25,1355.10,1480.00,1345.00,1444.60,29647
2025-04-28,1390.50,1495.00,1390.50,1447.80,10432
2025-04-29,1438.90,1549.00,1438.90,1483.10,13478
2025-04-30,1495.00,1539.00,1461.50,1486.70,7429
2025-05-02,1465.00,1491.90,1439.10,1455.40,4447
2025-05-05,1440.00,1465.10,1428.50,1457.50,2577
2025-05-06,1450.00,1467.80,1427.00,1439.50,7105
2025-05-07,1432.90,1456.10,1381.00,1389.00,8463
2025-05-08,1392.00,1442.90,1342.30,1372.10,7893
2025-05-09,1350.00,1435.00,1350.00,1410.90,4761
2025-05-12,1500.00,1523.90,1426.20,1484.40,8097
2025-05-13,1479.60,1565.00,1479.10,1546.20,7822
2025-05-14,1555.00,1610.00,1540.20,1564.60,4632
2025-05-15,1570.00,1583.00,1526.10,1541.10,3094
2025-05-16,1515.00,1559.80,1501.00,1523.00,3270
2025-05-19,1522.80,1565.00,1453.10,1472.90,9699
2025-05-20,1455.00,1492.00,1455.00,1457.20,2355
2025-05-21,1457.20,1503.80,1420.00,1485.80,2579
2025-05-22,1471.40,1499.90,1460.20,1494.50,1658
2025-05-23,1458.30,1536.40,1458.30,1519.90,2705
2025-05-26,1500.00,1567.80,1500.00,1557.80,3589
2025-05-27,1528.90,1577.80,1523.80,1563.30,1926
2025-05-28,1554.50,1585.70,1536.00,1581.80,3924
2025-05-29,1590.00,1689.70,1577.20,1618.00,13331
2025-05-30,1620.00,1620.00,1538.20,1561.70,9977
2025-06-02,1561.70,1561.70,1509.90,1535.00,4648
2025-06-03,1530.00,1569.10,1528.20,1538.70,2157
2025-06-04,1540.00,1543.00,1515.30,1527.90,1717
2025-06-05,1527.90,1575.00,1516.80,1529.10,4281
2025-06-06,1539.60,1645.00,1539.60,1620.10,7383
2025-06-09,1620.10,1682.50,1620.10,1644.00,5662
2025-06-10,1649.80,1718.80,1637.00,1696.40,5534
2025-06-11,1705.00,1784.00,1672.00,1726.80,13236
2025-06-12,1707.20,1780.10,1707.10,1740.90,7807
2025-06-13,1701.00,1809.60,1692.10,1732.20,8410
2025-06-16,1740.60,1740.60,1681.10,1689.80,5554
2025-06-17,1685.00,1715.80,1635.00,1653.20,5098
2025-06-18,1652.70,1675.50,1623.50,1638.50,1982
2025-06-19,1629.70,1645.90,1564.10,1584.80,7246
2025-06-20,1590.00,1623.90,1590.00,1611.10,3864
2025-06-23,1611.10,1663.30,1587.20,1635.30,5453
2025-06-24,1680.00,1771.90,1680.00,1710.20,10751
2025-06-25,1723.70,1734.90,1670.00,1687.80,2950
2025-06-26,1700.00,1730.00,1673.20,1712.60,3154
2025-06-27,1712.60,1724.40,1692.10,1701.30,1128
2025-06-30,1760.80,1760.80,1690.00,1714.80,2274
2025-07-01,1695.00,1730.00,1683.00,1724.70,1825
2025-07-02,1702.00,1740.00,1687.50,1701.30,2105
2025-07-03,1706.20,1759.30,1699.80,1731.50,4353
2025-07-04,1731.60,1800.20,1725.10,1749.60,6087
2025-07-07,1749.70,1789.80,1688.00,1708.10,3200
2025-07-08,1730.40,1730.40,1680.00,1710.60,2960
2025-07-09,1714.60,1714.60,1682.00,1700.40,2963
2025-07-10,1700.30,1721.10,1691.00,1700.20,1006
2025-07-11,1709.10,1717.20,1682.00,1692.20,1942
2025-07-14,1740.00,1740.00,1652.20,1680.60,4207
2025-07-15,1740.00,1796.00,1690.20,1768.50,7826
2025-07-16,1768.50,1775.00,1740.00,1750.00,1414
2025-07-17,1766.80,1870.00,1740.10,1836.50,17655
2025-07-18,1860.00,1986.00,1825.00,1966.80,25358
2025-07-21,1966.80,2080.00,1916.90,2006.40,19225
2025-07-22,1985.00,2080.00,1985.00,2039.30,13124
2025-07-23,2031.30,2167.90,2011.10,2065.40,19379
2025-07-24,2070.00,2222.00,2008.00,2205.70,26414
2025-07-25,2205.70,2379.00,2168.20,2196.80,37691
2025-07-28,2180.00,2244.80,2045.00,2102.30,10774
2025-07-29,2115.00,2442.00,2114.90,2384.10,43995
2025-07-30,2365.00,2384.00,2289.50,2315.40,11347
2025-07-31,2315.40,2339.20,2241.30,2263.20,6631
2025-08-01,2250.10,2250.10,2105.00,2123.00,8275
2025-08-04,2123.10,2397.90,2123.10,2214.60,39659
2025-08-05,2232.30,2300.00,2212.10,2274.60,5927
2025-08-06,2237.00,2297.30,2150.00,2163.70,7657
2025-08-07,2145.00,2220.00,2092.20,2128.50,5465
2025-08-08,2128.50,2459.80,2101.50,2325.50,109651
2025-08-11,2404.00,2699.80,2404.00,2602.10,119675
2025-08-12,2659.30,2732.10,2458.90,2521.80,67196
2025-08-13,2526.80,2609.80,2460.00,2501.90,32939
2025-08-14,2521.90,2673.90,2500.10,2629.60,41526
2025-08-18,2667.00,2819.30,2603.20,2785.50,48565
2025-08-19,2785.70,2875.00,2781.80,2819.70,26824
2025-08-20,2840.00,2840.00,2670.00,2711.00,31409
2025-08-21,2711.00,2758.00,2689.20,2732.90,13409
2025-08-22,2732.90,2949.00,2732.90,2795.30,80368
2025-08-25,2848.00,2849.50,2663.00,2685.40,17294
2025-08-26,2684.00,2697.60,2566.50,2589.70,20257
2025-08-28,2550.90,2844.80,2550.90,2783.60,108917
2025-08-29,2770.00,2921.90,2722.40,2888.50,59644
2025-09-01,2875.00,2999.90,2875.00,2955.00,45566
2025-09-02,2999.30,3013.40,2811.00,2839.00,26296
2025-09-03,2843.00,2974.70,2830.00,2872.00,25345
2025-09-04,2906.50,2968.60,2820.00,2829.00,12175
2025-09-05,2830.00,2882.00,2775.50,2865.50,13047
2025-09-08,2877.70,2911.80,2780.00,2783.40,13902
2025-09-09,2772.00,2772.00,2665.00,2696.30,7406
2025-09-10,2720.00,2736.00,2575.50,2608.10,8836
2025-09-11,2560.60,2690.00,2560.60,2637.80,5406
2025-09-12,2638.30,2680.00,2600.00,2657.10,3248
2025-09-15,2650.00,2789.90,2643.90,2774.90,6271
2025-09-16,2790.00,2790.00,2658.00,2710.00,4210
2025-09-17,2739.80,2739.80,2580.00,2630.10,3702
2025-09-18,2620.10,2659.90,2557.20,2616.10,6375
2025-09-19,2620.00,2620.00,2552.00,2561.00,2492
2025-09-22,2540.00,2549.80,2475.00,2480.40,8621
2025-09-23,2472.00,2472.00,2400.00,2412.30,7098
2025-09-24,2401.90,2490.00,2380.10,2441.20,3315
2025-09-25,2441.20,2441.20,2390.00,2397.90,2265
2025-09-26,2372.00,2490.00,2310.10,2373.90,3286
2025-09-29,2385.00,2420.00,2325.00,2329.10,4716
2025-09-30,2341.80,2359.90,2260.00,2315.60,5847
2025-10-01,2340.00,2373.90,2303.90,2359.90,1423
2025-10-03,2357.40,2358.00,2311.90,2339.20,2664
2025-10-06,2330.00,2375.00,2280.00,2291.30,1650
2025-10-07,2246.00,2370.00,2246.00,2342.10,2802
2025-10-08,2330.00,2395.00,2303.30,2314.50,1856
2025-10-09,2311.00,2343.00,2237.20,2279.00,3989
2025-10-10,2271.00,2337.90,2223.00,2305.90,2360
2025-10-13,2305.00,2310.00,2236.40,2277.50,2507
2025-10-14,2270.00,2270.00,2200.00,2207.40,3606
2025-10-15,2200.00,2240.00,2142.80,2214.60,2155
2025-10-16,2205.00,2320.00,2182.80,2297.80,1590
2025-10-17,2300.00,2390.00,2282.80,2369.20,2028
2025-10-20,2438.10,2486.90,2378.00,2478.00,3846
2025-10-21,2500.00,2549.90,2468.00,2486.70,1392
2025-10-23,2500.00,2502.00,2363.10,2429.30,2359
2025-10-24,2410.00,2454.90,2400.00,2420.80,884
2025-10-27,2425.00,2498.00,2404.40,2440.10,2866
2025-10-28,2479.00,2479.00,2407.00,2427.60,1736
2025-10-29,2460.00,2460.00,2400.00,2440.70,1409
2025-10-30,2469.90,2478.00,2401.00,2463.90,1071
2025-10-31,2433.60,2480.00,2420.00,2448.50,735
2025-11-03,2489.00,2492.00,2420.10,2460.00,1049
2025-11-04,2438.00,2470.00,2380.00,2399.40,1964
2025-11-06,2519.30,2519.30,2519.30,2519.30,3754
2025-11-07,2645.20,2645.20,2600.00,2645.20,10029
2025-11-10,2659.00,2753.10,2513.00,2540.20,5582
2025-11-11,2525.90,2540.00,2470.50,2531.70,3457
2025-11-12,2531.00,2570.00,2450.10,2512.40,1868
2025-11-13,2512.40,2512.40,2422.00,2483.30,1902
2025-11-14,2475.00,2500.00,2400.00,2475.20,4141
2025-11-17,2445.00,2480.00,2410.00,2429.10,1969
2025-11-18,2425.00,2444.00,2400.00,2403.40,1554
2025-11-19,2403.40,2448.90,2335.00,2440.90,2280
2025-11-20,2430.00,2490.60,2430.00,2437.60,1163
2025-11-21,2411.00,2440.00,2350.00,2363.10,1842
2025-11-24,2380.00,2380.00,2295.00,2300.00,1852
2025-11-25,2273.00,2340.00,2263.00,2299.20,855
2025-11-26,2320.00,2344.00,2280.00,2335.00,1057
2025-11-27,2349.00,2350.00,2307.00,2333.50,392
2025-11-28,2357.90,2357.90,2270.00,2286.00,1500
2025-12-01,2265.80,2350.00,2244.00,2297.70,2088
2025-12-02,2281.00,2385.00,2281.00,2369.50,1774
2025-12-03,2355.00,2379.20,2301.00,2332.50,2933
2025-12-04,2331.00,2380.00,2300.00,2312.30,1327
2025-12-05,2312.30,2323.50,2257.00,2282.70,1155
2025-12-08,2251.00,2304.30,2190.20,2207.30,4080
2025-12-09,2197.80,2550.00,2110.00,2421.70,18003
2025-12-10,2452.00,2490.00,2346.20,2383.50,5824
2025-12-11,2393.40,2444.00,2350.00,2413.00,1672
2025-12-12,2409.00,2435.00,2312.20,2339.10,2080
2025-12-15,2315.00,2383.20,2268.50,2280.40,1967
2025-12-16,2280.40,2350.30,2234.00,2262.40,1686
2025-12-17,2255.40,2280.10,2210.00,2227.00,1631
2025-12-18,2228.00,2252.90,2172.00,2183.60,3034
2025-12-19,2183.70,2225.00,2156.20,2178.00,4482
2025-12-22,2179.00,2391.90,2179.00,2356.30,8903
2025-12-23,2356.30,2375.90,2251.00,2322.20,4395
2025-12-24,2322.20,2400.00,2283.00,2378.70,5283
2025-12-26,2354.90,2439.30,2354.90,2390.70,2817
2025-12-29,2392.10,2404.60,2298.90,2316.00,1540
2025-12-30,2300.70,2340.00,2280.00,2299.80,1132
2025-12-31,2314.30,2326.30,2203.10,2242.40,2487
2026-01-01,2253.70,2292.00,2244.30,2269.00,871
2026-01-02,2276.80,2310.00,2256.20,2302.60,1649
2026-01-05,2289.30,2354.60,2215.00,2310.30,5588
2026-01-06,2320.20,2380.00,2310.30,2333.50,1544
