Date,Open,High,Low,Close,Volume
2008-02-18,21.00,21.00,15.13,15.49,54460690
2008-02-19,15.53,16.29,14.81,14.91,16653990
2008-02-20,14.77,15.20,14.36,14.92,5728540
2008-02-21,14.20,15.70,14.20,14.69,4497040
2008-02-22,13.70,14.50,13.62,13.77,1786430
2008-02-25,13.90,13.98,13.01,13.50,1355040
2008-02-26,13.74,14.49,10.80,13.69,3056620
2008-02-27,13.71,14.28,13.11,13.46,1313500
2008-02-28,13.34,14.49,13.21,14.30,3005750
2008-02-29,14.11,15.10,14.11,14.60,1970090
2008-03-03,14.19,14.27,13.36,13.46,320560
2008-03-04,13.36,13.59,12.45,12.96,402940
2008-03-05,12.51,13.20,12.51,12.91,352790
2008-03-07,12.48,12.48,10.97,11.19,967470
2008-03-10,10.38,10.80,9.57,10.68,401240
2008-03-11,9.90,11.45,9.77,11.29,329500
2008-03-12,11.65,11.99,10.83,10.98,199480
2008-03-13,10.76,10.76,9.91,10.15,202310
2008-03-14,9.90,11.00,9.75,10.47,272330
2008-03-17,9.62,10.09,9.09,9.85,922210
2008-03-18,10.19,10.20,9.20,9.26,121570
2008-03-19,9.41,9.80,9.00,9.16,112770
2008-03-24,9.20,9.34,7.40,7.48,253110
2008-03-25,7.70,7.82,7.06,7.39,426360
2008-03-26,7.60,7.70,7.40,7.62,1769070
2008-03-27,7.07,7.99,7.07,7.88,229330
2008-03-28,7.31,8.35,7.31,8.23,739590
2008-03-31,8.39,8.60,8.20,8.46,304490
2008-04-01,8.00,9.70,8.00,9.27,512930
2008-04-02,9.62,9.98,9.10,9.33,180460
2008-04-03,9.10,9.29,8.86,8.93,82860
2008-04-04,9.00,10.30,8.62,9.23,750110
2008-04-07,9.60,9.65,9.00,9.23,113160
2008-04-08,9.05,9.25,8.82,8.98,69450
2008-04-09,9.03,9.75,8.91,9.32,174640
2008-04-10,9.50,9.60,9.00,9.12,173400
2008-04-11,9.20,9.39,9.00,9.09,56670
2008-04-15,9.03,9.30,8.81,9.22,82780
2008-04-16,9.06,9.70,9.03,9.28,183390
2008-04-17,9.32,9.47,9.20,9.26,84860
2008-04-21,9.50,10.05,9.40,9.84,255640
2008-04-22,10.00,10.90,9.90,10.76,472320
2008-04-23,11.41,11.79,11.03,11.23,368250
2008-04-24,11.55,11.55,11.04,11.11,160150
2008-04-25,11.45,11.45,10.74,10.87,67890
2008-04-28,10.99,11.00,10.20,10.35,132840
2008-04-29,10.27,10.55,10.10,10.51,101510
2008-04-30,10.50,10.69,10.10,10.23,114790
2008-05-02,10.60,12.28,10.60,12.24,1549940
2008-05-05,12.50,12.84,11.85,12.33,2105430
2008-05-06,12.39,12.80,12.05,12.34,657040
2008-05-07,11.61,12.30,11.52,11.72,390430
2008-05-08,11.30,11.97,11.23,11.84,401780
2008-05-09,11.32,11.91,11.00,11.16,117060
2008-05-12,10.40,11.10,10.40,10.64,128130
2008-05-13,10.60,11.48,10.60,10.92,222270
2008-05-14,10.80,11.20,10.60,11.07,74330
2008-05-15,11.50,11.99,11.00,11.16,78970
2008-05-16,11.60,11.65,11.30,11.37,172450
2008-05-20,11.20,11.54,11.15,11.32,89030
2008-05-21,11.10,11.50,11.10,11.40,145420
2008-05-22,11.41,11.41,11.13,11.21,36530
2008-05-23,11.23,11.40,11.11,11.23,76580
2008-05-26,11.40,11.40,10.50,10.79,101610
2008-05-27,10.90,11.10,10.50,10.58,96650
2008-05-28,11.18,11.18,10.36,10.45,53290
2008-05-29,10.55,10.80,10.30,10.32,61110
2008-05-30,10.31,10.60,10.09,10.24,68210
2008-06-02,10.16,10.38,9.51,9.66,74420
2008-06-03,9.10,9.49,8.81,9.32,68550
2008-06-04,9.39,9.39,8.50,8.76,51690
2008-06-05,8.70,9.16,8.40,9.02,98820
2008-06-06,9.06,9.31,8.82,9.05,42020
2008-06-09,8.39,9.19,7.72,8.57,77750
2008-06-10,8.32,8.66,8.32,8.57,44680
2008-06-11,8.70,8.95,8.40,8.62,69730
2008-06-12,8.20,8.90,8.20,8.71,25030
2008-06-13,9.00,9.00,8.55,8.79,19260
2008-06-16,8.70,9.00,8.70,8.85,36500
2008-06-17,8.62,9.09,8.62,8.93,97440
2008-06-18,8.70,9.19,8.70,8.98,33650
2008-06-19,8.70,8.89,8.40,8.62,18960
2008-06-20,8.80,8.89,7.67,8.07,68340
2008-06-23,7.67,8.27,7.60,8.14,109230
2008-06-24,8.15,8.30,7.95,8.00,37220
2008-06-25,7.80,8.09,7.75,7.99,537860
2008-06-26,7.90,8.20,7.57,7.78,497680
2008-06-27,7.99,7.99,7.20,7.33,234660
2008-06-30,7.11,7.40,6.58,6.83,29000
2008-07-01,6.80,6.80,6.15,6.25,30480
2008-07-02,5.95,6.30,5.00,5.28,338510
2008-07-03,5.24,5.27,4.90,5.13,226040
2008-07-04,5.40,5.98,5.00,5.67,147320
2008-07-07,5.60,6.00,5.60,5.77,136170
2008-07-08,5.48,5.70,5.20,5.47,57100
2008-07-09,5.98,6.00,5.21,5.35,393090
2008-07-10,5.64,5.80,5.42,5.53,370990
2008-07-11,5.65,5.90,5.55,5.58,200750
2008-07-14,5.65,5.65,5.35,5.38,111480
2008-07-15,5.27,5.32,4.95,5.00,95980
2008-07-16,5.20,5.20,4.85,4.94,140010
2008-07-17,5.10,5.50,4.90,5.08,80280
2008-07-18,5.18,5.38,5.12,5.20,395120
2008-07-21,5.30,5.30,5.15,5.22,39550
2008-07-22,5.28,5.55,5.28,5.36,88600
2008-07-23,5.52,6.29,5.51,6.13,344290
2008-07-24,6.00,6.95,6.00,6.27,445630
2008-07-25,6.40,6.40,6.00,6.00,63350
2008-07-28,6.00,6.30,5.80,6.22,40690
2008-07-29,5.92,6.17,5.90,5.97,53170
2008-07-30,5.90,6.42,5.90,6.12,112950
2008-07-31,6.21,6.32,6.12,6.16,87270
2008-08-01,5.98,6.50,5.98,6.41,130200
2008-08-04,6.45,7.20,6.30,6.79,193110
2008-08-05,7.00,8.00,6.95,7.13,253340
2008-08-06,7.30,7.70,6.81,6.90,232790
2008-08-07,6.67,6.99,6.62,6.70,81230
2008-08-08,6.80,6.84,6.30,6.50,137620
2008-08-11,6.85,6.85,6.51,6.69,244620
2008-08-12,6.70,6.80,6.61,6.67,165720
2008-08-13,6.41,6.76,6.41,6.66,42020
2008-08-14,6.42,6.55,6.32,6.43,43500
2008-08-18,6.44,6.90,6.43,6.70,352100
2008-08-19,6.50,6.96,6.43,6.89,234810
2008-08-20,6.95,7.38,6.81,7.19,306090
2008-08-21,7.14,7.18,6.95,6.98,150560
2008-08-22,6.86,7.15,6.81,6.91,141240
2008-08-25,7.33,8.10,7.01,7.92,767360
2008-08-26,8.30,8.77,8.20,8.29,4582180
2008-08-27,8.18,8.33,7.48,7.62,872440
2008-08-28,7.51,7.59,7.15,7.19,283150
2008-08-29,7.58,7.58,7.11,7.23,307940
2008-09-01,7.10,7.39,7.00,7.06,134320
2008-09-02,7.23,7.58,7.17,7.39,213340
2008-09-04,7.34,7.69,7.30,7.36,161120
2008-09-05,7.15,7.27,7.10,7.13,83650
2008-09-08,7.20,7.46,7.08,7.13,180580
2008-09-09,7.00,7.30,6.91,6.97,114810
2008-09-10,6.81,7.14,6.70,6.75,141930
2008-09-11,6.98,6.98,6.50,6.58,135150
2008-09-15,6.15,6.15,5.27,5.61,284440
2008-09-16,5.10,5.80,5.10,5.68,101140
2008-09-17,5.99,6.00,5.62,5.67,113610
2008-09-18,5.50,5.60,5.12,5.50,81750
2008-09-19,5.60,6.00,5.53,5.76,72980
2008-09-22,5.72,5.80,5.56,5.60,101620
2008-09-23,5.33,6.59,5.33,5.76,127060
2008-09-24,5.67,5.99,5.65,5.92,92120
2008-09-25,5.80,6.15,5.80,6.00,103810
2008-09-26,6.00,6.12,5.22,5.43,96490
2008-09-29,5.43,5.79,5.10,5.32,53780
2008-09-30,4.38,5.67,4.38,5.32,97210
2008-10-01,5.25,5.48,5.25,5.35,25810
2008-10-03,5.60,5.60,5.10,5.12,39390
2008-10-06,5.30,5.30,4.72,4.82,64350
2008-10-07,4.91,5.00,4.53,4.58,31890
2008-10-08,4.40,4.40,3.72,3.92,108040
2008-10-10,3.70,4.00,3.65,3.75,65850
2008-10-13,3.30,4.47,3.30,4.16,58980
2008-10-14,4.50,4.90,4.03,4.47,99250
2008-10-15,4.20,4.29,4.00,4.12,24540
2008-10-16,3.90,4.28,3.60,3.98,45380
2008-10-17,4.05,4.12,3.73,3.83,23910
2008-10-20,3.75,3.90,3.71,3.77,41500
2008-10-21,3.71,3.95,3.70,3.95,5930
2008-10-22,3.72,4.14,3.72,3.78,9740
2008-10-23,3.73,3.78,3.45,3.57,50260
2008-10-24,3.32,3.50,3.27,3.33,54730
2008-10-27,3.20,3.26,2.86,3.01,53140
2008-10-28,3.10,3.60,2.90,3.26,13320
2008-10-29,3.36,3.90,3.17,3.42,34690
2008-10-31,3.30,3.70,3.05,3.16,183400
2008-11-03,3.30,3.48,3.21,3.27,126760
2008-11-04,3.23,3.65,3.15,3.49,117540
2008-11-05,3.80,3.90,3.30,3.54,327660
2008-11-06,3.40,3.58,3.16,3.42,58520
2008-11-07,3.32,3.60,3.32,3.42,32290
2008-11-10,3.46,3.46,3.27,3.31,261170
2008-11-11,3.23,3.38,3.02,3.12,127070
2008-11-12,3.00,3.20,2.92,3.15,84270
2008-11-14,3.05,3.20,2.92,3.01,50730
2008-11-17,2.90,3.05,2.80,2.85,47010
2008-11-18,2.70,3.00,2.65,2.84,72200
2008-11-19,2.82,3.00,2.72,2.87,26770
2008-11-20,2.75,2.75,2.45,2.56,96450
2008-11-21,2.50,2.76,2.50,2.58,44050
