Date,Open,High,Low,Close,Volume
2010-03-30,64.50,68.25,59.75,60.97,1087748
2010-03-31,61.22,63.49,57.76,58.58,224864
2010-04-01,57.83,59.67,57.50,58.56,53700
2010-04-05,58.75,60.50,58.75,60.05,51336
2010-04-06,58.78,60.46,58.30,59.44,36680
2010-04-07,59.97,60.47,58.78,59.67,38328
2010-04-08,59.04,60.01,59.04,59.40,11812
2010-04-09,58.75,59.97,56.25,59.29,18884
2010-04-12,57.75,60.72,57.75,60.04,50876
2010-04-13,60.00,60.31,59.00,59.19,14264
2010-04-15,59.00,59.50,58.50,58.86,17796
2010-04-16,58.25,58.75,57.50,57.86,20740
2010-04-19,55.25,58.00,54.01,56.67,10016
2010-04-20,56.76,62.00,55.25,60.70,68728
2010-04-21,60.50,61.67,60.00,60.91,36860
2010-04-22,60.31,63.95,60.25,61.11,81932
2010-04-23,61.01,64.20,59.53,63.10,84808
2010-04-26,65.00,67.50,65.00,65.61,298544
2010-04-27,65.97,68.00,65.50,66.05,104892
2010-04-28,65.00,66.24,63.20,64.00,60164
2010-04-29,64.90,65.62,62.59,63.97,60944
2010-04-30,65.25,66.25,63.29,63.85,70332
2010-05-03,64.49,64.49,62.28,62.76,19648
2010-05-04,62.84,63.58,60.38,60.84,20700
2010-05-05,58.62,59.74,57.50,59.01,37332
2010-05-06,58.50,61.25,58.50,59.38,20812
2010-05-07,57.78,58.65,57.78,57.92,16600
2010-05-10,57.92,59.00,57.50,58.64,24376
2010-05-11,60.44,60.44,58.28,58.84,14120
2010-05-12,58.38,59.50,57.90,58.15,12816
2010-05-13,58.15,59.50,58.12,58.74,13808
2010-05-14,58.06,58.97,57.15,57.50,16308
2010-05-17,57.99,57.99,56.36,56.83,5956
2010-05-18,57.50,58.00,56.56,56.91,13224
2010-05-19,56.25,57.34,55.50,55.56,15988
2010-05-20,55.00,56.86,55.00,55.34,10876
2010-05-21,54.75,55.25,53.75,54.64,12716
2010-05-24,56.25,56.99,54.72,55.20,13028
2010-05-25,55.00,55.00,53.01,54.09,24508
2010-05-26,53.50,54.88,53.50,54.08,11492
2010-05-27,53.50,54.67,53.50,53.58,5652
2010-05-28,56.50,56.50,53.88,54.76,10308
2010-05-31,55.26,55.71,54.42,54.72,11964
2010-06-01,55.49,55.49,54.26,54.40,33740
2010-06-02,54.50,56.00,54.50,55.21,10624
2010-06-03,55.75,56.72,55.31,55.56,44600
2010-06-04,55.00,55.10,54.00,54.53,33896
2010-06-07,53.97,55.46,53.97,54.28,8492
2010-06-08,54.75,54.75,53.31,53.59,19736
2010-06-09,54.50,54.71,53.78,54.04,7796
2010-06-10,54.14,55.00,53.75,54.00,7372
2010-06-11,54.95,54.95,53.75,54.01,9244
2010-06-14,54.75,56.56,54.75,55.29,8548
2010-06-15,54.75,55.24,54.50,54.79,4172
2010-06-16,54.31,57.99,54.31,55.56,61404
2010-06-17,57.50,57.50,56.00,56.25,18132
2010-06-18,56.50,56.50,55.31,56.22,18740
2010-06-21,56.39,57.00,55.28,55.64,16640
2010-06-22,55.75,57.47,55.05,56.21,18348
2010-06-23,55.40,56.99,55.33,56.62,9448
2010-06-24,56.01,57.12,55.83,56.42,13184
2010-06-25,56.10,57.81,56.09,56.64,9872
2010-06-28,56.50,57.46,56.09,56.91,13452
2010-06-29,56.34,59.00,56.33,57.16,19212
2010-06-30,57.25,57.25,56.26,56.91,4220
2010-07-01,56.39,61.00,55.76,56.45,9556
2010-07-02,57.00,57.00,55.25,56.50,10872
2010-07-05,56.50,56.75,56.06,56.74,5648
2010-07-06,56.25,57.12,55.62,56.81,10648
2010-07-07,56.29,57.62,56.29,56.46,17496
2010-07-08,57.45,58.70,55.16,56.47,29088
2010-07-09,57.10,58.75,57.00,57.35,27836
2010-07-12,58.88,59.65,57.75,58.50,44028
2010-07-13,57.91,60.61,57.91,59.76,42516
2010-07-14,58.78,62.25,58.78,59.89,84072
2010-07-15,60.25,60.42,59.51,59.62,19712
2010-07-16,59.50,60.20,59.25,59.50,11464
2010-07-19,59.75,61.08,59.75,60.44,13452
2010-07-20,61.25,67.97,60.50,64.18,279356
2010-07-21,65.00,65.74,63.78,64.46,49984
2010-07-22,63.86,65.56,63.45,63.76,47224
2010-07-23,66.75,66.75,63.25,64.01,126624
2010-07-26,64.46,66.22,63.88,64.64,79496
2010-07-27,65.12,65.25,62.76,63.42,37812
2010-07-28,60.66,63.75,60.66,62.30,10900
2010-07-29,62.50,63.72,62.25,63.19,16040
2010-07-30,62.25,63.46,62.25,62.80,14304
2010-08-02,62.33,64.56,61.85,63.11,68500
2010-08-03,62.62,63.88,62.29,62.69,15160
2010-08-04,62.55,63.47,62.50,62.71,19032
2010-08-05,62.64,63.10,62.25,62.26,19900
2010-08-06,62.25,62.75,61.50,61.97,23128
