Date,Open,High,Low,Close,Volume
2001-12-31,2.00,2.00,2.00,2.00,100
2002-01-02,2.30,2.30,2.30,2.30,100
2002-01-03,2.20,2.50,1.90,2.50,2800
2002-01-04,2.30,2.30,2.00,2.00,400
2002-02-08,2.00,2.00,2.00,2.00,100
2002-02-12,2.00,2.00,2.00,2.00,100
2002-02-26,2.00,2.00,2.00,2.00,100
2002-03-26,2.00,2.00,2.00,2.00,1
2002-04-01,2.00,2.00,2.00,2.00,160
2002-04-18,2.35,2.40,2.20,2.40,320
2002-04-19,2.05,2.50,2.05,2.50,200
2002-04-24,2.50,2.50,2.50,2.50,100
2002-04-25,2.05,2.05,2.05,2.05,100
2002-04-26,2.05,2.50,2.05,2.50,700
2002-05-02,2.05,2.05,2.05,2.05,1000
2002-05-03,2.25,2.50,1.75,1.90,1202
2002-05-06,1.70,2.20,1.70,1.80,5706
2002-05-07,1.80,2.20,1.80,2.20,500
2002-05-08,2.60,2.60,2.60,2.60,1
2002-05-09,3.00,3.00,2.30,2.70,652
2002-05-10,3.20,3.20,3.20,3.20,1
2002-05-13,2.60,2.95,2.60,2.95,2
2002-05-14,2.80,2.95,2.80,2.95,501
2002-05-15,2.50,2.55,2.50,2.50,1100
2002-05-16,2.00,2.00,2.00,2.00,1
2002-05-17,1.60,1.60,1.60,1.60,1
2002-05-24,1.50,1.50,1.50,1.50,100
2002-05-27,1.40,1.40,1.40,1.40,1
2002-06-05,1.70,1.70,1.70,1.70,5
2002-06-06,1.80,2.05,1.80,2.05,3302
2002-06-07,2.45,2.45,2.20,2.40,322
2002-06-10,2.80,2.80,2.00,2.65,103
2002-06-11,2.65,2.65,2.15,2.65,2502
2002-06-12,2.15,3.00,2.15,2.30,302
2002-06-13,1.85,2.80,1.85,2.00,2002
2002-06-14,1.60,2.30,1.60,2.30,601
2002-06-17,1.85,2.75,1.85,2.75,2801
2002-06-18,2.75,3.30,2.75,3.30,2600
2002-06-19,3.00,3.00,2.70,2.70,1780
2002-06-20,3.25,3.25,3.25,3.25,1801
2002-06-21,3.90,3.90,3.85,3.90,17679
2002-06-24,4.60,4.70,4.05,4.70,10402
2002-06-25,5.00,5.65,5.00,5.65,27034
2002-06-26,6.70,6.80,6.40,6.80,15651
2002-06-27,7.85,8.20,7.00,8.20,28539
2002-06-28,9.85,9.85,9.10,9.85,28519
2002-07-01,10.70,11.40,8.10,9.30,70151
2002-07-02,8.55,9.25,7.45,7.45,25456
2002-07-03,6.10,6.85,6.00,6.65,47766
2002-07-04,6.60,7.90,6.60,7.50,37448
2002-07-05,7.50,7.95,7.30,7.40,32515
2002-07-08,6.60,8.00,6.10,7.10,21097
2002-07-09,7.70,7.70,6.85,7.05,22165
2002-07-10,6.90,6.90,5.80,6.00,32303
2002-07-11,6.10,6.90,5.85,5.95,19465
2002-07-12,6.30,6.30,5.20,5.45,17664
2002-07-15,5.60,5.60,4.50,4.65,22807
2002-07-16,5.60,5.60,4.70,4.75,11600
2002-07-17,5.70,5.70,4.45,5.30,2206
2002-07-18,6.30,6.30,5.05,5.15,2707
2002-07-19,5.00,5.00,4.75,4.90,2699
2002-07-22,4.50,4.50,4.35,4.35,410
