Date,Open,High,Low,Close,Volume
2025-02-03,92.35,92.35,84.90,88.44,117829
2025-02-04,88.44,91.00,86.00,88.92,116921
2025-02-05,90.78,93.36,90.43,93.32,78090
2025-02-06,101.97,102.65,95.80,102.04,132334
2025-02-07,104.00,109.00,102.54,106.31,158691
2025-02-10,108.00,110.78,100.00,104.89,106154
2025-02-11,104.12,106.00,96.01,99.86,60221
2025-02-12,103.11,103.11,96.22,100.31,42075
2025-02-13,103.06,103.21,95.40,97.62,21823
2025-02-14,97.00,97.70,87.85,89.68,44081
2025-02-17,98.59,98.59,80.71,86.62,35687
2025-02-18,88.53,91.00,88.11,88.69,16199
2025-02-19,81.08,97.55,81.08,95.98,26557
2025-02-20,104.50,104.50,92.10,94.62,21921
2025-02-21,97.44,97.61,91.55,92.69,9318
2025-02-24,92.69,92.69,87.00,88.04,23116
2025-02-25,90.32,96.84,88.00,90.25,36989
2025-02-27,91.15,99.20,87.30,96.84,147480
2025-02-28,99.95,99.95,90.25,92.71,37047
2025-03-03,92.71,94.85,84.00,87.92,44514
2025-03-04,86.90,90.10,84.02,87.42,66809
2025-03-05,88.75,94.19,85.50,92.73,98072
2025-03-06,101.80,101.80,89.50,90.27,42487
2025-03-07,91.26,94.00,88.91,90.01,13781
2025-03-10,90.01,91.06,86.00,86.55,26474
2025-03-11,86.28,90.90,86.28,88.38,7915
2025-03-12,89.89,90.89,85.00,87.86,3557
2025-03-13,87.84,90.00,85.25,87.28,16705
2025-03-17,87.27,92.00,86.41,87.79,55785
2025-03-18,91.80,91.80,86.12,87.14,11776
2025-03-19,91.00,93.00,86.98,92.35,46777
2025-03-20,93.16,95.52,88.40,90.52,10077
2025-03-21,88.02,96.50,88.02,93.81,97467
2025-03-24,96.50,96.50,92.12,94.71,79419
2025-03-25,98.00,98.00,92.00,92.13,14639
2025-03-26,92.50,94.91,88.19,90.53,14376
2025-03-27,89.80,90.95,87.50,88.33,14488
2025-03-28,97.00,97.00,89.01,90.49,23139
2025-04-01,90.50,95.69,90.50,91.40,11736
2025-04-02,93.90,93.90,88.03,88.57,11423
2025-04-03,92.00,92.00,89.00,90.47,5785
2025-04-04,86.26,91.90,86.26,90.79,7513
2025-04-07,89.90,90.29,83.24,89.11,10773
2025-04-08,88.00,92.31,87.50,89.66,6511
2025-04-09,89.68,90.99,87.00,88.69,1473
2025-04-11,85.26,95.00,85.26,93.20,35571
2025-04-15,94.12,107.10,93.62,104.06,385888
2025-04-16,107.80,108.12,100.03,104.60,183371
2025-04-17,102.15,105.99,99.16,103.39,234175
2025-04-21,103.39,113.00,100.49,108.18,794442
2025-04-22,108.00,111.40,106.61,110.88,154372
2025-04-23,113.60,116.50,108.46,110.53,300963
2025-04-24,111.41,114.00,109.21,110.97,120927
2025-04-25,113.19,113.19,102.92,106.63,106760
2025-04-28,108.17,109.02,100.51,102.36,85566
2025-04-29,103.43,106.68,98.00,98.54,89141
2025-04-30,100.00,102.90,95.26,101.74,83867
2025-05-02,103.25,104.61,98.21,99.62,82965
2025-05-05,98.21,101.86,98.21,100.13,73446
2025-05-06,100.29,101.90,96.63,100.62,101862
2025-05-07,101.00,101.00,93.00,96.27,144951
2025-05-08,97.40,98.25,90.00,94.19,75096
2025-05-09,87.15,110.00,87.15,106.89,114045
2025-05-12,106.00,107.75,99.91,103.87,219854
2025-05-13,102.30,107.50,101.01,104.57,190445
2025-05-14,104.90,109.50,101.00,102.71,340388
2025-05-15,103.53,105.51,101.31,102.19,81673
2025-05-16,102.19,103.15,99.63,100.34,150555
2025-05-19,101.00,105.84,101.00,101.97,227209
2025-05-20,102.65,110.45,100.70,102.42,485935
2025-05-21,103.24,104.99,102.14,104.19,174018
2025-05-22,105.23,105.83,101.42,103.02,125434
2025-05-23,102.69,104.87,101.51,103.72,86906
2025-05-26,104.75,109.74,103.59,105.30,218317
2025-05-27,105.30,110.00,104.06,107.15,250791
2025-05-28,108.01,108.01,102.41,103.50,102273
2025-05-29,104.28,107.99,102.03,106.08,196188
2025-05-30,107.15,114.80,105.10,107.31,1091531
2025-06-02,105.44,105.44,93.45,97.75,380981
2025-06-03,97.13,99.66,93.94,96.16,228362
2025-06-04,96.92,97.40,94.01,95.94,219639
2025-06-05,96.90,98.32,94.02,96.36,185094
2025-06-06,97.09,97.09,95.00,95.10,121574
2025-06-09,96.65,97.06,94.51,95.74,127189
2025-06-10,96.70,96.95,93.21,93.88,155248
2025-06-11,94.39,94.43,91.49,92.88,207200
2025-06-12,93.58,93.58,89.61,90.46,165945
2025-06-13,90.46,93.50,88.43,93.15,173246
2025-06-16,93.62,94.66,91.46,94.12,126477
2025-06-17,95.20,95.20,90.71,91.39,135167
2025-06-18,90.50,92.30,89.55,90.69,148761
2025-06-19,91.15,94.50,87.51,93.15,309300
2025-06-20,93.00,96.00,90.93,92.11,343896
2025-06-23,92.85,93.47,89.63,91.50,78630
2025-06-24,91.95,94.35,90.12,91.15,36816
2025-06-25,90.10,93.28,90.10,91.45,53743
2025-06-26,92.80,92.80,90.50,91.67,27108
2025-06-27,90.41,91.59,77.39,81.56,383733
2025-06-30,80.35,91.00,80.35,88.90,1079257
2025-07-01,88.90,88.90,83.50,84.15,119112
2025-07-02,84.57,84.95,80.10,81.69,98203
2025-07-03,82.00,83.30,80.98,81.65,346149
2025-07-04,82.27,84.00,81.02,81.92,27852
2025-07-07,81.10,83.21,78.21,79.31,35294
2025-07-08,79.96,79.96,75.55,77.96,405788
2025-07-09,76.80,80.91,76.80,79.32,171307
2025-07-10,79.95,80.01,77.70,78.84,36158
2025-07-11,78.00,78.60,73.28,74.15,113003
2025-07-14,73.52,74.86,73.00,73.89,24031
2025-07-15,74.33,76.10,73.00,74.67,139890
2025-07-16,74.45,77.99,74.10,77.50,96335
2025-07-17,77.69,77.70,74.85,77.26,23646
2025-07-18,77.64,77.64,74.61,75.24,28476
2025-07-21,76.00,77.09,72.25,74.48,208082
2025-07-22,73.00,75.95,72.93,73.43,16581
2025-07-23,74.20,74.26,72.50,73.05,3714
2025-07-24,73.56,80.00,72.66,74.71,228000
2025-07-25,75.21,76.44,73.11,75.16,99888
2025-07-28,76.40,76.40,70.10,70.96,40454
2025-07-29,70.96,74.40,69.96,73.13,15908
2025-07-30,74.58,74.58,71.00,71.25,27720
2025-07-31,71.26,71.45,69.62,70.69,21797
2025-08-01,70.70,78.12,69.11,73.77,34364
2025-08-04,75.25,78.79,72.90,75.93,68178
2025-08-05,77.00,77.00,73.61,74.61,13204
2025-08-06,73.96,76.73,72.23,73.47,12607
2025-08-07,71.02,73.55,71.02,72.84,6956
2025-08-08,74.30,74.30,71.52,72.18,4469
2025-08-11,73.50,75.40,71.94,74.45,25821
2025-08-12,75.85,80.69,71.30,72.42,131944
2025-08-13,72.00,74.00,71.00,73.12,18053
2025-08-14,72.72,74.00,71.00,73.29,26643
2025-08-18,76.99,76.99,72.82,73.12,81194
2025-08-19,73.50,74.13,71.55,72.28,11011
2025-08-20,71.66,75.70,71.25,74.31,96114
2025-08-21,75.06,78.88,75.02,76.12,333829
2025-08-22,77.00,77.00,74.00,74.14,9070
2025-08-25,75.55,78.00,74.00,75.85,61298
2025-08-26,73.99,76.00,73.25,74.56,24599
2025-08-28,75.00,75.90,73.33,75.08,31754
2025-08-29,74.96,80.00,73.99,79.02,187980
2025-09-01,78.40,80.25,75.51,76.09,42715
2025-09-02,76.09,79.80,75.15,76.48,26627
2025-09-03,75.00,78.49,74.86,77.07,93752
2025-09-04,77.10,78.49,73.50,75.24,30364
2025-09-05,76.48,78.02,75.00,75.49,19029
2025-09-08,75.49,76.90,74.50,74.97,11771
2025-09-09,74.10,77.11,74.10,74.80,17173
2025-09-10,74.80,79.00,74.27,77.42,120414
2025-09-11,77.50,78.44,76.25,77.88,16860
2025-09-12,79.40,79.40,74.35,77.14,100517
2025-09-15,78.40,78.40,73.30,73.71,110431
2025-09-16,73.67,75.20,71.74,72.36,56029
2025-09-17,72.36,82.75,72.36,78.70,483147
2025-09-18,79.00,88.25,79.00,84.47,1774711
2025-09-19,84.94,88.19,83.42,86.27,655068
2025-09-22,86.29,88.06,85.00,85.24,190710
2025-09-23,85.24,91.44,85.24,90.46,793766
2025-09-24,90.46,91.60,87.05,87.90,131935
2025-09-25,88.00,88.50,85.60,87.57,214452
2025-09-26,87.50,89.00,83.05,84.01,90344
2025-09-29,86.83,88.49,84.97,87.57,218493
2025-09-30,89.30,89.30,83.51,85.09,199857
2025-10-01,84.95,90.30,84.10,88.88,492585
2025-10-03,89.59,92.50,86.85,90.84,334472
2025-10-06,91.56,91.85,88.05,89.68,86478
2025-10-07,89.60,93.75,87.87,92.16,590014
2025-10-08,92.90,93.51,92.50,93.05,231675
2025-10-09,93.05,95.60,91.60,93.77,481004
2025-10-10,94.52,97.75,92.70,96.68,669286
2025-10-13,97.30,97.84,93.21,94.79,277498
2025-10-14,95.53,95.53,88.19,89.33,203497
2025-10-15,90.04,90.04,84.30,85.61,131374
2025-10-16,86.00,87.49,82.91,83.38,62433
2025-10-17,83.95,85.58,80.63,84.30,105483
2025-10-20,85.35,87.00,78.91,85.38,237788
2025-10-21,86.50,88.89,85.77,86.48,18911
2025-10-23,86.50,89.00,84.21,85.81,55914
2025-10-24,87.00,87.00,82.05,84.66,63689
2025-10-27,85.50,86.19,84.50,84.99,35196
2025-10-28,85.85,85.85,83.56,85.27,56534
