Date,Open,High,Low,Close,Volume
2005-12-01,77.40,118.40,77.40,107.84,143569855
2006-01-02,106.46,129.99,104.66,124.23,45570790
2006-02-01,125.34,129.16,110.40,116.37,11013255
2006-03-01,115.99,137.98,114.20,123.11,7909480
2006-04-03,124.00,156.98,115.80,135.11,7895990
2006-05-02,140.00,150.20,100.20,109.56,4783065
2006-06-01,112.00,131.99,75.30,130.84,3106260
2006-07-03,130.00,132.28,86.00,120.23,1350690
2006-08-01,120.00,164.80,118.60,147.17,4126070
2006-09-01,146.00,174.25,138.78,162.06,10959875
2006-10-03,162.40,190.60,158.40,180.24,6103215
2006-11-01,225.00,252.20,206.20,244.49,15043235
2006-12-01,245.00,294.80,238.24,268.21,11085050
2007-01-02,273.00,286.99,257.20,279.66,1869495
2007-02-01,285.60,292.00,234.20,256.51,1368900
2007-03-01,256.00,260.00,226.00,240.13,1270305
2007-04-02,236.01,278.75,230.71,257.35,526810
2007-05-03,269.60,331.80,249.80,306.29,5554000
2007-06-01,300.72,363.60,267.80,351.77,12377655
2007-07-02,359.00,359.00,300.20,306.94,6238035
2007-08-01,301.20,304.00,238.40,283.24,3706985
2007-09-03,286.00,298.00,258.06,268.37,2232530
2007-10-01,270.00,312.00,214.20,295.80,6992535
2007-11-01,300.03,328.00,265.00,309.57,2720590
2007-12-03,314.00,409.78,310.20,335.00,1357725
2008-01-01,338.00,350.00,235.02,293.69,1496640
2008-02-01,294.00,359.80,263.91,344.36,771125
2008-03-03,326.00,340.00,271.00,301.28,1078370
2008-04-01,300.20,327.80,286.14,319.86,1015255
2008-05-02,325.99,333.00,288.20,312.01,563415
2008-06-02,319.00,319.00,242.27,251.31,655095
2008-07-01,248.80,279.09,231.61,254.88,592160
2008-08-01,254.77,344.80,248.00,313.30,431275
2008-09-01,314.80,360.00,254.08,273.10,235630
2008-10-01,269.00,269.00,142.60,156.05,804828
2008-11-03,177.00,180.00,108.10,123.90,568345
2008-12-01,125.90,163.00,115.05,135.70,501036
2009-01-01,141.00,149.85,104.20,114.70,553619
2009-02-02,114.10,125.00,101.45,117.60,544000
2009-03-02,119.00,136.30,101.50,124.95,1218013
2009-04-01,126.95,208.00,122.00,169.60,1393155
2009-05-04,181.00,266.90,160.00,241.50,3502505
2009-06-01,245.00,264.70,213.00,228.05,4945395
2009-07-01,232.95,234.90,188.90,225.15,2183151
2009-08-03,226.50,283.95,218.50,267.80,4194547
2009-09-01,271.00,321.00,255.50,311.55,2974059
2009-10-01,313.00,360.00,292.90,317.45,2489612
2009-11-03,305.25,390.00,299.15,379.15,1559462
2009-12-01,385.15,393.70,326.10,371.75,1823349
2010-01-04,374.00,396.60,315.00,345.05,1838643
2010-02-01,347.00,361.30,318.00,332.60,1160547
2010-03-02,340.90,405.95,333.15,400.95,1946696
2010-04-01,408.00,422.40,389.00,394.85,1400028
2010-05-03,394.85,427.70,374.05,403.60,1190690
2010-06-01,400.00,429.90,379.70,382.80,995381
2010-07-01,382.80,389.90,347.70,358.25,930227
2010-08-02,360.45,371.70,322.65,362.90,1210484
2010-09-01,365.00,418.00,360.00,400.00,1487415
2010-10-01,401.50,423.40,396.00,415.95,768448
2010-11-01,415.05,488.00,401.80,416.80,761193
2010-12-01,418.00,454.85,365.05,406.05,881371
2011-01-03,408.00,430.90,354.00,391.30,184613
2011-02-01,392.20,399.85,315.00,321.00,697207
2011-03-01,318.05,365.00,302.05,348.35,691829
2011-04-01,349.00,390.00,337.00,364.45,373748
2011-05-02,369.00,395.00,345.25,360.05,550314
2011-06-01,367.95,402.00,343.05,372.60,446238
2011-07-01,373.10,389.00,361.00,383.70,114542
2011-08-01,380.00,395.00,322.05,324.90,1643996
2011-09-02,324.20,346.00,290.50,312.35,1119780
2011-10-03,306.05,324.00,301.15,310.20,1079936
2011-11-01,311.00,319.00,270.00,274.95,741574
2011-12-01,288.00,301.30,265.00,271.05,1509919
2012-01-02,270.00,308.95,260.35,291.40,1607497
2012-02-01,295.00,354.80,286.10,349.85,600819
2012-03-01,340.05,374.00,337.55,367.85,121221
2012-04-02,370.00,374.00,350.00,355.05,67873
2012-05-02,355.45,398.00,344.30,363.45,41072
2012-06-01,368.00,370.35,315.10,343.65,231877
2012-07-02,349.85,358.00,291.00,315.75,502536
2012-08-01,323.65,349.00,300.00,336.50,1135356
2012-09-03,345.00,380.00,332.00,355.50,154523
2012-10-01,356.05,391.00,351.00,391.00,928601
2012-11-01,385.20,401.85,332.70,339.20,391914
2012-12-03,340.00,361.15,317.50,328.05,255321
2013-01-01,338.00,344.00,310.95,323.00,343424
2013-02-01,321.50,328.00,309.60,319.75,121989
2013-03-01,312.05,329.75,305.05,317.90,617284
2013-04-01,314.95,325.00,300.00,306.20,729803
2013-05-02,305.00,324.40,276.30,313.65,1603786
2013-06-03,319.00,378.00,305.00,341.00,408659
2013-07-01,349.00,350.00,282.00,300.00,52876
2013-08-01,302.00,344.75,285.00,320.00,67787
2013-09-02,330.00,341.05,313.00,317.95,754859
2013-10-01,313.50,411.70,305.10,388.40,895576
2013-11-01,388.25,463.90,375.05,420.00,1101958
2013-12-02,424.25,495.00,415.10,478.10,2301550
2014-01-01,477.00,538.00,447.65,515.00,2135428
2014-02-03,515.10,581.55,507.05,568.55,948344
2014-03-03,565.50,587.00,526.05,558.85,1634204
2014-04-01,560.65,621.90,537.10,603.55,2270486
2014-05-02,608.00,804.00,582.10,755.35,3674046
2014-06-02,775.00,859.90,752.00,776.40,1392397
2014-07-01,777.00,808.00,701.60,779.70,4429855
2014-08-01,763.50,893.00,732.65,878.55,3590574
2014-09-01,884.50,1031.70,872.70,940.30,2437724
2014-10-01,950.00,975.00,866.45,939.65,813680
2014-11-03,947.50,1238.00,933.60,1208.75,2014522
2014-12-01,1201.00,1216.55,1007.55,1082.45,2417967
2015-01-01,1082.30,1189.40,981.45,1137.50,2498889
2015-02-02,1134.00,1178.00,1014.00,1134.80,1998507
2015-03-02,1134.00,1364.20,1124.20,1252.55,2190301
2015-04-01,1268.00,1283.00,977.15,1150.60,1465442
2015-05-04,1151.00,1230.00,991.00,1017.40,2168312
2015-06-01,1025.00,1037.25,925.50,1007.30,2711307
2015-07-01,1013.90,1049.00,965.70,994.55,1326560
2015-08-03,1030.00,1082.00,891.00,917.15,1704164
2015-09-01,920.00,1010.00,890.80,991.70,725698
2015-10-01,1008.50,1044.40,942.00,959.15,1104041
2015-11-02,959.15,974.00,878.00,883.85,1535644
2015-12-01,895.00,922.00,835.75,892.65,938714
2016-01-01,892.70,915.10,766.00,821.90,1366436
2016-02-01,829.60,850.00,701.90,807.05,1506628
2016-03-01,797.05,1074.70,795.65,939.80,1157409
2016-04-01,938.00,1044.00,936.90,990.90,723213
2016-05-02,989.80,1025.00,914.05,941.20,562884
2016-06-01,954.95,1080.90,941.00,1028.75,1161808
2016-07-01,1030.00,1056.90,980.00,1029.00,798935
2016-08-01,1035.95,1329.00,1006.20,1281.55,1045962
2016-09-01,1276.00,1315.00,1148.00,1289.45,625659
2016-10-03,1286.00,1357.00,1235.15,1292.80,914941
2016-11-01,1298.15,1354.90,1183.90,1334.75,1666919
2016-12-01,1340.00,1355.00,1240.00,1296.10,1165555
2017-01-02,1310.00,1439.00,1257.85,1354.35,1525394
2017-02-01,1358.45,1581.90,1294.00,1480.95,1346081
2017-03-01,1485.00,1675.00,1425.00,1587.85,1189861
2017-04-03,1561.85,1600.00,1439.90,1507.00,539042
2017-05-02,1528.95,1550.00,1302.00,1472.05,1049222
2017-06-01,1464.00,1498.00,1322.10,1395.30,1559841
2017-07-03,1395.30,1479.00,1364.00,1450.30,1081124
2017-08-01,1450.05,1485.50,1273.00,1311.10,1126755
2017-09-01,1311.10,1405.00,1288.00,1328.70,652379
2017-10-03,1328.70,1439.15,1328.70,1376.60,340447
2017-11-01,1384.95,1505.00,1354.00,1473.55,1352386
2017-12-01,1480.00,1709.75,1451.40,1550.35,949565
2018-01-01,1559.95,1658.20,1511.00,1535.85,752633
2018-02-01,1537.85,1540.15,1367.00,1439.60,1027515
2018-03-01,1447.85,1466.25,1320.55,1441.40,476863
2018-04-02,1454.00,1459.90,1382.05,1443.85,540645
2018-05-02,1450.00,1625.95,1392.05,1542.25,971780
2018-06-01,1556.15,1602.75,1440.10,1500.10,1093427
2018-07-02,1495.00,1708.00,1481.65,1650.00,734025
2018-08-01,1635.00,1880.00,1635.00,1758.75,733404
2018-09-03,1780.00,1825.00,1644.60,1778.10,820213
2018-10-01,1751.50,1774.80,1453.20,1712.90,991808
2018-11-01,1726.65,1783.20,1530.00,1699.85,958271
2018-12-03,1699.85,1775.00,1572.40,1677.15,494984
2019-01-01,1689.00,1725.00,1560.05,1607.20,824351
2019-02-01,1643.00,1748.90,1586.20,1715.40,303137
2019-03-01,1710.00,1865.00,1671.35,1796.10,710133
2019-04-01,1799.90,1845.10,1690.00,1814.70,345722
2019-05-02,1814.70,1824.80,1620.50,1788.40,605553
2019-06-03,1786.00,1850.00,1671.05,1793.55,428374
2019-07-01,1766.60,1847.85,1690.00,1705.05,464903
2019-08-01,1732.00,1739.25,1519.05,1534.65,621538
2019-09-03,1540.00,1826.95,1482.10,1784.05,821046
2019-10-01,1799.30,1799.30,1607.05,1733.25,446761
2019-11-01,1715.75,1818.00,1612.00,1644.25,539271
2019-12-02,1657.80,1716.00,1580.00,1649.50,364011
2020-01-01,1640.55,1889.00,1608.00,1776.20,839160
2020-02-01,1760.65,1989.95,1728.90,1788.65,841104
2020-03-02,1780.00,1850.00,1102.20,1393.25,1717718
2020-04-01,1393.25,1645.95,1220.00,1608.15,1211118
2020-05-04,1545.00,1717.70,1516.05,1663.85,1343188
2020-06-01,1690.00,1794.00,1566.05,1606.95,1055765
2020-07-01,1617.00,1775.00,1577.00,1654.15,755657
2020-08-03,1652.00,1889.95,1584.00,1801.65,1260560
2020-09-01,1800.20,1977.25,1677.25,1848.55,1203179
2020-10-01,1857.70,1886.35,1685.80,1699.20,560747
2020-11-02,1729.00,1955.00,1620.00,1856.35,895575
2020-12-01,1869.00,2184.25,1822.00,1974.35,1580536
2021-01-01,1975.00,2234.00,1913.00,1954.15,1814122
2021-02-01,1955.00,2079.85,1781.00,1819.25,865843
2021-03-01,1823.10,2095.00,1791.55,2052.70,2851506
2021-04-01,2084.55,2084.55,1830.00,1862.75,547901
2021-05-03,1862.00,2002.00,1814.00,1926.65,856434
2021-06-01,1927.65,2174.00,1896.55,2140.15,865737
2021-07-01,2179.50,2222.00,1963.05,2000.70,644708
2021-08-02,2018.95,2056.90,1897.05,2021.50,1205970
2021-09-01,2049.00,2198.35,1910.90,1955.30,1108858
2021-10-01,1939.50,1987.90,1840.00,1917.65,2226631
2021-11-01,1917.65,1974.90,1819.10,1897.65,911602
2021-12-01,1908.00,1925.00,1766.00,1872.45,616054
2022-01-03,1880.00,1944.00,1792.30,1889.00,654643
2022-02-01,1889.00,2000.00,1582.90,1624.20,1301254
2022-03-02,1605.50,1784.40,1475.05,1622.70,986501
2022-04-01,1631.20,1951.00,1612.40,1937.40,2326561
2022-05-02,1940.00,2350.00,1757.50,2277.75,2358673
2022-06-01,2285.75,2328.90,2025.00,2223.80,1315272
2022-07-01,2233.80,2489.00,2170.20,2398.60,1927892
2022-08-01,2412.35,2654.10,2358.00,2607.55,1872616
2022-09-01,2625.25,2723.90,2420.00,2509.20,1263414
2022-10-03,2472.15,2718.85,2406.10,2681.75,1086169
2022-11-01,2695.20,2821.25,2521.00,2700.10,1331233
2022-12-01,2714.00,2874.75,2493.30,2564.95,1110208
2023-01-02,2569.45,2911.25,2383.50,2747.45,2136621
2023-02-01,2743.50,2899.00,2640.00,2650.65,1337301
2023-03-01,2651.00,2960.00,2642.70,2903.10,1199846
2023-04-03,2918.40,2988.00,2620.00,2718.75,1005569
2023-05-02,2718.75,3094.70,2664.45,3064.70,2288611
2023-06-01,3058.00,3498.95,2994.35,3200.45,2050498
2023-07-03,3205.00,3617.60,3100.75,3458.35,1705890
2023-08-01,3469.95,3720.00,3326.00,3695.15,2276312
2023-09-01,3720.00,3824.00,3365.25,3512.70,1608443
2023-10-03,3502.30,3598.00,3340.05,3515.55,1070157
2023-11-01,3543.00,3830.00,3404.60,3591.65,1878921
2023-12-01,3600.05,3781.30,3488.05,3689.50,1024334
2024-01-01,3707.95,4235.00,3525.75,4107.35,1842679
2024-02-01,4074.00,4630.00,3634.90,3645.50,2445081
2024-03-01,3643.00,3975.00,3554.10,3915.25,1066436
2024-04-01,3935.90,4206.40,3755.55,3797.20,1596125
2024-05-02,3785.00,3897.90,3592.05,3676.30,2554032
2024-06-03,3725.00,4339.70,3567.35,4178.55,2170626
2024-07-01,4222.85,4795.00,4167.70,4621.35,2051347
2024-08-01,4645.70,4949.95,4282.95,4295.25,1981245
2024-09-02,4317.90,4449.90,4209.20,4336.40,1197875
2024-10-01,4325.80,4397.95,3700.00,3819.75,1635203
2024-11-01,3831.75,3870.00,3337.00,3499.25,1224886
2024-12-02,3539.10,3599.00,3280.10,3402.65,1386067
2025-01-01,3402.00,3717.85,3275.05,3680.60,1218623
2025-02-01,3678.50,3774.60,3105.00,3141.25,1060891
2025-03-03,3135.25,3460.00,3093.30,3351.70,637420
2025-04-01,3320.00,3359.45,3027.20,3193.90,1224097
2025-05-02,3190.00,3620.00,3080.00,3497.90,1370094
2025-06-02,3496.00,3550.00,3200.00,3309.80,1599522
2025-07-01,3317.00,3529.40,3125.00,3132.60,1091963
2025-08-01,3133.00,3274.90,3001.10,3056.30,1284067
2025-09-01,3100.00,3160.00,3002.00,3053.30,2297590
2025-10-01,3053.30,3403.00,3053.30,3249.90,1609119
2025-11-03,3258.00,3885.70,3220.00,3862.60,2119557
2025-12-01,3898.70,4080.00,3618.90,4017.50,1432476
2026-01-01,4029.50,4168.70,3668.10,3989.00,1366056
2026-02-01,3901.10,4206.10,3802.40,3851.60,935800
2026-03-02,3662.00,3929.00,3252.70,3636.60,1989282
2026-04-01,3660.00,4110.00,3555.20,3949.60,857222
