Date,Open,High,Low,Close,Volume
2018-01-01,1175.00,1299.00,1115.00,1249.65,13962849
2018-02-01,1254.80,1328.90,1065.10,1092.20,4606454
2018-03-01,1093.00,1192.40,1059.95,1069.40,1617617
2018-04-02,1079.10,1163.75,1070.00,1138.70,531164
2018-05-02,1142.00,1202.00,1055.80,1080.15,595958
2018-06-01,1091.00,1091.00,880.10,911.05,540749
2018-07-02,940.00,1062.90,887.00,973.80,456664
2018-08-01,975.00,1025.00,899.15,984.35,337795
2018-09-03,975.00,1127.90,913.15,927.30,586097
2018-10-01,918.00,944.00,826.30,861.20,110791
2018-11-01,869.90,925.00,831.55,919.50,89884
2018-12-03,919.50,950.95,845.10,905.05,160583
2019-01-01,910.20,950.50,727.70,742.35,268955
2019-02-01,743.00,760.00,622.00,674.65,611016
2019-03-01,672.50,830.50,672.50,816.60,1382592
2019-04-01,828.45,866.00,770.00,783.20,609184
2019-05-02,791.95,873.70,701.00,835.25,369410
2019-06-03,843.05,851.00,790.00,824.75,150469
2019-07-01,820.00,860.00,772.25,785.45,182463
2019-08-01,780.00,870.05,750.80,826.05,381557
2019-09-03,830.30,1010.00,804.00,908.15,359745
2019-10-01,908.15,1060.00,861.25,1045.40,1034650
2019-11-01,1053.65,1055.00,964.25,1032.00,741645
2019-12-02,1040.00,1145.00,1002.80,1117.15,588202
2020-01-01,1120.00,1635.00,1109.50,1510.45,1916732
2020-02-01,1514.00,1695.00,1314.65,1371.20,1641427
2020-03-02,1382.00,1495.90,985.05,1230.45,1707899
2020-04-01,1228.00,1348.00,920.90,1071.95,2273718
2020-05-04,1045.00,1261.10,1010.00,1245.85,1459268
2020-06-01,1290.00,1618.05,1278.05,1437.85,1878507
2020-07-01,1449.95,1590.00,1426.55,1482.50,1277852
2020-08-03,1490.00,1870.30,1490.00,1733.50,3452422
2020-09-01,1730.00,2119.70,1706.05,2038.40,13673203
2020-10-01,2064.80,2544.20,1865.00,2180.40,7266729
2020-11-02,2185.00,2467.00,2085.00,2399.60,4455403
2020-12-01,2411.60,2524.95,2202.10,2352.80,2917531
2021-01-01,2365.25,2773.95,2365.25,2579.75,4357568
2021-02-01,2619.90,3315.00,2580.00,3232.70,3494461
2021-03-01,3281.00,3662.00,2990.00,3315.85,2463934
2021-04-01,3319.00,3389.40,3000.00,3099.30,1406341
2021-05-03,3090.00,3147.95,2683.60,2727.75,1775620
2021-06-01,2727.75,3030.00,2694.50,2926.20,3008443
2021-07-01,2928.00,3097.00,2870.90,2991.70,1812952
2021-08-02,3000.00,3055.00,2710.75,2894.90,791823
2021-09-01,2921.00,3310.00,2916.00,3263.70,1791639
2021-10-01,3240.00,3788.65,3175.55,3305.75,1968917
2021-11-01,3207.00,3608.85,2975.00,3029.45,1280897
2021-12-01,3080.00,3545.65,3029.00,3316.20,1497689
2022-01-03,3314.00,3705.00,3033.00,3610.05,1766147
2022-02-01,3651.00,3924.75,3089.00,3481.80,2087379
2022-03-02,3420.00,3823.05,3338.00,3523.25,1594368
2022-04-01,3540.00,3794.65,3441.80,3709.70,1131984
2022-05-02,3699.45,4025.95,2305.95,2633.00,5200661
