Date,Open,High,Low,Close,Volume
2022-11-01,287.00,319.90,250.10,254.15,54084293
2022-12-01,255.45,264.85,199.70,224.65,10644545
2023-01-02,225.80,228.10,190.10,192.90,4565106
2023-02-01,195.40,195.40,149.75,161.20,9261863
2023-03-01,162.05,177.00,138.00,145.45,5213891
2023-04-03,146.10,194.85,145.80,190.15,4476305
2023-05-02,186.35,209.90,178.10,199.95,9694537
2023-06-01,200.85,294.40,198.30,255.65,25996332
2023-07-03,256.00,304.90,252.00,285.85,17415121
2023-08-01,285.85,348.75,244.20,334.40,26317490
2023-09-01,337.50,351.00,288.60,294.00,13653441
2023-10-03,294.00,312.40,252.00,292.10,10724696
2023-11-01,298.00,382.00,272.80,360.15,34472073
2023-12-01,362.40,385.70,326.95,341.30,15242923
2024-01-01,341.30,393.00,337.10,344.60,21580981
2024-02-01,345.70,366.00,308.60,321.25,22216203
2024-03-01,323.75,333.25,235.30,294.20,14460457
2024-04-01,297.10,339.70,297.10,321.40,14866355
2024-05-02,321.95,347.50,296.00,310.85,20435538
2024-06-03,321.95,388.40,251.95,361.25,49835245
2024-07-01,365.00,451.90,351.70,383.45,49152859
2024-08-01,384.95,388.00,314.25,339.60,13576246
2024-09-02,348.00,355.00,320.25,328.20,5388074
2024-10-01,328.00,354.35,282.65,354.20,5181980
2024-11-01,358.00,358.00,295.50,335.45,7579820
2024-12-02,337.00,367.90,311.20,347.95,16905599
2025-01-01,349.95,393.00,301.45,328.40,22584999
2025-02-01,332.70,344.80,230.00,232.20,10415077
2025-03-03,234.00,258.26,214.00,229.19,15752461
2025-04-01,229.20,302.20,200.10,283.85,19097964
2025-05-02,285.00,363.75,255.80,305.90,26100974
2025-06-02,305.00,329.00,271.25,275.20,35685074
2025-07-01,276.30,297.80,251.55,262.00,20127541
2025-08-01,263.85,285.80,242.35,262.00,27962794
2025-09-01,263.95,286.00,235.00,242.05,17278689
2025-10-01,245.00,252.01,219.62,225.26,9534959
2025-11-03,225.26,227.98,178.00,185.34,12723634
2025-12-01,185.87,213.50,153.60,193.22,74396259
2026-01-01,194.18,203.20,157.00,177.09,14154825
2026-02-01,183.00,191.39,156.97,177.25,17275794
2026-03-02,169.00,208.49,153.30,154.23,203427781
2026-04-01,159.40,209.65,158.11,200.97,30219072
2026-05-04,202.50,225.96,187.15,195.90,28353094
2026-06-01,196.14,212.78,173.10,198.72,27419772
2026-07-01,199.89,212.99,175.65,180.37,17604644
2026-08-03,181.80,185.20,165.21,173.07,9712615
2026-09-01,171.90,178.15,156.12,163.10,5463463
