Date,Open,High,Low,Close,Volume
2005-05-02,7.60,8.40,7.24,7.65,256722518
2005-06-01,7.69,8.86,7.54,8.07,136355903
2005-07-01,8.21,9.37,7.65,8.41,76828113
2005-08-01,8.40,11.04,8.00,10.09,146459987
2005-09-01,10.19,17.31,9.85,13.36,375157396
2005-10-03,13.36,16.18,10.48,10.96,145394860
2005-11-01,11.88,14.15,10.96,13.07,43319350
2005-12-01,13.12,16.68,12.41,15.19,99720113
2006-01-02,15.24,16.28,14.35,15.06,38096771
2006-02-01,15.12,15.57,14.18,14.44,16134559
2006-03-01,14.40,19.02,13.72,16.90,25671264
2006-04-03,16.99,18.31,14.16,17.27,10410200
2006-05-02,17.46,21.43,13.75,15.39,24027885
2006-06-01,15.40,15.84,8.03,11.04,25914104
2006-07-03,10.57,11.47,9.02,11.00,17273822
2006-08-01,10.95,17.26,9.58,15.74,63446455
2006-09-01,15.90,18.18,14.55,17.56,70342128
2006-10-03,17.60,19.97,16.35,18.33,45566489
2006-11-01,18.86,29.07,18.41,25.86,170607244
2006-12-01,26.19,29.90,22.28,28.84,47190124
2007-01-02,28.93,37.51,28.71,29.95,55501894
2007-02-01,30.18,37.65,27.95,27.95,39602777
2007-03-01,28.32,34.82,24.07,31.62,11695812
2007-04-02,31.53,45.30,30.30,40.22,22167090
2007-05-03,41.06,63.91,37.85,62.20,87800058
2007-06-01,63.12,75.04,55.04,67.54,140901320
2007-07-02,67.54,80.52,65.94,71.22,133003385
2007-08-01,70.78,70.80,47.10,64.38,102847332
2007-09-03,65.13,83.73,62.89,79.29,88728547
2007-10-01,80.52,108.26,73.72,104.30,58026530
2007-11-01,106.48,124.98,91.09,118.91,25926200
2007-12-03,118.09,186.12,118.09,181.71,27556518
2008-01-01,183.41,186.43,95.34,109.50,32743515
2008-02-01,106.80,121.25,91.09,104.68,19913974
2008-03-03,102.89,102.89,61.92,71.27,30980921
2008-04-01,73.63,100.25,68.81,89.20,33076909
2008-05-02,90.62,95.34,66.76,67.50,22041215
2008-06-02,69.85,69.85,46.73,47.10,23236050
2008-07-01,47.20,69.76,44.89,61.69,38944276
2008-08-01,60.04,79.29,58.05,60.46,20134037
2008-09-01,59.94,67.68,40.12,45.55,21305404
2008-10-01,45.78,49.60,16.76,26.27,31080856
2008-11-03,25.49,30.68,16.28,16.85,22701600
2008-12-01,17.04,25.58,16.35,24.28,51008867
2009-01-01,24.54,33.84,19.23,21.50,75819942
2009-02-02,21.59,26.57,19.35,23.39,35414116
2009-03-02,23.32,31.03,18.97,27.40,30478797
2009-04-01,28.15,41.77,26.71,35.80,74161523
2009-05-04,37.29,78.54,37.29,71.76,87198862
2009-06-01,74.10,81.89,51.56,58.05,90501286
2009-07-01,58.05,67.30,50.74,64.61,127271354
2009-08-03,65.13,70.23,56.87,64.00,124432736
2009-09-01,64.78,74.93,60.93,70.32,72024394
2009-10-01,69.88,77.52,59.37,60.20,56139155
2009-11-03,59.94,70.70,57.58,62.30,40868177
2009-12-01,62.96,67.07,59.47,61.00,34611008
2010-01-04,61.45,69.05,52.08,55.79,41740994
2010-02-01,56.40,57.56,50.45,53.43,22592761
2010-03-02,54.18,58.97,53.59,53.90,23371774
2010-04-01,53.48,58.24,50.08,51.56,24584177
2010-05-03,51.16,53.00,44.27,45.64,33192306
2010-06-01,46.02,48.14,41.58,45.66,30903101
2010-07-01,45.78,49.32,42.01,43.04,37066565
2010-08-02,43.09,51.89,42.55,44.06,45662871
2010-09-01,44.37,55.48,43.56,53.57,53330657
2010-10-01,54.28,61.19,52.44,54.87,33278767
2010-11-01,55.36,58.53,34.29,39.22,45840459
2010-12-01,39.41,43.37,34.93,38.94,36236127
2011-01-03,39.29,40.31,33.82,35.82,30609400
2011-02-01,36.11,37.64,28.86,35.56,27646181
2011-03-01,35.61,39.36,31.39,35.40,18069049
2011-04-01,35.26,39.60,33.39,33.84,12307849
2011-05-02,34.05,37.95,31.48,37.17,16795649
2011-06-01,37.22,43.04,34.55,41.68,25907537
2011-07-01,41.63,42.83,37.59,38.99,10051587
2011-08-01,39.29,39.29,31.29,34.50,12054817
2011-09-02,35.26,37.19,31.72,32.85,15272081
2011-10-03,32.76,36.81,31.06,34.88,5679243
2011-11-01,34.93,34.97,25.11,28.06,10561094
2011-12-01,28.41,29.59,20.15,20.63,6917460
2012-01-02,20.46,27.35,20.25,25.11,5334434
2012-02-01,25.13,40.09,25.13,32.78,31113220
2012-03-01,32.57,36.72,28.32,31.65,16699610
2012-04-02,31.67,33.49,24.71,26.05,5316792
2012-05-02,26.43,26.43,19.12,23.74,12668419
2012-06-01,23.98,30.54,21.71,28.86,9154397
2012-07-02,29.26,30.54,22.75,24.26,6625138
2012-08-01,24.40,28.22,23.69,24.92,5815511
2012-09-03,25.65,29.52,24.78,27.33,7479487
2012-10-01,27.00,38.09,27.00,32.71,21960066
2012-11-01,32.92,38.37,31.46,36.67,7905159
2012-12-03,37.52,44.04,36.51,40.38,12583610
2013-01-01,40.80,43.09,35.21,40.00,9080900
2013-02-01,39.83,40.24,30.68,31.15,2992788
2013-03-01,31.15,32.76,25.77,29.03,3047808
2013-04-01,28.77,30.56,26.01,29.45,3208294
2013-05-02,28.79,36.53,28.58,28.96,4827994
2013-06-03,29.31,31.53,23.27,24.57,7855346
2013-07-01,24.54,27.04,22.37,23.76,3368194
2013-08-01,23.81,25.84,18.86,25.18,2881077
2013-09-02,24.59,25.18,21.90,22.37,4209582
2013-10-01,22.18,27.49,22.18,26.76,2490286
2013-11-01,26.27,31.01,26.19,28.55,3412063
2013-12-02,28.74,31.27,26.83,29.38,2574541
2014-01-01,29.38,34.67,27.71,29.90,4076623
2014-02-03,27.99,34.67,27.99,33.23,1643619
2014-03-03,33.70,37.76,32.97,37.48,3570349
2014-04-01,37.29,39.93,34.81,37.99,1633298
2014-05-02,37.57,57.16,36.25,51.40,7239152
2014-06-02,51.92,69.29,50.50,59.71,4084545
2014-07-01,59.47,63.48,52.60,61.45,2795585
2014-08-01,61.36,68.34,58.12,65.61,3939738
2014-09-01,65.84,76.04,62.49,71.43,8268688
2014-10-01,70.40,83.54,65.68,80.40,3838842
2014-11-03,80.85,92.27,78.87,84.48,2559244
2014-12-01,84.96,91.56,69.24,81.37,2473785
2015-01-01,80.24,92.74,75.14,84.30,2503842
2015-02-02,84.01,90.74,80.54,82.60,10644697
2015-03-02,83.52,93.83,79.39,83.78,6196369
2015-04-01,84.89,87.74,78.54,82.60,1976567
2015-05-04,79.91,89.42,79.91,88.73,2113391
2015-06-01,88.73,89.89,78.87,82.57,1295153
2015-07-01,82.43,106.64,81.18,92.86,10972863
2015-08-03,92.98,94.87,82.64,88.97,1950496
2015-09-01,89.68,91.21,85.45,89.27,5504765
2015-10-01,88.73,100.56,87.15,90.81,5982449
2015-11-02,91.56,101.57,85.76,99.49,5751098
2015-12-01,100.65,101.43,90.74,100.15,1641969
2016-01-01,100.32,106.38,89.04,98.41,2829873
2016-02-01,100.06,103.84,77.68,77.94,949053
2016-03-01,77.94,102.05,77.94,97.87,2162095
2016-04-01,97.08,106.42,95.68,103.57,793218
2016-05-02,103.09,104.52,93.59,94.80,872306
2016-06-01,96.92,113.07,95.04,106.66,5180963
2016-07-01,107.58,129.89,103.09,129.22,5396493
2016-08-01,127.32,148.13,125.95,132.64,5732518
2016-09-01,132.45,143.45,114.04,128.27,6563225
2016-10-03,131.93,162.67,124.88,159.30,3981986
2016-11-01,156.09,156.09,112.98,126.37,4945735
2016-12-01,125.78,130.63,118.77,123.74,3135966
2017-01-02,124.50,150.06,120.01,139.84,2907275
2017-02-01,139.84,187.18,137.85,176.71,7064465
2017-03-01,177.42,195.93,170.68,190.27,7186040
2017-04-03,191.84,244.48,187.02,227.14,4510245
2017-05-02,228.99,249.33,209.63,238.02,7243906
2017-06-01,239.54,299.30,234.95,287.67,9003760
2017-07-03,290.52,294.51,240.99,282.68,3506848
2017-08-01,284.10,305.34,263.67,294.65,3634439
2017-09-01,294.55,351.56,278.42,288.85,8048325
2017-10-03,292.18,309.95,271.60,300.22,3627827
2017-11-01,330.29,330.29,281.37,300.91,3802995
2017-12-01,301.89,329.58,278.00,328.26,2783275
2018-01-01,327.29,370.27,310.68,356.69,4021175
2018-02-01,366.37,424.84,335.98,371.25,7859763
2018-03-01,371.10,426.94,334.61,345.85,12625916
2018-04-02,349.88,393.75,339.77,374.43,3205989
2018-05-02,377.60,378.09,319.08,339.99,2705999
2018-06-01,339.01,365.39,322.50,327.29,3623190
2018-07-02,330.22,334.61,288.21,328.26,1686974
2018-08-01,341.72,368.32,326.99,358.35,3949371
2018-09-03,356.60,361.38,217.84,244.81,4319408
2018-10-01,244.83,258.90,166.57,224.73,10628588
2018-11-01,226.29,254.01,214.20,230.42,5898204
2018-12-03,232.96,251.08,204.21,246.73,1639219
2019-01-01,246.69,249.13,207.27,211.49,2071005
2019-02-01,208.61,214.62,145.08,157.29,7725987
2019-03-01,160.64,226.85,159.47,210.05,6914002
2019-04-01,213.35,232.03,201.33,210.54,2344431
2019-05-02,210.73,220.80,184.11,184.11,3173918
2019-06-03,174.93,174.93,135.78,138.16,2129410
2019-07-01,142.49,163.90,112.18,114.66,2366220
2019-08-01,114.66,125.29,95.96,114.80,1547826
2019-09-03,112.91,124.32,98.29,121.07,3690538
2019-10-01,125.10,130.93,98.97,110.73,3435436
2019-11-01,110.87,173.76,110.77,163.71,11919751
2019-12-02,161.33,169.68,131.27,136.03,6757817
2020-01-01,136.08,173.66,135.01,162.83,13088928
2020-02-01,164.05,206.78,144.53,158.22,9657439
2020-03-02,165.12,169.63,65.12,72.07,8668568
2020-04-01,72.07,87.12,70.90,74.93,3364815
2020-05-04,72.85,76.73,60.36,61.14,2794890
2020-06-01,63.13,84.21,56.48,71.73,37442284
