Date,Open,High,Low,Close,Volume
2015-08-03,1490.00,1498.00,1032.20,1211.75,508154
2015-09-01,1209.95,1248.00,997.30,1021.10,621914
2015-10-01,1030.00,1169.00,1011.00,1075.80,731398
2015-11-02,1078.00,1154.00,875.00,962.05,769641
2015-12-01,951.00,1285.00,915.00,1131.90,1170005
2016-01-01,1135.50,1230.00,911.10,1000.85,638671
2016-02-01,1012.60,1017.50,711.50,803.15,447546
2016-03-01,815.40,954.50,807.30,860.05,384400
2016-04-01,856.10,944.00,826.05,868.25,266341
2016-05-02,886.95,1017.00,818.30,832.95,1026976
2016-06-01,835.00,900.00,801.00,871.65,401125
2016-07-01,873.50,907.00,809.00,813.60,513114
2016-08-01,812.00,830.00,688.00,730.75,444938
2016-09-01,732.45,858.00,702.10,819.45,729365
2016-10-03,825.00,940.00,812.95,868.00,296666
2016-11-01,876.50,876.95,684.10,731.40,183092
2016-12-01,721.50,780.00,650.00,707.50,391491
2017-01-02,694.00,830.50,694.00,816.60,253385
2017-02-01,825.95,832.00,741.55,767.00,221328
2017-03-01,780.00,819.00,710.00,779.60,545242
2017-04-03,768.00,902.60,768.00,826.70,677813
2017-05-02,827.50,1110.00,812.05,1071.60,895898
2017-06-01,1079.60,1204.90,950.10,974.50,738019
2017-07-03,976.00,1001.35,871.00,909.40,304799
2017-08-01,920.00,930.00,860.00,884.40,265231
2017-09-01,890.00,935.70,840.40,860.90,370679
2017-10-03,871.00,1000.50,850.00,937.55,1025896
2017-11-01,925.05,967.00,825.50,927.60,617361
2017-12-01,927.55,980.00,883.60,957.70,397456
2018-01-01,965.00,1263.95,950.05,1019.90,2400916
2018-02-01,1021.40,1133.00,896.55,1073.25,695040
2018-03-01,1105.00,1105.00,963.55,1048.25,335072
2018-04-02,1050.00,1233.80,966.60,1199.80,1174826
2018-05-02,1201.00,1238.90,958.05,963.95,496918
2018-06-01,966.50,1010.90,830.25,855.90,447394
2018-07-02,860.60,921.00,833.00,882.70,159353
2018-08-01,883.00,1083.95,865.00,1013.55,706301
2018-09-03,1007.65,1038.00,681.85,732.90,270231
2018-10-01,735.00,765.35,653.70,746.75,214980
2018-11-01,750.75,858.80,665.20,670.45,287228
2018-12-03,670.95,798.85,616.75,763.70,412506
2019-01-01,771.00,771.05,675.00,689.75,86301
2019-02-01,698.95,756.95,648.70,709.00,141895
2019-03-01,698.00,798.60,661.65,718.10,201532
2019-04-01,723.65,731.15,648.00,652.15,139153
2019-05-02,655.05,675.00,523.00,623.15,160563
2019-06-03,611.00,619.60,475.00,543.25,113565
2019-07-01,540.00,583.80,390.00,400.05,243858
2019-08-01,400.05,409.70,300.20,365.00,503955
2019-09-03,355.70,412.20,335.60,398.90,314580
2019-10-01,399.00,430.15,335.55,415.80,340759
2019-11-01,415.05,428.80,336.20,351.35,152406
2019-12-02,357.00,371.95,306.00,363.20,150614
2020-01-01,370.85,448.20,344.05,352.20,914794
2020-02-01,352.20,360.00,270.05,278.90,275381
2020-03-02,280.40,293.70,93.70,116.60,682653
2020-04-01,122.40,181.10,120.40,149.90,419888
2020-05-04,145.00,160.15,125.00,160.15,183757
2020-06-01,168.15,301.65,168.15,234.05,1442958
2020-07-01,242.00,242.00,192.10,205.35,275047
2020-08-03,209.60,252.80,202.10,224.00,586363
2020-09-01,216.15,233.00,198.00,218.40,292764
2020-10-01,217.55,234.90,206.50,213.05,279655
2020-11-02,211.25,266.45,204.70,256.40,575658
2020-12-01,257.00,324.40,237.95,275.00,840055
2021-01-01,275.00,379.00,266.00,320.25,1702810
