Date,Open,High,Low,Close,Volume
2006-03-01,87.13,104.35,69.70,88.88,65079600
2006-04-03,90.20,99.22,79.56,87.03,13320712
2006-05-02,88.36,89.79,63.14,65.65,7508937
2006-06-01,68.88,72.55,42.36,53.92,8620532
2006-07-03,54.30,55.01,44.08,47.59,6074644
2006-08-01,47.77,57.81,41.00,53.40,6312634
2006-09-01,53.20,56.57,49.41,53.70,3960595
2006-10-03,54.00,69.47,52.39,63.64,6736049
2006-11-01,75.85,81.17,67.28,77.50,11961571
2006-12-01,78.31,81.78,64.01,75.83,3009502
2007-01-02,76.82,108.04,70.13,98.87,15572488
2007-02-01,99.63,122.80,89.79,109.08,7007649
2007-03-01,108.65,114.39,95.36,105.56,4647937
2007-04-02,92.91,125.24,92.91,111.86,4626483
2007-05-03,113.78,121.57,102.74,107.53,2228063
2007-06-01,107.63,118.88,101.58,114.86,4197863
2007-07-02,113.01,130.05,109.68,126.30,4504473
2007-08-01,123.24,127.72,107.65,117.52,2330639
2007-09-03,120.95,128.13,111.11,123.50,4563263
2007-10-01,121.19,158.67,115.83,152.18,6263132
2007-11-01,153.75,194.75,139.50,158.55,4622795
2007-12-03,153.96,186.14,153.96,167.49,2427405
2008-01-01,165.03,189.42,112.96,150.66,2460356
2008-02-01,133.46,160.52,127.31,149.97,1344176
2008-03-03,144.99,167.08,117.08,134.20,1796898
2008-04-01,125.32,138.38,115.29,124.41,3163088
2008-05-02,124.44,131.08,94.78,106.93,7398561
2008-06-02,104.79,107.82,74.73,82.84,2528800
2008-07-01,76.89,98.43,63.87,75.59,1435976
2008-08-01,75.85,89.18,68.47,80.20,2875820
2008-09-01,79.34,92.65,66.83,76.92,3813576
2008-10-01,76.12,78.09,23.11,23.18,3756415
2008-11-03,25.22,29.27,22.14,25.29,12372546
2008-12-01,25.24,33.95,22.44,33.77,7530059
2009-01-01,34.54,40.80,31.23,32.94,4408566
2009-02-02,32.80,33.21,25.43,25.95,1342020
2009-03-02,25.50,32.32,23.01,31.23,3011995
2009-04-01,30.14,46.54,30.14,42.29,2870317
2009-05-04,43.36,86.10,41.71,85.09,9079995
2009-06-01,84.67,90.14,69.92,83.54,4965898
2009-07-01,82.92,103.30,68.68,95.75,4754795
2009-08-03,95.43,113.98,85.28,110.14,4779337
2009-09-01,102.50,123.72,98.86,117.20,4283839
2009-10-01,116.14,127.51,104.77,113.39,2991844
2009-11-03,113.69,122.98,105.78,115.50,3328332
2009-12-01,113.78,121.96,110.71,120.73,3335098
2010-01-04,120.54,131.20,112.28,119.33,3649644
2010-02-01,115.62,140.22,112.96,116.91,1992132
2010-03-02,115.03,121.98,96.84,119.95,2193639
2010-04-01,117.88,132.10,113.78,115.24,2239122
2010-05-03,116.63,117.67,93.61,98.40,3289298
2010-06-01,97.17,102.71,93.32,99.11,1771205
2010-07-01,96.56,109.88,94.30,103.88,4195146
2010-08-02,104.96,104.96,90.41,93.33,2178127
2010-09-01,93.33,112.14,93.33,102.57,15084483
2010-10-01,102.71,106.59,98.66,100.02,4024195
2010-11-01,100.66,104.35,90.20,94.60,3562780
2010-12-01,93.48,109.40,84.27,103.75,4209586
2011-01-03,105.00,108.45,80.10,88.65,3868097
2011-02-01,90.00,93.90,73.40,79.05,4679219
2011-03-01,78.20,86.15,70.50,82.60,4813339
2011-04-01,83.20,95.35,74.85,84.90,3064734
2011-05-02,85.50,86.65,76.00,81.60,3044331
2011-06-01,82.85,86.25,77.10,79.35,4257025
2011-07-01,78.80,84.40,78.10,79.10,3446885
2011-08-01,79.85,94.00,60.80,62.40,2401761
2011-09-02,63.25,63.40,55.00,60.30,3865698
2011-10-03,58.00,60.20,53.60,57.50,1220009
2011-11-01,57.30,58.00,39.20,40.70,2991136
2011-12-01,41.70,42.95,31.10,35.10,4601466
2012-01-02,35.15,56.45,34.85,53.45,12522526
2012-02-01,54.10,65.00,53.50,62.00,8228960
2012-03-01,62.80,68.80,57.65,65.15,4822277
2012-04-02,65.15,68.00,56.60,57.05,3977498
2012-05-02,57.95,60.00,49.10,50.70,4417893
2012-06-01,50.50,59.00,47.65,55.80,4903640
2012-07-02,56.20,63.00,52.40,57.40,4438132
2012-08-01,54.30,61.90,54.30,56.25,2601105
2012-09-03,56.05,75.60,53.60,73.40,5397523
2012-10-01,74.60,80.80,61.55,63.50,7311873
2012-11-01,62.80,65.65,58.25,65.00,4718529
2012-12-03,63.50,69.90,63.10,66.70,2977307
2013-01-01,67.20,74.40,59.20,61.00,4698082
2013-02-01,61.00,61.80,48.50,50.60,6972897
2013-03-01,50.50,60.95,47.40,59.05,4007499
2013-04-01,60.00,61.10,49.30,53.80,4500739
2013-05-02,53.55,54.50,41.50,41.75,4228001
2013-06-03,42.85,42.85,26.50,31.90,4026076
2013-07-01,32.55,38.60,27.05,27.95,3261092
2013-08-01,29.50,30.25,22.80,24.00,3250058
