Date,Open,High,Low,Close,Volume
2025-10-01,82.45,91.50,76.67,80.50,549764
2025-11-03,74.00,85.00,66.11,69.03,1329050
2025-12-01,68.04,72.20,59.11,61.95,1638964
2026-01-01,62.48,68.39,44.02,50.04,1394347
2026-02-01,49.32,69.90,45.90,63.40,1186386
2026-03-02,66.99,74.95,55.61,59.13,1041929
2026-04-01,59.40,79.00,59.06,74.73,1234381
2026-05-04,74.99,78.00,67.55,70.02,593816
2026-06-01,69.90,74.95,52.05,66.86,1241174
2026-07-01,64.10,68.50,54.48,58.22,519882
2026-08-03,57.30,63.85,54.00,57.80,258454
2026-09-01,58.08,68.66,35.85,54.49,2364899
