Date,Open,High,Low,Close,Volume
2020-07-01,27.50,30.31,27.50,30.31,4164
2020-08-03,31.82,71.24,27.18,49.06,2181696
2020-09-01,47.05,47.99,32.92,33.42,996784
2020-10-01,33.42,43.79,30.00,36.84,1190488
2020-11-02,38.15,43.65,32.39,40.55,771068
2020-12-01,42.58,59.05,40.75,58.05,1534652
2021-01-01,57.00,66.75,48.75,52.12,883624
2021-02-01,51.65,66.69,50.75,59.35,575584
2021-03-01,58.75,60.88,44.55,46.84,316476
2021-04-01,48.67,53.76,46.28,48.35,196096
2021-05-03,49.95,62.00,46.50,53.47,744544
2021-06-01,53.70,81.12,51.59,70.93,5358940
2021-07-01,72.50,98.88,71.05,92.36,5361280
2021-08-02,94.50,107.50,81.53,104.91,587836
2021-09-01,105.00,110.75,98.00,101.38,310076
2021-10-01,102.50,103.75,87.54,90.32,538140
2021-11-01,93.38,96.90,80.39,81.11,877356
2021-12-01,81.31,102.24,75.16,97.03,1360784
2022-01-03,98.01,124.97,95.62,109.69,4323284
2022-02-01,114.97,114.97,84.53,99.39,1122692
2022-03-02,99.25,105.00,91.25,98.56,1163044
2022-04-01,99.75,103.50,85.25,95.59,2414968
2022-05-02,97.24,112.25,87.60,103.22,3765040
2022-06-01,101.28,104.21,75.16,90.24,1102404
2022-07-01,90.55,100.49,90.32,97.49,802032
2022-08-01,98.75,118.45,91.72,115.03,1558880
2022-09-01,114.47,129.95,105.15,112.68,1252320
2022-10-03,114.50,120.47,107.26,112.79,244800
2022-11-01,113.74,162.44,111.43,147.54,2163260
2022-12-01,148.73,152.21,119.25,148.16,751432
2023-01-02,148.77,157.36,136.00,150.10,951688
2023-02-01,151.50,178.75,129.41,135.31,2137584
2023-03-01,136.66,147.50,130.74,138.73,413828
2023-04-03,140.00,160.00,136.50,147.61,823008
2023-05-02,150.50,222.00,143.75,203.68,3949568
2023-06-01,206.25,214.74,195.60,204.50,1087816
2023-07-03,205.49,264.75,203.24,216.00,602556
2023-08-01,215.00,288.35,203.50,282.60,382392
2023-09-01,282.50,288.08,250.00,288.08,128282
2023-10-03,293.83,325.52,282.27,319.58,102720
2023-11-01,330.00,389.00,318.77,352.33,222214
2023-12-01,352.33,437.50,352.33,419.83,168200
2024-01-01,411.52,432.42,360.60,368.05,152636
2024-02-01,368.00,493.45,350.58,457.00,926926
2024-03-01,471.00,474.00,358.27,440.65,535880
2024-04-01,449.00,449.00,401.00,414.40,279190
2024-05-02,407.50,461.50,392.27,415.95,404950
2024-06-03,434.00,477.50,364.02,423.67,1108268
2024-07-01,428.50,558.98,428.50,508.25,3527318
2024-08-01,508.23,901.00,495.00,791.58,3329834
2024-09-02,785.00,1039.95,755.10,905.95,1458500
2024-10-01,895.05,924.60,697.00,754.50,772555
2024-11-01,775.00,817.00,626.05,729.10,469395
2024-12-02,720.20,801.00,691.05,703.00,626207
2025-01-01,713.70,867.20,655.00,732.65,808623
2025-02-01,725.30,810.00,595.75,605.70,412552
2025-03-03,607.20,793.90,551.00,679.95,492797
2025-04-01,685.45,717.85,572.85,667.00,260638
2025-05-02,687.00,957.00,640.20,875.55,1728748
2025-06-02,890.00,1169.75,882.15,1154.15,4483767
2025-07-01,1165.90,1220.00,955.60,987.40,1824442
2025-08-01,1006.95,1085.35,929.00,1004.45,760724
2025-09-01,1008.50,1186.60,984.60,1020.60,1357301
2025-10-01,1024.70,1080.40,944.90,967.60,397422
2025-11-03,962.80,1052.00,823.95,855.10,759008
2025-12-01,852.00,900.00,782.10,833.25,385405
2026-01-01,820.00,828.40,648.40,684.55,655153
2026-02-01,680.30,855.00,650.05,755.25,879367
2026-03-02,721.00,744.10,605.05,610.80,433462
2026-04-01,611.95,810.00,611.95,782.00,529500
2026-05-04,785.90,879.00,760.40,800.20,989721
2026-06-01,791.20,885.00,771.90,821.10,667971
2026-07-01,820.90,930.95,785.50,817.55,706589
2026-08-03,818.00,884.45,704.00,735.60,662050
2026-09-01,747.00,747.00,653.30,726.00,233399
