Date,Open,High,Low,Close,Volume
2008-01-01,45.31,47.12,30.02,39.69,851453
2008-02-01,39.08,40.05,30.13,32.37,263613
2008-03-03,30.76,32.17,19.80,23.58,299847
2008-04-01,24.74,28.04,23.11,24.92,159423
2008-05-02,25.98,28.27,22.09,23.47,117356
2008-06-02,22.79,24.22,16.67,16.79,68556
2008-07-01,16.76,21.68,15.90,18.17,438804
2008-08-01,18.12,22.43,17.96,20.03,111944
2008-09-01,20.82,24.33,14.14,16.29,409636
2008-10-01,16.31,17.22,8.38,9.15,297492
2008-11-03,10.19,11.67,7.70,9.06,67053
2008-12-01,9.02,12.01,8.00,9.85,150791
2009-01-01,9.51,11.53,7.14,8.29,53536
2009-02-02,7.54,10.28,6.89,6.95,59209
2009-03-02,7.25,9.74,6.46,7.34,104775
2009-04-01,7.25,11.73,7.25,9.27,103958
2009-05-04,9.06,15.86,8.63,13.48,388731
2009-06-01,13.16,15.25,10.76,11.62,1386100
2009-07-01,11.67,12.21,9.08,11.51,200052
2009-08-03,11.30,13.82,9.60,12.66,406100
2009-09-01,12.69,15.74,11.78,13.39,588094
2009-10-01,13.82,14.32,10.99,11.28,570955
2009-11-03,11.33,13.52,10.90,11.69,248127
2009-12-01,11.80,14.84,11.39,12.98,382984
2010-01-04,13.59,21.75,13.59,19.66,3726404
2010-02-01,13.95,15.04,12.53,12.71,87335
2010-03-02,13.95,17.15,13.27,17.03,686799
2010-04-01,17.22,18.58,15.56,16.58,1137968
2010-05-03,16.72,16.99,12.78,13.86,478486
2010-06-01,14.04,14.95,12.23,13.91,493480
2010-07-01,13.75,19.30,13.41,17.76,4182043
2010-08-02,17.94,20.12,17.76,17.87,1389128
2010-12-01,17.67,17.67,13.32,14.63,155435
2011-01-03,15.04,15.18,11.44,12.16,126257
2011-02-01,11.78,12.55,8.97,9.27,96321
2011-03-01,9.29,11.67,8.90,10.13,178357
2011-04-01,10.42,13.37,10.24,11.55,223832
2011-05-02,11.21,11.89,9.79,11.12,81881
2011-06-01,10.90,13.77,10.51,13.27,943894
2011-07-01,13.80,16.94,12.87,15.29,1189013
2011-08-01,15.40,15.40,10.47,12.48,240987
2011-09-02,11.96,18.53,11.35,14.52,6044847
2011-10-03,14.04,15.90,13.68,15.09,3384410
2011-11-01,14.50,15.72,11.35,12.21,2426615
2011-12-01,12.69,12.87,8.47,8.95,492983
2012-01-02,9.04,14.02,8.70,12.03,102987
2012-02-01,11.80,12.69,10.42,10.87,196798
2012-03-01,11.87,11.87,9.20,10.58,143712
2012-04-02,9.97,12.64,9.60,10.17,464492
2012-05-02,10.19,11.33,8.61,10.04,207856
2012-06-01,9.51,12.23,8.95,10.01,159876
2012-07-02,9.88,11.33,9.42,10.28,366487
2012-08-01,10.26,10.42,7.43,8.93,211604
2012-09-03,8.93,10.49,8.16,9.06,498876
2012-10-01,9.29,10.83,8.88,9.79,532569
2012-11-01,9.65,11.73,8.97,10.81,819760
2012-12-03,11.10,11.60,9.51,9.76,145120
2013-01-01,11.17,11.51,9.65,9.88,567364
2013-02-01,10.42,10.42,8.38,9.02,112743
2013-03-01,9.40,10.08,7.36,8.13,161187
2013-04-01,7.95,9.06,7.07,7.82,156198
2013-05-02,7.50,8.11,7.02,7.25,41507
2013-06-03,7.88,7.91,5.55,5.89,97164
2013-07-01,5.89,6.50,4.55,4.64,77553
2013-08-01,4.73,5.39,3.72,5.03,96946
2013-09-02,4.98,5.16,3.44,4.35,10102
2013-10-01,4.35,6.34,4.35,4.71,43595
2013-11-01,4.53,7.14,4.53,7.14,17954
2013-12-02,7.43,7.79,5.71,6.18,15241
2014-01-01,6.48,8.86,6.46,7.57,88448
2014-02-03,7.61,7.63,6.37,6.61,16236
2014-03-03,6.41,8.13,6.34,7.41,638668
2014-04-01,7.27,8.72,7.25,8.22,170347
2014-05-02,7.93,12.46,6.50,9.97,778319
2014-06-02,10.04,14.63,9.99,11.67,967487
2014-07-01,11.89,18.35,11.33,14.82,4317451
2014-08-01,14.59,21.66,13.93,18.53,4881959
2014-09-01,18.87,29.52,16.36,29.52,8978135
2014-10-01,30.35,37.04,26.50,33.53,10697284
2014-11-03,33.75,62.70,32.39,54.05,23890139
2014-12-01,53.71,71.54,47.80,69.54,30456421
2015-01-01,70.00,71.02,56.63,59.46,14354858
2015-02-02,58.99,64.18,50.74,56.61,7654497
2015-03-02,56.75,63.84,43.36,54.57,6967477
2015-04-01,54.37,63.20,46.46,49.75,5958538
2015-05-04,49.84,53.19,45.35,46.69,5760473
2015-06-01,47.34,48.23,36.24,37.79,5959635
2015-07-01,38.26,51.60,38.10,45.87,9155622
2015-08-03,45.76,47.23,29.45,41.18,5219993
2015-09-01,39.91,41.00,33.62,36.83,3167665
2015-10-01,37.22,44.76,36.79,41.39,5239267
2015-11-02,41.75,64.56,37.29,59.94,16929609
2015-12-01,60.21,65.01,49.38,52.24,16547987
2016-01-01,52.69,53.91,36.92,44.29,5009996
2016-02-01,44.81,50.24,34.43,34.91,4778297
2016-03-01,35.77,44.17,35.13,41.59,5539146
2016-04-01,41.48,48.25,40.07,42.25,6638400
2016-05-02,42.13,48.39,39.82,45.08,6459602
2016-06-01,45.31,54.93,43.63,51.10,16379900
2016-07-01,51.47,57.02,49.68,54.89,12422371
2016-08-01,55.45,56.81,40.10,40.89,9092636
2016-09-01,41.23,45.06,36.95,38.80,4128275
2016-10-03,40.78,42.90,38.06,40.10,3151983
2016-11-01,40.03,42.04,31.17,36.00,3183264
2016-12-01,36.70,36.70,31.76,32.71,1600589
2017-01-02,33.19,39.17,32.73,36.86,3428341
2017-02-01,36.99,38.96,33.07,37.06,2916804
2017-03-01,37.38,42.00,34.89,39.39,5444470
2017-04-03,39.87,42.45,38.60,40.01,2890661
2017-05-02,40.32,41.64,33.93,34.98,2448566
2017-06-01,35.57,44.11,35.13,40.78,6055241
2017-07-03,40.89,44.40,38.60,38.87,4369425
2017-08-01,39.33,39.62,30.35,35.47,3441829
2017-09-01,35.47,37.17,31.53,32.78,3125450
2017-10-03,33.41,39.33,32.62,36.34,5659985
2017-11-01,36.38,42.59,34.79,38.80,11572801
2017-12-01,39.14,40.10,34.23,36.18,3931578
2018-01-01,36.40,41.05,33.98,35.41,8034726
2018-02-01,35.43,35.84,27.86,30.40,2464158
2018-03-01,30.45,31.31,24.69,24.85,1317928
2018-04-02,25.53,36.00,25.10,32.33,9492642
2018-05-02,32.17,32.17,24.15,27.50,2577004
2018-06-01,27.50,28.07,22.47,24.40,1644113
2018-07-02,24.03,25.91,21.29,24.51,2745863
2018-08-01,24.74,27.64,22.70,23.29,2396173
2018-09-03,23.76,24.69,16.45,16.67,954868
2018-10-01,16.42,18.94,15.52,17.62,1169560
2018-11-01,17.67,19.48,16.60,18.14,1345778
2018-12-03,19.44,23.56,17.71,22.11,2068321
2019-01-01,22.06,22.65,17.74,18.60,595795
2019-02-01,18.89,19.23,15.65,18.08,553192
2019-03-01,18.53,24.31,18.12,21.27,2127146
2019-04-01,21.50,26.23,20.89,21.47,2279899
2019-05-02,21.63,21.63,16.67,18.85,1440801
2019-06-03,18.76,20.80,16.54,18.10,978843
2019-07-01,18.53,18.80,9.15,9.79,962446
2019-08-01,9.92,11.60,7.20,9.45,749601
2019-09-03,9.47,12.39,8.95,12.03,485041
2019-10-01,12.05,12.05,8.97,10.31,570565
2019-11-01,10.19,11.30,9.47,9.76,520732
2019-12-02,9.51,9.92,8.40,9.06,404317
2020-01-01,9.06,12.78,8.72,10.35,1049565
2020-02-01,9.85,10.26,7.02,7.11,625006
2020-03-02,7.02,7.45,3.99,4.76,697215
2020-04-01,4.94,8.38,4.67,7.48,581579
2020-05-04,7.11,8.34,6.57,7.88,347832
2020-06-01,7.93,10.62,7.54,9.36,1288856
2020-07-01,9.97,10.85,8.47,8.68,1782415
2020-08-03,8.83,16.36,8.27,11.82,7388937
2020-09-01,11.78,12.01,9.81,10.74,2160883
2020-10-01,10.49,11.60,8.77,9.56,1301561
2020-11-02,9.36,12.87,9.15,11.44,2829316
2020-12-01,11.60,15.15,11.46,13.82,6070462
2021-01-01,13.86,15.95,11.87,12.78,4301659
2021-02-01,13.41,17.41,12.41,14.94,3065759
2021-03-01,14.58,16.06,8.74,9.49,3593080
2021-04-01,9.82,11.99,9.37,11.51,4430885
2021-05-03,11.60,19.28,11.03,13.98,12858619
2021-06-01,13.68,17.78,13.29,15.85,6895611
2021-07-01,15.73,16.45,14.34,14.82,3830834
2021-08-02,15.03,15.49,11.75,13.38,1723890
2021-09-01,13.38,15.06,12.80,13.20,1733100
2021-10-01,13.44,17.29,12.80,16.01,7105229
2021-11-01,16.35,16.60,13.80,14.59,4617315
2021-12-01,14.83,15.76,13.26,15.71,4280793
2022-01-03,16.16,19.99,15.08,17.78,6157313
2022-02-01,17.68,18.47,12.87,14.05,2055730
2022-03-02,13.95,16.30,12.28,12.67,1978243
2022-04-01,12.67,16.65,12.62,14.83,1951507
2022-05-02,15.13,16.70,11.93,14.09,3687009
2022-06-01,14.29,14.63,11.39,12.03,1818711
2022-07-01,12.18,20.53,11.88,17.34,11323554
2022-08-01,17.34,17.34,14.24,15.08,4954592
2022-09-01,15.08,15.47,12.42,12.52,4757738
2022-10-03,12.57,14.39,12.33,13.51,1510434
2022-11-01,13.65,14.63,12.28,13.46,4537215
2022-12-01,13.55,16.21,12.57,13.70,9570714
2023-01-02,13.65,15.71,13.06,13.70,5111025
2023-02-01,13.85,14.73,11.84,12.23,3841245
2023-03-01,12.47,12.77,10.31,10.80,2570148
2023-04-03,10.85,12.08,10.80,11.64,1544922
2023-05-02,11.79,15.17,11.79,12.03,9552644
2023-06-01,12.13,15.22,12.13,13.46,8449516
2023-07-03,13.75,14.73,13.31,13.55,6194895
2023-08-01,13.70,20.92,13.60,16.30,25817542
2023-09-01,16.45,17.24,14.00,14.63,3514076
2023-10-03,14.88,15.27,12.87,13.55,2762333
2023-11-01,13.60,18.56,13.36,16.99,8491159
2023-12-01,16.99,24.75,16.21,19.05,34561161
2024-01-01,19.35,22.93,18.81,22.93,17715120
2024-02-01,23.18,28.97,20.82,24.60,37330682
2024-03-01,25.00,27.50,18.91,19.69,15632976
2024-04-01,20.04,23.38,19.45,21.95,10327791
2024-05-02,22.20,22.44,19.25,20.09,7293632
2024-06-03,20.38,24.26,17.83,22.37,11186611
2024-07-01,22.59,27.62,21.85,25.56,27288063
2024-08-01,25.93,27.35,21.90,25.55,14817031
2024-09-02,25.73,26.40,21.67,23.61,23389841
2024-10-01,23.80,25.10,19.50,21.80,10861557
2024-11-01,22.10,26.49,20.25,25.38,19592318
2024-12-02,25.36,25.47,21.19,21.50,6942851
2025-01-01,21.52,23.70,16.85,19.59,5959633
2025-02-01,19.44,20.39,15.50,15.75,3324124
2025-03-03,16.24,16.24,13.30,13.36,6226151
2025-04-01,13.08,17.10,12.90,14.79,3352948
2025-05-02,14.52,17.50,13.81,15.77,2413752
2025-06-02,15.76,16.80,14.49,16.45,3192731
2025-07-01,18.00,18.51,16.09,16.33,5607236
2025-08-01,16.49,16.97,14.73,15.08,2901133
