Date,Open,High,Low,Close,Volume
2024-09-02,830.00,848.00,681.10,749.15,46749513
2024-10-01,756.90,794.60,685.00,715.60,12955291
2024-11-01,718.25,758.90,611.00,681.20,6892880
2024-12-02,676.95,830.00,661.10,665.35,18409259
2025-01-01,671.80,701.45,496.10,564.80,10819045
2025-02-01,567.95,639.95,505.55,537.95,9431956
2025-03-03,551.00,558.75,491.00,505.65,5539373
2025-04-01,505.65,562.95,473.80,511.00,4827148
2025-05-02,511.00,575.00,498.55,548.50,6193152
2025-06-02,550.00,623.55,541.00,580.70,6799858
2025-07-01,595.00,637.00,568.05,584.00,6218807
2025-08-01,584.00,603.50,539.75,572.15,5709909
2025-09-01,572.15,649.50,572.05,603.50,5563090
2025-10-01,604.00,701.40,601.55,647.70,7292281
2025-11-03,649.00,688.20,612.05,629.65,5586223
2025-12-01,630.00,635.30,581.00,607.45,2542285
2026-01-01,607.45,654.00,532.50,549.80,4640841
2026-02-01,551.25,624.00,524.15,552.00,6571097
2026-03-02,526.00,578.50,503.00,530.95,4081159
2026-04-01,555.00,688.90,537.05,653.75,5653494
2026-05-04,653.75,736.40,509.00,546.10,12294272
2026-06-01,559.50,594.00,526.00,536.10,3895171
2026-07-01,537.00,717.00,535.30,670.30,18559239
2026-08-03,670.30,679.50,579.60,583.90,10485154
2026-09-01,586.00,634.70,563.10,604.75,6901449
