Date,Open,High,Low,Close,Volume
2004-07-01,9.00,15.19,8.91,13.52,4539210
2004-08-02,13.35,13.79,12.16,12.90,760670
2004-10-01,13.35,13.44,12.52,12.63,1095920
2004-11-01,12.70,16.15,12.30,14.96,6086290
2004-12-01,15.05,16.81,13.80,15.53,3835060
2005-01-03,15.90,16.73,13.56,14.80,1512090
2005-02-01,14.66,20.30,14.28,19.24,8199680
2005-03-01,19.00,25.38,18.70,23.66,6487140
2005-04-01,23.80,31.40,23.20,26.75,3637050
2005-05-02,27.00,33.44,25.41,28.85,2842890
2005-06-01,29.50,34.25,27.51,28.24,2348860
2005-07-01,28.39,31.40,27.70,30.14,1477960
2005-08-01,29.50,39.70,28.10,35.64,4715730
2005-09-01,36.01,36.70,28.50,31.54,1173840
2005-10-03,30.00,37.27,30.00,34.25,2735330
2005-11-01,35.00,41.90,34.51,39.53,2120500
2005-12-01,40.00,44.09,39.01,40.83,1269450
2006-01-02,41.25,43.35,39.50,39.75,557610
2006-02-01,40.90,42.39,37.05,39.31,698310
2006-03-01,38.54,42.00,36.06,38.75,1218350
2006-04-03,38.59,47.00,38.59,42.75,732560
2006-05-02,45.00,60.57,41.23,43.50,2346120
2006-06-01,44.50,45.59,31.48,35.90,707090
2006-07-03,35.60,36.49,27.32,31.97,478390
2006-08-01,31.90,40.50,31.31,38.08,1039960
2006-09-01,39.90,41.70,32.10,35.60,1275555
2006-10-03,36.85,37.50,32.90,33.10,640277
2006-11-01,33.50,34.40,28.25,32.35,703793
2006-12-01,32.20,32.45,27.75,29.55,467452
2007-01-02,29.40,34.45,26.80,27.10,648026
2007-02-01,26.60,27.50,21.05,22.70,1461411
2007-03-01,23.75,25.00,19.60,20.55,826903
2007-04-02,20.30,24.50,19.95,20.95,354175
2007-05-03,21.00,21.50,18.55,19.60,565348
2007-06-01,19.75,19.90,18.30,18.65,604539
2007-07-02,18.20,20.85,14.40,18.15,1190872
2007-08-01,18.45,18.70,14.80,16.95,767269
2007-09-03,17.40,18.60,16.00,17.45,553936
2007-10-01,18.15,19.35,14.65,14.85,669823
2007-11-01,14.80,21.00,14.05,17.00,957624
2007-12-03,18.45,27.15,16.60,25.70,2862103
2008-01-01,26.10,33.20,15.55,17.35,4726691
2008-02-01,17.95,19.50,15.00,16.90,687119
2008-03-03,16.20,17.35,11.00,13.45,883058
2008-04-01,13.40,17.50,13.00,15.15,505689
2008-05-02,15.00,16.90,13.35,13.85,384128
2008-06-02,13.85,15.00,9.20,9.75,335859
2008-07-01,9.55,12.45,9.10,10.20,220028
2008-08-01,10.00,11.50,9.55,10.75,274726
2008-09-01,10.75,11.50,6.80,8.45,342156
2008-10-01,8.50,8.85,5.50,6.50,280556
2008-11-03,6.00,7.50,4.85,5.10,141634
2008-12-01,5.00,7.80,4.75,6.10,258885
2009-03-02,5.15,5.20,3.85,4.15,223632
2009-04-01,4.35,6.40,4.30,5.80,206455
2009-05-04,5.65,10.50,5.55,10.35,447122
2009-07-01,10.35,10.35,10.35,10.35,0
2009-08-03,10.35,10.35,7.25,8.70,164094
2009-09-01,9.15,10.40,7.65,9.20,410389
2009-10-01,9.10,9.55,7.20,7.20,253573
2009-11-03,7.20,9.80,6.80,8.80,313862
2009-12-01,8.80,13.20,8.00,12.20,1427661
2010-02-01,11.00,11.50,10.00,10.15,39690
2010-03-02,10.20,12.00,9.50,11.05,283588
2010-04-01,11.80,14.00,11.30,12.70,558487
2010-06-01,13.60,15.45,12.25,14.90,895536
2010-07-01,14.90,18.00,14.00,17.20,1271249
2010-08-02,17.00,19.15,15.60,16.70,2975019
2010-09-01,16.60,18.80,16.20,16.90,1612577
2010-10-01,17.35,20.40,16.10,18.15,1996851
2010-11-01,18.50,19.50,12.50,14.40,1495589
2010-12-01,13.55,15.70,10.55,14.95,737499
2011-01-03,14.20,16.45,13.00,13.70,432831
2011-02-01,14.00,14.25,10.60,11.60,401317
2011-03-01,11.60,12.70,9.50,10.85,610280
2011-04-01,11.25,13.50,11.15,11.45,386874
2011-05-02,11.85,11.85,8.95,9.45,309556
2011-06-01,9.40,10.80,7.05,8.55,383974
2011-07-01,8.80,11.25,7.90,9.85,972117
2011-08-01,9.95,10.30,7.00,8.35,386936
2011-09-02,8.40,9.50,6.55,7.80,173716
2011-10-03,7.90,8.20,7.00,7.50,53882
2011-11-01,7.60,7.95,5.05,6.30,108902
2011-12-01,7.00,7.75,5.70,6.35,259863
2012-01-02,6.35,8.60,6.05,7.75,152698
2012-02-01,7.40,8.20,6.15,6.55,180860
2012-03-01,6.95,7.30,5.65,6.05,190095
2012-04-02,6.30,7.45,5.25,5.80,93936
2012-05-02,5.70,7.85,4.75,7.00,401280
2012-06-01,6.95,7.40,5.70,6.20,94867
2012-07-02,6.50,7.45,6.50,7.10,234238
2012-08-01,7.05,7.05,5.70,6.05,120287
2012-09-03,6.30,6.90,5.60,6.25,157971
2012-10-01,6.90,7.90,6.35,7.20,341964
2012-11-01,7.00,7.45,6.25,6.40,154183
2012-12-03,6.40,6.65,5.75,6.20,189482
2013-01-01,6.25,9.55,6.25,7.00,490612
2013-02-01,7.00,7.50,5.70,5.75,128471
2013-03-01,6.00,6.10,4.80,5.45,102641
2013-04-01,4.85,6.25,4.70,5.05,220819
2013-05-02,5.05,5.90,4.70,4.80,158851
2013-06-03,4.80,6.30,4.25,5.40,199855
2013-07-01,5.40,5.45,4.10,4.30,31309
2013-08-01,4.20,5.55,3.65,5.45,133519
2013-09-02,5.30,6.90,5.30,5.85,53276
2013-10-01,5.60,5.80,5.20,5.75,30150
2013-11-01,5.50,5.80,4.90,5.00,29235
2013-12-02,5.00,5.60,4.80,5.60,17459
2014-01-01,5.65,7.25,5.50,6.45,101004
2014-02-03,6.45,6.75,4.55,5.05,106126
2014-03-03,5.05,5.90,4.65,5.45,135331
2014-04-01,5.65,5.95,5.10,5.65,76662
2014-05-02,5.50,8.05,4.65,7.30,391945
2014-06-02,6.95,10.90,6.40,10.20,526628
2014-07-01,9.70,10.70,8.00,9.75,299296
2014-08-01,9.55,10.15,6.30,6.95,330342
2014-09-01,7.00,8.85,6.55,6.55,495448
2014-10-01,6.55,7.65,6.25,7.15,254014
2014-11-03,6.90,7.45,6.55,6.65,288637
2014-12-01,6.65,10.90,6.00,7.65,784149
2015-01-01,8.00,8.40,6.65,7.10,257195
2015-02-02,7.65,8.10,5.50,6.05,261989
2015-03-02,6.05,7.45,4.80,5.75,253787
2015-04-01,5.60,11.00,5.05,10.00,1675629
2015-05-04,10.05,10.95,7.00,8.40,637588
2015-06-01,8.15,9.30,6.50,8.00,422146
2015-07-01,8.45,11.25,8.10,10.55,870388
2015-08-03,11.10,13.80,7.60,7.85,2580776
2015-09-01,7.90,8.40,6.70,7.60,207032
2015-10-01,7.60,8.80,7.10,7.80,543504
2015-11-02,7.85,8.35,6.40,7.05,482361
2015-12-01,7.20,11.45,6.80,10.50,1613201
2016-01-01,10.50,12.20,7.40,9.30,1192122
2016-02-01,9.45,9.95,6.60,7.05,529247
2016-03-01,7.10,7.65,6.30,6.40,496067
2016-04-01,6.50,7.45,6.25,6.70,708634
2016-05-02,6.65,8.40,6.60,6.75,357268
2016-06-01,6.75,8.50,6.65,7.90,637061
2016-07-01,7.75,12.00,7.10,9.95,3548270
2016-08-01,10.30,10.90,8.05,9.05,934519
2016-09-01,9.00,15.20,8.85,14.20,6308651
2016-10-03,14.00,20.50,14.00,17.30,7059218
2016-11-01,17.55,17.55,10.20,12.50,2522587
2016-12-01,12.60,13.35,10.75,11.45,624615
2017-01-02,11.50,14.00,11.40,12.65,842299
2017-02-01,12.65,14.35,12.00,12.20,1282041
2017-03-01,12.35,13.20,10.90,12.10,1114826
2017-04-03,12.25,19.00,12.10,15.50,3726726
2017-05-02,15.20,21.20,14.50,16.70,6516498
2017-06-01,16.50,18.40,15.60,16.10,1892679
2017-07-03,17.50,22.15,16.00,18.80,5242561
2017-08-01,19.20,19.20,14.00,16.85,1196006
2017-09-01,17.50,17.60,14.85,15.25,1195595
2017-10-03,15.90,17.35,14.90,15.05,974455
2017-11-01,15.00,23.90,15.00,23.20,6438371
2017-12-01,23.80,24.60,18.65,21.30,3624290
2018-01-01,21.10,22.30,16.60,17.05,1287359
2018-02-01,17.25,17.70,14.05,14.05,764758
2018-03-01,14.10,14.65,10.70,11.70,1018249
2018-04-02,12.25,15.75,11.60,13.50,561571
2018-05-02,13.50,15.05,11.00,11.15,403705
2018-06-01,11.10,11.50,7.85,8.40,266771
2018-07-02,8.50,9.25,4.90,7.05,491183
2018-08-01,7.40,10.25,7.35,7.90,383669
2018-09-03,7.95,8.80,6.30,6.30,172433
2018-10-01,6.00,7.15,5.40,6.75,270002
2018-11-01,7.05,8.10,6.15,6.70,233811
2018-12-03,6.95,8.60,6.30,7.55,327842
2019-01-01,7.55,8.25,6.45,7.10,222453
2019-02-01,7.15,7.15,5.55,6.10,149948
2019-03-01,6.15,8.15,5.50,5.90,443554
2019-04-01,6.20,8.25,5.80,6.20,727855
2019-05-02,6.40,7.35,5.20,6.10,945468
2019-06-03,6.10,6.35,4.25,5.75,675433
2019-07-01,5.65,5.70,4.20,4.40,387955
2019-08-01,4.35,4.95,3.60,3.95,781766
2019-09-03,4.00,4.40,3.40,3.65,362002
