Date,Open,High,Low,Close,Volume
2023-11-01,1200.00,1400.00,1200.00,1313.00,46579444
2023-12-01,1339.30,1348.00,1151.15,1180.15,73709266
2024-01-01,1184.00,1202.00,1108.80,1111.40,17872352
2024-02-01,1119.00,1179.00,1033.10,1083.40,25126076
2024-03-01,1097.65,1146.45,1020.00,1020.60,18974609
2024-04-01,1040.00,1147.75,1033.05,1067.15,31131237
2024-05-02,1069.40,1115.90,1005.00,1030.20,17226810
2024-06-03,1070.00,1073.70,982.25,1021.95,25526064
2024-07-01,1023.30,1043.90,983.00,999.35,16307494
2024-08-01,1001.00,1115.00,970.10,1065.60,90253692
2024-09-02,1075.00,1136.00,1045.55,1103.15,72826545
2024-10-01,1105.00,1112.00,986.75,1006.30,27606832
2024-11-01,1015.00,1038.00,931.00,938.50,12936203
2024-12-02,939.10,973.85,883.30,891.35,16839377
2025-01-01,894.00,912.50,737.10,787.60,21670512
2025-02-01,790.00,803.00,664.45,671.75,17347697
2025-03-03,675.10,728.75,626.65,679.90,39187335
2025-04-01,677.90,731.75,597.00,657.85,77135042
2025-05-02,657.85,790.60,639.10,773.60,53190898
2025-06-02,773.00,797.00,696.00,711.00,48632946
2025-07-01,712.05,745.40,696.20,702.25,28227437
2025-08-01,703.00,706.25,652.50,657.25,12656014
2025-09-01,657.25,725.75,652.00,669.50,21458691
2025-10-01,670.00,722.65,667.50,692.25,14367621
2025-11-03,692.25,702.45,667.00,679.05,11052450
2025-12-01,680.90,684.00,636.50,643.00,10143364
2026-01-01,645.00,690.00,632.35,645.95,29172444
2026-02-01,645.95,671.40,568.80,585.45,20024333
2026-03-02,568.00,585.70,507.40,509.20,24547342
2026-04-01,519.00,605.00,517.00,581.35,18266910
2026-05-04,584.30,729.00,578.25,705.30,58420479
2026-06-01,706.05,784.00,682.00,684.10,30885996
2026-07-01,670.00,777.00,661.50,747.65,28799506
2026-08-03,748.55,891.00,748.00,831.05,48616967
2026-09-01,835.00,850.00,716.10,722.45,13681710
