Date,Open,High,Low,Close,Volume
2003-09-01,36.83,36.83,34.67,36.07,19829
2003-10-01,35.40,44.67,33.67,41.33,493427
2003-11-03,41.67,50.50,39.33,49.70,602996
2003-12-01,50.03,66.60,49.33,53.77,725777
2004-01-01,53.33,58.33,43.53,47.63,635603
2004-02-03,46.70,50.30,43.47,44.27,267849
2004-03-01,43.70,53.00,37.50,39.23,187461
2004-04-01,43.17,44.13,36.70,42.47,219590
2004-05-03,42.33,44.47,34.03,39.03,333933
2004-06-01,39.33,40.67,37.37,40.33,80594
2004-07-01,40.00,47.93,32.83,41.50,451244
2004-08-02,41.40,48.00,39.50,45.47,295607
2004-09-01,46.00,55.33,45.40,52.07,698972
2004-10-01,52.00,69.90,49.83,53.70,749921
2004-11-01,50.70,64.97,49.80,59.97,1016485
2004-12-01,61.00,65.33,57.33,59.43,1019059
2005-01-03,60.67,61.33,51.73,54.00,369260
2005-02-01,53.33,62.00,48.03,54.10,497802
2005-03-01,54.00,56.00,48.67,50.27,327861
2005-04-01,49.50,60.93,49.50,56.70,515714
2005-05-02,56.33,94.33,55.00,90.80,6283409
2005-06-01,90.67,98.00,78.67,84.87,1394565
2005-07-01,85.33,127.33,83.37,122.03,1444221
2005-08-01,122.17,151.40,120.00,138.53,1482897
2005-09-01,138.67,150.67,118.33,129.20,591005
2005-10-03,129.27,131.83,89.67,91.80,253746
2005-11-01,95.27,120.67,90.70,112.33,570184
2005-12-01,112.00,127.93,108.07,123.57,802726
2006-01-02,124.07,141.33,113.33,115.93,460061
2006-02-01,116.00,119.00,83.33,93.60,3420752
2006-03-01,93.60,103.33,78.40,83.53,1499525
2006-04-03,88.00,100.00,82.50,92.10,920710
2006-05-02,96.67,103.33,73.33,82.80,592646
2006-06-01,88.00,88.00,60.67,74.07,256560
2006-07-03,74.67,86.00,68.03,80.03,402923
2006-08-01,78.03,94.67,78.03,89.73,309233
2006-09-01,90.47,99.13,80.73,89.23,425937
2006-10-03,90.67,96.67,79.60,86.40,456672
2006-11-01,86.67,95.83,84.67,85.67,552233
2006-12-01,83.50,84.40,69.33,72.80,249491
2007-01-02,72.00,78.67,72.00,72.90,153825
2007-02-01,72.00,76.67,65.33,69.73,183107
2007-03-01,67.40,74.67,66.83,70.37,184649
2007-04-02,67.37,75.00,67.37,73.40,121082
2007-05-03,84.33,84.33,70.33,82.80,271476
2007-06-01,85.33,101.33,81.50,99.67,778543
2007-07-02,99.33,120.73,95.70,104.40,511867
2007-08-01,96.77,110.67,83.50,98.27,253835
2007-09-03,94.87,129.93,94.87,117.50,562733
2007-10-01,112.30,146.07,95.77,133.50,774200
2007-11-01,130.13,133.33,102.43,125.43,358589
2007-12-03,116.67,153.33,103.77,132.67,241356
2008-01-01,125.67,191.90,85.33,106.03,780710
2008-02-01,106.67,114.67,92.67,99.87,187481
2008-03-03,98.00,102.00,78.73,95.80,366266
2008-04-01,96.67,108.00,81.30,102.30,228900
2008-05-02,99.00,113.67,96.00,98.97,444533
2008-06-02,96.73,113.20,84.17,84.80,302816
2008-07-01,82.10,96.67,70.80,85.70,192660
2008-08-01,86.67,86.67,76.67,82.83,192723
2008-09-01,78.93,86.93,57.97,65.70,163961
2008-10-01,68.00,69.33,40.13,48.23,123284
2008-11-03,42.73,55.57,38.07,49.17,37094
2008-12-01,43.80,51.87,39.40,47.43,48161
2009-01-01,47.33,51.60,43.53,47.27,34085
2009-02-02,46.67,49.83,38.80,46.67,323990
2009-03-02,46.00,52.60,37.47,49.50,116607
2009-04-01,49.33,66.53,48.23,58.60,64610
2009-05-04,66.00,85.33,54.67,82.70,418589
2009-06-01,83.33,106.00,80.33,83.17,911773
2009-08-03,83.17,96.67,83.17,94.57,53571
2009-09-01,93.37,119.87,92.07,110.50,244229
2009-10-01,112.53,124.67,103.67,114.47,378084
2009-11-03,108.47,153.33,107.33,151.53,312440
2009-12-01,152.00,190.00,150.00,166.27,818698
2010-01-04,157.10,185.80,147.43,169.63,761519
2010-02-01,166.70,229.33,166.70,210.20,1537992
2010-03-02,212.97,246.47,199.00,224.30,1266042
2010-04-01,228.67,305.87,223.37,268.77,3640477
2010-05-03,262.00,325.33,234.13,274.00,1423737
2010-06-01,270.77,336.00,261.33,315.57,1244037
2010-07-01,314.27,467.80,307.70,450.67,3484020
2010-08-02,459.20,518.67,440.67,455.53,2676645
2010-09-01,455.53,663.17,428.43,608.53,8969188
2010-10-01,618.67,674.67,542.00,556.80,2373322
2010-11-01,566.00,599.33,414.00,485.40,1548134
2010-12-01,489.50,526.60,412.07,474.77,2720994
2011-01-03,478.67,499.27,395.33,403.07,2366060
2011-02-01,406.00,420.00,313.33,325.27,1358325
2011-03-01,328.50,459.13,313.40,423.03,3064178
2011-04-01,429.27,505.67,416.67,458.73,4291426
2011-05-02,458.80,480.00,372.03,419.87,3834680
2011-06-01,422.00,437.00,354.83,374.23,2274733
2011-07-01,377.97,431.47,332.67,402.33,2334803
2011-08-01,406.33,409.33,265.33,273.10,1322028
2011-09-02,275.83,322.80,254.00,254.80,3853160
2011-10-03,255.00,353.20,243.53,341.67,8426698
2011-11-01,345.33,346.27,266.93,285.97,2005859
2011-12-01,289.33,298.00,243.33,249.00,769298
2012-01-02,249.67,298.17,249.67,275.93,1329730
2012-02-01,276.07,319.87,256.73,273.93,2619180
2012-03-01,274.03,288.67,253.33,258.80,1434859
2012-04-02,259.33,271.40,249.40,251.97,682288
2012-05-02,252.20,272.13,210.90,247.77,1938888
2012-06-01,242.20,305.67,237.07,298.10,4444240
2012-07-02,301.70,312.00,275.93,284.27,842821
2012-08-01,288.00,385.87,280.67,341.90,7189668
2012-09-03,345.77,388.73,332.53,372.30,2789925
2012-10-01,374.03,415.33,325.43,340.60,4052577
2012-11-01,342.67,348.00,287.33,326.43,1835789
2012-12-03,327.97,334.67,300.67,309.77,1090975
2013-01-01,313.23,329.27,276.13,277.77,1103611
2013-02-01,278.33,349.60,278.30,323.17,5897842
2013-03-01,323.50,383.97,302.20,331.87,2572726
2013-04-01,332.17,396.67,330.63,359.33,1628186
2013-05-02,352.67,388.00,332.03,339.33,1225594
2013-06-03,334.67,351.20,291.20,304.67,552352
2013-07-01,305.37,322.00,287.47,296.03,381699
2013-08-01,296.70,317.93,280.00,288.03,207185
2013-09-02,288.03,329.33,283.33,294.67,259698
2013-10-01,294.03,341.90,294.03,317.03,321266
2013-11-01,324.00,340.00,300.00,306.73,522830
2013-12-02,313.33,332.93,302.67,310.60,398958
2014-01-01,312.00,333.20,306.00,310.03,318279
2014-02-03,313.23,342.00,297.33,314.80,503822
2014-03-03,316.00,337.87,308.20,322.70,195560
2014-04-01,322.33,385.23,317.40,328.70,1402191
2014-05-02,327.37,349.33,300.00,317.60,643043
2014-06-02,331.33,366.67,321.50,355.97,1080072
2014-07-01,356.00,427.33,334.23,342.17,1440870
2014-08-01,337.33,349.27,290.00,308.87,638086
2014-09-01,301.33,402.00,301.33,391.33,2026061
2014-10-01,396.67,402.47,320.00,322.27,831571
2014-11-03,324.10,336.67,290.87,292.50,816898
2014-12-01,297.30,311.93,257.33,260.33,461291
2015-01-01,257.87,267.97,248.03,249.50,482414
2015-02-02,250.00,276.00,238.47,244.57,1244260
2015-03-02,246.67,281.00,216.00,221.57,883036
2015-04-01,222.50,240.20,203.97,206.20,521110
2015-05-04,206.70,212.00,183.73,192.93,414602
2015-06-01,193.37,257.33,187.40,223.03,2401039
2015-07-01,223.47,417.27,223.43,368.10,6759709
2015-08-03,368.67,395.33,270.00,321.27,2413127
2015-09-01,315.33,378.67,266.67,363.10,2644077
2015-10-01,367.67,386.13,328.67,331.73,1099416
2015-11-02,330.03,344.67,293.40,310.13,492894
2015-12-01,310.67,374.40,284.67,336.80,1954097
2016-01-01,337.95,342.00,275.10,301.65,315162
2016-02-01,303.00,313.70,220.00,255.00,375729
2016-03-01,255.00,364.50,253.00,349.60,2688757
2016-04-01,346.10,404.00,344.95,384.85,969526
2016-05-02,383.00,428.85,372.00,392.45,939714
