Date,Open,High,Low,Close,Volume
2001-12-31,12.88,13.48,12.40,13.24,222280
2002-01-07,13.23,14.38,12.97,13.89,375725
2002-01-14,14.46,15.70,14.22,14.30,1337525
2002-01-21,14.40,17.49,14.10,16.93,49917735
2002-01-28,17.02,20.51,15.82,19.77,27838595
2002-02-04,20.05,25.57,19.63,21.30,34073244
2002-02-11,21.85,24.25,21.67,23.12,14589724
2002-02-18,23.64,24.10,21.34,23.23,11139120
2002-02-25,23.41,23.88,21.12,22.60,12701749
2002-03-04,23.04,23.89,22.36,23.36,6777693
2002-03-11,21.78,23.64,21.74,22.00,4024714
2002-03-18,22.36,22.78,21.35,21.49,3649259
2002-03-25,21.75,22.00,21.03,21.25,1607324
2002-04-01,21.59,27.31,21.42,26.09,28045477
2002-04-08,26.44,29.87,26.03,26.31,19096580
2002-04-15,27.90,27.90,23.72,23.86,9450246
2002-04-22,24.31,25.60,23.21,25.32,6428042
2002-04-29,25.85,27.13,25.28,25.62,7381791
2002-05-06,25.92,26.88,25.09,25.75,9925286
2002-05-13,26.01,26.71,23.89,24.67,8846850
2002-05-20,25.34,25.58,23.04,25.00,7530255
2002-05-27,23.98,26.86,23.65,24.34,14987667
2002-06-03,24.92,26.30,24.23,24.95,11579977
2002-06-10,25.43,30.29,25.21,27.18,34029838
2002-06-17,27.63,27.99,25.34,25.79,6340878
2002-06-24,25.86,26.28,25.22,25.47,3263140
2002-07-01,25.81,26.74,25.31,25.83,7488162
2002-07-08,25.86,26.04,24.83,24.94,2485124
2002-07-15,25.05,25.13,23.72,24.35,4538169
2002-07-22,24.09,24.49,22.61,22.74,4033656
2002-07-29,22.94,23.64,21.67,23.04,3517143
2002-08-05,23.21,23.33,21.77,22.88,1730077
2002-08-12,22.78,23.62,22.63,22.87,1295724
2002-08-19,23.88,24.06,21.59,22.11,4015035
2002-08-26,22.26,23.21,21.98,23.09,1712042
2002-09-02,23.30,24.15,22.71,23.80,2745326
2002-09-09,22.60,22.60,20.91,21.37,2491288
2002-09-16,21.67,21.67,19.11,20.09,3708075
2002-09-23,20.82,20.82,19.71,20.18,406100
2002-09-30,20.57,20.57,19.34,19.87,795500
2002-10-07,20.05,22.61,20.05,20.78,1742335
2002-10-14,20.48,20.74,19.46,19.61,789195
2002-10-21,19.97,22.27,19.63,20.01,644153
2002-10-28,19.89,20.91,19.63,20.41,476470
2002-11-04,20.48,20.57,19.63,20.24,203964
2002-11-11,20.43,20.57,19.88,20.06,495290
2002-11-18,20.26,20.39,19.93,20.14,550099
2002-11-25,20.14,20.65,19.64,19.96,3530689
2002-12-30,19.78,20.02,19.01,19.11,1876537
2003-01-06,19.04,19.54,18.61,18.86,2101607
2003-01-13,18.85,20.21,18.60,19.55,2588460
2003-01-20,19.86,20.04,19.29,19.72,8729745
2003-01-27,19.88,20.30,19.38,19.87,2699272
2003-02-03,19.63,20.69,19.37,19.80,2650452
2003-02-10,19.97,20.46,19.71,20.10,2586011
2003-02-17,20.14,20.56,19.93,20.15,6187352
2003-02-24,20.37,20.38,19.20,20.21,1829428
2003-03-03,20.10,21.33,18.69,18.76,2143407
2003-03-10,18.81,18.97,17.79,18.31,5470730
2003-03-17,18.26,18.86,18.09,18.76,1218029
2003-03-24,18.73,19.29,18.52,18.75,2337000
2003-03-31,18.77,19.63,18.13,19.33,2664455
2003-04-07,19.38,20.17,19.16,19.71,2296922
2003-04-14,19.71,20.31,19.46,19.66,2708916
2003-04-21,20.14,20.72,19.97,20.09,1501071
2003-04-28,20.10,20.48,19.88,20.39,668879
2003-05-05,20.48,22.09,20.48,21.96,2285344
2003-05-12,21.94,24.15,21.85,23.78,2323348
2003-05-19,22.87,25.00,21.33,24.89,1948209
2003-05-26,24.76,27.14,24.35,26.93,5261271
2003-06-02,27.31,27.31,25.26,26.11,5842869
2003-06-09,26.11,27.22,26.03,26.97,5398836
2003-06-16,27.01,31.33,26.97,30.72,9689225
2003-06-23,31.57,32.26,29.96,30.17,5521355
2003-06-30,30.89,31.15,29.10,30.86,4211252
2003-07-07,31.14,32.03,29.50,30.01,3255757
2003-07-14,30.28,31.40,29.44,30.30,2452347
2003-07-21,31.32,31.32,29.19,30.49,633102
2003-07-28,30.17,33.44,29.87,32.50,5370266
2003-08-04,32.09,33.45,31.67,32.38,1723316
2003-08-11,32.81,33.28,31.15,31.21,613696
2003-08-18,30.89,37.63,30.89,35.32,3251492
2003-08-25,36.00,37.12,29.44,35.23,2535878
2003-09-01,35.84,37.72,34.99,36.65,1515145
2003-09-08,36.69,39.25,36.10,37.06,2072591
