Date,Open,High,Low,Close,Volume
2010-02-22,392.01,409.18,357.63,381.00,36086003
2010-03-02,377.18,405.71,356.37,380.96,3591710
2010-03-08,390.19,412.65,368.95,403.37,3355232
2010-03-15,406.66,410.13,385.98,396.74,494645
2010-03-22,390.10,399.73,384.34,391.92,262233
2010-03-29,320.39,403.11,320.39,394.57,365113
2010-04-05,398.77,411.43,387.59,399.34,176700
2010-04-12,396.30,407.49,390.19,393.66,96306
2010-04-19,390.23,398.69,382.13,390.45,85954
2010-04-26,391.92,398.86,371.98,377.01,210539
2010-05-03,377.18,385.85,360.93,370.25,140686
2010-05-10,368.51,377.18,346.84,355.29,304587
2010-05-17,346.84,372.76,339.90,345.53,180509
2010-05-24,355.51,363.66,333.83,357.72,192631
2010-05-31,351.08,364.18,340.81,348.66,148227
2010-06-07,350.30,367.65,334.70,344.93,343583
2010-06-14,345.01,345.01,324.55,329.49,350380
2010-06-21,323.42,344.19,318.22,323.03,298702
2010-06-28,329.41,342.50,319.09,327.67,270078
2010-07-05,327.76,329.49,307.82,326.29,374446
2010-07-12,325.16,334.52,321.82,329.10,276929
2010-07-19,326.03,338.16,309.12,329.10,456522
2010-07-26,321.00,372.85,321.00,368.99,2563593
2010-08-02,374.58,374.58,342.93,345.45,1032224
2010-08-09,347.53,398.86,339.21,386.46,3345362
2010-08-16,394.14,396.95,360.71,395.44,1913452
2010-08-23,400.60,406.66,366.87,376.10,2350268
2010-08-30,381.52,411.87,369.47,404.24,1076306
2010-09-06,401.46,406.66,371.11,373.72,408676
2010-09-13,380.39,397.08,374.67,393.40,716431
2010-09-20,397.99,398.86,361.23,367.39,1886901
2010-09-27,371.89,375.45,347.92,355.81,1922674
2010-10-04,361.40,378.92,354.08,372.80,1594464
2010-10-11,376.23,394.61,308.29,378.18,1380133
2010-10-18,383.25,389.32,369.42,386.42,2244249
2010-10-25,390.06,391.92,355.55,363.79,2469844
2010-11-01,372.85,380.65,349.44,367.17,2314427
2010-11-08,368.38,376.32,343.37,347.75,2879434
2010-11-15,347.79,351.95,308.99,312.28,1836214
2010-11-22,313.89,313.93,181.83,181.83,5340439
2010-11-29,163.66,208.71,163.66,208.40,7229410
2010-12-06,216.30,218.38,171.34,172.20,3047662
2010-12-13,163.62,179.83,163.19,165.05,2579981
2010-12-20,164.27,176.19,158.76,174.02,1670906
2010-12-27,174.72,176.28,165.18,168.48,637840
2011-01-03,170.82,179.53,169.52,172.25,1231908
2011-01-10,172.72,176.32,162.15,166.87,792799
2011-01-17,165.61,168.61,142.64,143.37,2047630
2011-01-24,145.15,146.10,128.33,130.41,721963
2011-01-31,126.59,146.36,119.05,121.18,2315275
2011-02-07,121.39,132.06,91.26,123.52,18494091
2011-02-14,126.42,126.42,109.51,112.72,6249621
2011-02-21,110.99,113.59,86.71,93.65,2295753
2011-02-28,96.16,106.39,92.17,102.06,1742026
2011-03-07,99.72,108.39,91.26,101.15,3849633
2011-03-14,101.58,101.80,91.56,97.55,1631931
2011-03-21,98.28,98.67,82.81,83.89,4033227
2011-03-28,85.76,112.72,69.37,101.28,38473629
2011-04-04,99.15,106.13,95.51,95.99,7663522
2011-04-11,95.99,100.50,94.51,95.51,2793407
2011-04-18,94.51,101.45,82.03,91.74,9717969
2011-04-25,92.39,93.60,73.70,84.06,2400831
2011-05-02,84.80,85.32,73.75,75.00,2479783
2011-05-09,75.61,85.32,73.44,75.35,3531674
2011-05-16,74.96,76.17,69.37,70.62,1263694
2011-05-23,70.88,75.22,56.88,65.60,8943632
2011-05-30,65.90,69.97,61.22,64.94,3401038
2011-06-06,65.90,72.53,62.99,68.20,7476622
2011-06-13,68.07,70.23,60.70,67.76,4955251
2011-06-20,68.46,68.89,60.78,61.48,2381495
2011-06-27,61.48,62.30,58.44,60.22,2123579
2011-07-04,60.96,77.60,58.96,74.05,7624534
2011-07-11,71.97,73.92,65.47,71.14,7096805
2011-07-18,71.27,75.65,70.54,72.23,2023140
2011-07-25,72.84,73.53,65.90,68.02,1601607
2011-08-01,68.98,69.37,61.22,63.17,1592862
2011-08-08,60.09,64.81,58.53,59.31,3501083
2011-08-16,59.74,60.26,55.54,57.14,628397
2011-08-22,56.53,60.70,51.72,52.11,2372413
2011-08-29,52.89,55.84,48.73,51.46,1912576
2011-09-05,51.46,53.50,50.20,50.42,3363295
2011-09-12,50.12,53.59,48.38,50.29,3304951
2011-09-19,51.24,55.41,47.08,48.34,6430499
2011-09-26,48.56,49.12,42.92,43.14,2134428
2011-10-03,44.18,47.52,39.37,44.44,1656394
2011-10-10,44.44,47.69,44.05,47.13,1127335
2011-10-17,45.96,51.16,43.61,48.64,2001471
2011-10-24,48.99,64.42,48.51,61.43,8659731
2011-10-31,60.70,68.98,60.26,61.35,7205844
2011-11-08,61.30,62.56,55.49,56.45,1066721
2011-11-14,56.45,57.14,45.18,51.51,2707079
2011-11-21,51.16,67.11,45.18,59.09,11288620
2011-11-28,57.14,70.23,56.45,60.48,19207604
2011-12-05,59.83,62.34,54.67,55.10,2600255
2011-12-12,56.27,58.27,45.96,46.26,2039812
2011-12-19,45.39,48.56,39.06,41.79,1342270
2011-12-26,42.05,42.88,39.89,42.88,1386949
2012-01-02,45.00,49.73,42.49,46.91,880498
2012-01-09,47.08,58.18,45.96,52.89,3558776
2012-01-16,52.46,57.66,50.72,55.62,2831421
2012-01-23,56.10,57.92,52.20,53.41,2443547
2012-01-30,53.33,56.19,49.77,54.19,4628351
2012-02-06,54.89,70.19,54.63,67.46,10780214
2012-02-13,65.03,86.28,63.30,80.29,9288048
2012-02-21,80.77,89.31,64.42,68.15,6423404
2012-02-27,68.54,74.22,61.39,67.29,3831702
2012-03-05,66.77,69.58,60.26,66.12,1804957
2012-03-12,67.33,83.76,67.33,78.25,7843564
2012-03-19,79.25,85.41,78.08,81.46,3955728
2012-03-26,78.04,81.51,66.72,73.92,3536040
2012-04-02,75.26,78.82,73.79,75.96,975745
2012-04-09,75.52,75.74,71.58,72.58,1410291
2012-04-16,73.18,79.34,72.53,73.62,1425953
2012-04-23,73.70,74.44,63.30,64.38,1725996
2012-04-30,69.24,69.24,60.70,63.25,1122861
2012-05-07,62.43,65.03,58.96,60.31,1122079
2012-05-14,59.48,67.42,58.96,63.82,2646024
2012-05-21,64.12,80.42,63.47,77.52,4604714
2012-05-28,76.74,80.94,73.79,74.83,1467190
2012-06-04,73.92,80.99,70.23,77.91,1552171
2012-06-11,78.25,78.25,71.10,73.23,1003722
2012-06-18,73.27,74.96,69.84,71.93,82144
2012-06-25,71.10,73.36,67.63,70.41,168584
2012-07-02,70.41,73.70,69.45,72.14,274507
2012-07-09,72.75,73.70,69.37,71.14,129950
2012-07-16,71.19,72.75,66.55,69.37,348810
2012-07-23,69.37,71.10,65.99,68.41,141180
2012-07-30,66.85,69.71,65.99,68.54,61486
2012-08-06,68.50,69.63,66.77,67.63,76317
2012-08-13,66.98,69.28,64.16,68.46,61015
2012-08-21,69.37,69.54,65.29,67.42,123593
2012-08-27,66.77,68.89,62.65,65.77,224482
2012-09-03,65.16,65.86,59.14,62.43,122066
2012-09-10,67.46,67.55,61.00,62.82,203883
2012-09-17,63.38,64.34,60.83,62.47,455132
2012-09-24,62.47,64.08,60.70,61.82,1605296
2012-10-01,62.39,76.82,61.56,75.22,8979009
2012-10-08,76.04,89.83,73.36,81.59,14751274
2012-10-15,85.67,101.28,85.67,101.28,11443473
2012-10-22,104.66,105.52,87.23,87.49,4384330
2012-10-29,89.31,91.48,78.60,89.09,5633730
2012-11-05,87.58,106.65,85.45,98.46,7828760
2012-11-12,99.41,117.45,97.29,107.17,10916613
2012-11-19,108.69,114.46,98.85,111.29,12728859
2012-11-26,112.03,122.69,111.42,114.67,10291408
2012-12-03,115.71,123.78,114.67,117.23,9653227
2012-12-10,117.84,120.27,111.25,118.23,5328001
2012-12-17,118.75,142.55,117.88,131.84,18433685
2012-12-24,133.14,142.64,132.23,135.09,7113087
2012-12-31,135.09,142.12,133.66,137.69,5193920
2013-01-07,138.43,146.02,128.68,130.11,7456612
2013-01-14,130.84,139.56,126.59,137.82,8143165
2013-01-21,137.00,138.65,112.72,123.73,5555620
2013-01-28,124.77,128.33,115.80,120.18,3132770
2013-02-04,121.13,122.09,109.86,110.77,2835067
2013-02-11,111.07,111.07,67.63,76.43,38271695
2013-02-18,75.87,79.86,71.97,73.40,14170006
2013-02-25,73.66,76.13,58.66,60.57,9850904
2013-03-04,59.09,69.19,56.36,68.20,4396880
2013-03-11,68.72,70.06,62.69,64.12,2388441
2013-03-18,66.16,66.16,49.90,50.03,3556309
2013-03-25,50.51,52.50,47.91,51.68,1383757
2013-04-01,52.33,58.53,52.33,54.19,2317729
2013-04-08,54.63,55.45,49.90,50.38,1419156
2013-04-15,50.51,55.93,50.38,54.41,1801763
2013-04-22,55.36,59.18,53.85,55.62,2272968
2013-04-29,54.71,57.88,54.63,55.93,893374
2013-05-06,56.23,64.34,55.93,60.00,2421700
2013-05-13,67.37,70.58,61.61,67.03,5063295
2013-05-20,66.98,67.81,58.75,67.63,2708750
2013-05-27,66.07,68.50,61.09,62.78,1357951
2013-06-03,61.82,68.85,61.74,63.17,1767288
2013-06-10,65.29,65.60,59.57,59.92,862489
2013-06-17,59.83,61.56,55.49,56.36,1443409
2013-06-24,56.36,58.05,42.31,44.48,2614317
2013-07-01,45.96,51.07,45.18,46.09,1407150
2013-07-08,46.82,48.12,44.48,45.91,1104152
2013-07-15,45.22,53.67,45.22,49.90,2392456
2013-07-22,49.47,52.55,46.65,47.26,825151
2013-07-29,47.04,48.30,44.92,45.44,632048
2013-08-05,45.09,46.43,42.96,46.43,1155828
2013-08-12,47.08,52.89,45.09,48.90,1120909
2013-08-19,48.56,53.20,46.39,51.16,1191327
2013-08-26,51.16,52.76,46.43,46.91,332758
2013-09-02,46.82,51.59,46.82,48.99,1124561
2013-09-10,50.25,53.28,48.64,51.16,999036
2013-09-16,51.98,51.98,47.52,49.03,830162
2013-09-23,48.69,50.29,47.65,48.56,358080
2013-09-30,48.56,53.33,48.47,50.94,654430
2013-10-07,51.11,58.05,48.60,55.15,2475345
2013-10-14,54.67,56.19,51.29,55.67,930895
2013-10-21,57.23,61.13,52.20,53.37,4217287
2013-10-28,53.72,55.23,49.03,54.19,1907244
2013-11-05,53.50,57.14,51.68,53.76,2354481
2013-11-11,54.02,56.88,51.38,53.93,1621861
2013-11-18,53.72,56.79,52.11,52.24,1609329
2013-11-25,53.11,53.67,48.64,52.03,1091200
2013-12-02,51.68,55.49,51.68,52.55,1717034
2013-12-09,54.15,54.15,48.73,49.03,754277
2013-12-16,48.56,54.24,47.04,52.29,2941366
2013-12-23,52.72,54.19,50.90,52.42,3361734
2013-12-30,53.20,61.56,51.24,53.33,12002446
2014-01-06,53.72,56.49,50.81,52.11,7180377
2014-01-13,52.11,53.46,49.03,49.29,2066876
2014-01-20,48.56,52.42,48.56,49.47,3299034
2014-01-27,49.08,49.08,45.26,45.74,1969919
2014-02-03,45.31,45.91,42.53,44.61,1890609
2014-02-10,44.66,46.61,41.40,41.88,1758425
2014-02-17,42.10,44.31,41.62,43.18,1111719
2014-02-24,42.75,43.35,41.36,42.36,642919
2014-03-03,41.97,49.86,41.71,49.42,3492602
2014-03-10,50.20,52.89,46.39,48.17,3259010
2014-03-18,47.26,51.20,46.82,49.38,1062906
2014-03-24,49.81,50.29,46.13,49.12,1225723
2014-03-31,49.47,55.28,48.99,54.19,3208309
2014-04-07,54.50,64.73,53.59,61.35,7036438
2014-04-15,62.08,64.86,56.53,63.43,3868074
2014-04-21,63.77,68.85,60.61,64.68,3491805
2014-04-28,63.38,64.34,58.09,59.22,2372412
2014-05-05,58.53,59.61,50.29,54.11,1676507
2014-05-12,54.11,56.79,51.33,54.41,4016177
2014-05-19,54.97,77.99,54.19,75.74,9667476
2014-05-26,78.25,82.33,63.38,68.50,4928931
2014-06-02,68.67,78.91,68.50,75.83,5586401
2014-06-09,76.56,90.96,74.14,75.22,11627188
2014-06-16,74.57,100.80,72.92,88.01,15351800
2014-06-23,88.70,97.11,87.97,89.44,6512419
2014-06-30,91.04,95.21,82.37,84.58,1553954
2014-07-07,84.58,86.71,73.88,76.00,932061
2014-07-14,73.70,77.56,69.97,73.66,854716
2014-07-21,73.66,79.60,69.45,72.84,819951
2014-07-28,73.70,73.70,67.24,68.54,388145
2014-08-04,68.59,74.05,66.03,67.03,692894
2014-08-11,68.11,70.36,60.35,62.99,560284
2014-08-18,62.56,72.36,62.56,65.16,2165751
2014-08-25,64.64,70.15,63.30,69.67,1514184
2014-09-01,69.80,75.44,63.34,64.94,1714077
2014-09-08,65.86,68.54,64.51,65.08,883627
2014-09-15,65.42,68.50,60.74,64.81,1503321
2014-09-22,63.82,70.02,54.93,58.96,1827452
2014-09-29,59.40,60.26,56.53,56.97,646681
2014-10-07,57.14,59.57,52.20,54.80,2739220
2014-10-13,53.80,56.23,51.24,52.85,1247412
2014-10-20,53.76,54.54,51.24,52.94,578208
2014-10-27,53.67,59.27,51.42,58.83,2452715
2014-11-03,59.40,63.95,55.49,59.48,1102903
2014-11-10,59.48,66.68,58.09,63.86,2225364
2014-11-17,63.77,65.81,57.66,58.36,1730075
2014-11-24,59.05,59.09,52.46,55.84,1451260
2014-12-01,55.93,59.66,55.32,57.23,1116704
2014-12-08,57.31,58.92,53.28,53.59,592661
2014-12-15,53.98,53.98,43.92,48.30,1285292
2014-12-22,48.56,53.54,46.56,51.11,2010474
2014-12-29,51.51,71.10,49.77,67.11,13208293
2015-01-05,67.59,70.23,58.75,59.31,2523885
2015-01-12,59.79,61.91,55.58,58.27,3280364
2015-01-19,57.96,75.65,57.05,72.58,11863612
2015-01-27,72.84,80.94,67.98,78.86,6792269
2015-02-02,78.91,85.28,75.09,78.82,7460514
2015-02-09,78.86,80.21,71.14,72.92,2130324
2015-02-16,76.22,78.60,73.14,74.22,4372797
2015-02-23,74.96,75.39,68.11,71.06,3928280
2015-03-02,71.79,71.79,61.13,61.48,3325922
2015-03-09,61.56,64.55,59.44,59.87,1468968
2015-03-16,60.48,62.65,56.36,56.92,1991532
2015-03-23,57.23,58.18,54.54,56.01,1535886
2015-03-30,57.23,58.44,56.01,57.49,945540
2015-04-06,57.53,65.90,57.53,61.78,6383883
2015-04-13,62.30,64.34,58.62,58.96,3279262
2015-04-20,59.40,60.70,54.32,54.97,4591446
