Date,Open,High,Low,Close,Volume
2005-04-25,75.00,98.40,69.50,83.90,17168463
2005-05-02,84.90,90.40,83.00,89.40,9592364
2005-05-09,90.00,105.90,86.10,100.00,16731055
2005-05-16,100.40,103.65,91.15,99.90,16340937
2005-05-23,100.30,105.40,95.00,95.65,9564364
2005-05-30,96.20,98.80,93.65,97.40,4172616
2005-06-06,96.50,101.95,95.10,101.15,4911813
2005-06-13,102.50,107.75,96.50,101.60,8051332
2005-06-20,102.45,105.00,95.60,101.75,3585473
2005-06-27,102.40,104.90,95.60,96.10,3288775
2005-07-04,99.00,99.00,93.50,95.00,1897975
2005-07-11,96.00,101.00,94.50,95.70,1939979
2005-07-18,96.40,103.00,96.05,98.05,3120869
2005-07-25,98.10,101.00,91.10,91.85,1434563
2005-08-01,91.00,92.80,87.80,88.60,1454065
2005-08-08,89.60,91.90,84.80,87.80,1040973
2005-08-16,90.00,101.40,87.00,97.60,6189468
2005-08-22,98.70,103.95,90.70,100.60,5797796
2005-08-29,101.00,110.40,99.00,105.10,7013790
2005-09-05,113.50,115.55,102.00,111.20,5600346
2005-09-12,111.05,134.90,110.35,133.10,11747967
2005-09-19,138.00,143.00,103.30,111.30,13008915
2005-09-26,112.95,137.20,111.00,116.10,12185455
2005-10-03,117.40,124.85,114.00,117.20,3559281
2005-10-10,120.00,120.00,105.00,106.15,1714871
2005-10-17,107.30,109.80,94.90,105.40,3262378
2005-10-24,106.00,112.20,103.50,105.60,1754404
2005-10-31,106.00,111.00,104.75,109.30,317642
2005-11-07,108.00,114.00,104.35,111.55,1441895
2005-11-14,112.00,116.15,111.60,114.25,1441347
2005-11-21,114.00,114.40,108.55,109.30,704834
2005-11-28,109.60,124.20,106.15,108.05,1252032
2005-12-05,109.00,111.45,105.65,108.50,1035460
2005-12-12,109.40,110.00,103.25,104.25,737805
2005-12-19,104.40,113.00,104.00,106.10,3512792
2005-12-26,105.60,106.55,100.55,104.55,1367545
2006-01-02,104.60,113.20,104.10,105.70,2435718
2006-01-09,105.50,106.45,101.40,101.75,819704
2006-01-16,102.65,104.95,96.15,99.55,1818780
2006-01-23,99.90,101.50,94.85,95.25,651308
2006-01-30,96.50,107.50,81.10,106.25,4099021
2006-02-06,105.05,109.40,99.70,105.35,1440229
2006-02-13,103.00,120.80,103.00,115.75,4324782
2006-02-20,115.15,120.60,111.05,116.25,1873606
2006-02-27,115.00,121.95,110.55,114.10,1333373
2006-03-06,114.20,119.50,108.25,118.00,1147080
2006-03-13,119.00,121.00,106.00,106.35,383921
2006-03-20,108.10,121.10,105.00,114.05,2087240
2006-03-27,115.20,134.10,113.50,132.85,3032202
2006-04-03,134.65,140.00,120.10,127.10,2216710
2006-04-10,128.40,129.90,118.00,122.55,1169787
2006-04-17,126.95,130.00,112.00,113.25,999386
2006-04-24,119.80,119.80,96.50,97.85,1005555
2006-05-02,107.50,116.45,99.65,109.20,2346850
2006-05-08,106.00,112.00,101.25,102.75,662101
2006-05-15,104.00,107.80,93.00,97.35,2073989
2006-05-22,98.00,98.00,78.00,97.00,635524
2006-05-29,97.85,99.00,85.00,86.70,644596
2006-06-05,87.65,91.00,65.50,78.70,773821
2006-06-12,78.75,84.00,66.00,80.45,1410572
2006-06-19,79.50,95.00,76.15,93.45,639905
2006-06-26,93.85,95.00,78.25,91.75,423531
2006-07-03,94.80,95.00,89.25,90.05,281802
2006-07-10,90.20,96.45,88.50,93.55,280290
2006-07-17,93.55,97.00,86.10,90.85,232689
2006-07-24,90.40,99.90,88.40,98.10,550256
2006-07-31,94.25,104.50,94.25,99.70,361913
2006-08-07,98.80,106.00,97.05,105.00,693805
2006-08-14,104.95,108.00,99.00,99.95,489643
2006-08-21,100.45,101.50,97.50,99.20,198512
2006-08-28,99.65,105.00,98.10,99.95,1219790
2006-09-04,100.65,104.85,98.50,99.55,491133
2006-09-11,99.55,106.00,97.00,101.50,1333068
2006-09-18,101.85,102.45,98.10,98.55,180204
2006-09-25,104.00,104.00,94.00,98.70,258893
2006-10-03,98.95,100.80,96.55,98.10,176930
2006-10-09,98.25,98.90,91.75,92.35,283736
2006-10-16,92.80,94.25,87.50,88.20,421617
2006-10-23,89.00,90.00,87.00,87.45,148454
2006-10-30,87.00,87.00,76.10,76.45,498794
2006-11-06,76.95,81.80,70.65,70.95,2009848
2006-11-13,71.00,76.35,69.05,69.70,2289739
