Date,Open,High,Low,Close,Volume
2006-03-13,135.00,248.00,135.00,212.25,19416245
2006-03-20,214.40,251.80,207.25,220.70,13535192
2006-03-27,222.60,227.80,200.00,215.85,1755043
2006-04-03,218.30,224.45,210.10,212.75,559162
2006-04-10,212.50,214.65,187.95,191.05,235174
2006-04-17,193.40,214.90,193.40,203.40,624568
2006-04-24,205.10,254.00,192.30,213.05,1886335
2006-05-02,223.00,229.00,212.05,220.05,256743
2006-05-08,223.00,240.00,217.00,229.80,441787
2006-05-15,226.10,242.00,203.00,207.50,345356
2006-05-22,212.00,212.00,166.00,200.85,112296
2006-05-29,204.00,212.90,172.10,179.50,134507
2006-06-05,184.80,188.50,118.10,136.90,128862
2006-06-12,130.00,146.95,124.00,139.80,67844
2006-06-19,126.50,168.00,126.50,165.20,56687
2006-06-26,161.00,164.00,140.00,158.50,32680
2006-07-03,159.00,163.00,150.10,152.25,27959
2006-07-10,149.50,155.00,146.05,150.95,66020
2006-07-17,154.50,163.95,131.65,135.75,54880
2006-07-24,144.90,158.00,129.50,142.75,95535
2006-07-31,144.00,159.50,139.50,148.90,44639
2006-08-07,150.00,180.00,145.10,171.90,68224
2006-08-14,176.90,178.25,165.10,173.95,40113
2006-08-21,175.00,184.55,158.55,166.25,215751
2006-08-28,167.40,174.10,159.15,160.90,111315
2006-09-04,164.90,174.90,162.60,165.05,98535
2006-09-11,167.25,168.40,156.00,157.75,108618
2006-09-18,159.30,169.70,158.20,164.60,88409
2006-09-25,158.00,166.90,158.00,161.90,61440
2006-10-03,162.50,170.95,161.20,162.30,50060
2006-10-09,164.00,188.00,164.00,172.10,316804
2006-10-16,177.00,177.00,162.30,165.65,66299
2006-10-23,170.20,184.50,166.00,178.45,69441
2006-10-30,182.00,213.40,179.95,196.35,540199
2006-11-06,195.05,228.70,188.25,206.80,1560374
2006-11-13,207.00,222.40,196.00,199.00,637831
2006-11-20,190.00,214.00,184.00,198.05,257746
2006-11-27,203.00,236.90,197.35,222.40,3040243
2006-12-04,224.70,254.65,222.70,242.00,2657931
2006-12-11,244.00,278.70,234.00,258.75,1695855
