Date,Open,High,Low,Close,Volume
2026-06-01,36.86,36.86,34.02,34.02,108523
2026-06-08,33.34,33.34,30.77,30.77,56821
2026-06-15,30.16,33.29,30.16,33.29,225900
2026-06-22,33.95,35.31,33.95,34.61,285172
2026-06-29,33.93,35.32,33.11,35.32,368594
2026-07-06,34.62,38.49,33.75,35.69,1134203
2026-07-13,34.51,37.99,34.31,36.20,738518
2026-07-20,35.50,37.08,33.81,35.11,483512
2026-07-27,35.60,36.86,34.20,35.09,671454
2026-08-03,34.82,36.95,33.90,34.95,946161
2026-08-10,34.63,36.60,34.00,36.08,573007
2026-08-17,36.85,41.50,34.77,39.71,1733557
2026-08-24,39.71,40.50,36.10,38.67,589518
2026-08-31,38.87,39.99,35.36,36.74,563803
2026-09-07,36.74,44.05,34.00,41.86,12309844
2026-09-15,42.60,43.99,36.79,39.91,4206021
