Date,Open,High,Low,Close,Volume
2019-07-08,207.75,207.75,192.75,200.50,472
2019-07-15,179.00,208.00,179.00,185.30,5125
2019-07-22,166.05,197.00,166.05,196.25,5252
2019-07-29,181.25,213.60,161.00,177.60,8766
2019-08-05,163.00,196.00,163.00,190.00,10010
2019-08-13,185.30,197.00,175.05,196.15,7504
2019-08-19,197.00,197.00,178.55,185.05,6609
2019-08-26,194.15,194.20,177.00,187.05,10176
2019-09-03,181.40,191.00,177.05,189.05,5207
2019-09-09,190.00,206.80,183.45,199.25,9971
2019-09-16,197.55,201.80,182.60,197.55,8338
2019-09-23,200.00,233.40,184.20,208.05,68415
2019-09-30,204.00,211.20,184.00,187.10,23655
2019-10-07,187.65,200.75,185.65,198.85,9020
2019-10-14,202.95,203.10,189.00,198.50,9829
2019-10-22,197.50,205.00,190.80,200.55,9910
2019-10-29,205.00,217.35,195.00,202.30,11094
2019-11-04,202.55,210.00,191.50,200.10,13368
2019-11-11,201.00,205.00,181.40,185.80,18036
2019-11-18,189.95,200.00,185.10,193.90,28474
2019-11-25,195.10,195.10,180.00,180.75,11167
2019-12-02,192.80,195.00,176.00,180.00,17612
2019-12-09,183.00,183.50,162.15,176.45,10531
2019-12-16,181.00,181.00,170.50,175.05,10930
2019-12-23,174.00,182.00,168.75,173.65,29405
2019-12-30,179.50,196.00,171.20,189.75,17657
2020-01-06,197.30,220.00,176.00,183.00,18874
2020-01-13,183.00,218.00,180.05,208.35,37986
2020-01-20,198.00,221.00,198.00,207.80,26011
2020-01-27,207.00,218.85,186.15,192.80,24766
2020-02-03,197.00,221.50,191.45,207.45,19942
2020-02-10,202.55,211.00,192.20,197.20,12945
2020-02-17,200.00,204.65,190.05,191.55,11368
2020-02-24,191.15,198.00,168.00,179.25,18836
2020-03-02,180.55,189.00,171.60,176.40,15896
2020-03-09,183.70,185.70,130.40,154.20,34997
2020-03-16,155.55,176.95,126.05,137.40,29837
2020-03-23,133.00,156.65,116.55,132.55,22612
2020-03-30,134.40,139.90,125.00,139.00,5546
2020-04-07,144.95,146.00,137.70,142.05,13770
2020-04-13,143.05,173.40,142.00,167.10,11894
2020-04-20,167.95,175.00,151.55,155.80,8394
2020-04-27,159.60,163.95,154.05,161.50,7003
2020-05-04,151.90,162.90,151.00,151.45,8927
2020-05-11,152.50,158.40,136.65,149.65,9473
2020-05-18,148.00,152.40,132.90,139.55,20401
2020-05-26,137.05,144.95,136.60,140.30,10053
2020-06-01,144.00,180.80,142.10,166.70,42101
2020-06-08,167.00,198.50,152.55,178.00,186868
2020-06-15,181.00,189.75,169.00,172.30,61129
2020-06-22,172.75,181.00,163.65,177.00,40259
2020-06-29,182.00,276.65,170.85,276.65,753226
2020-07-06,278.00,300.00,244.00,249.20,550035
2020-07-13,254.95,292.00,243.25,281.85,403715
2020-07-20,290.00,348.00,282.75,322.40,772348
2020-07-27,328.40,370.80,317.75,343.20,410920
2020-08-03,345.00,361.95,325.00,346.20,254263
2020-08-10,354.00,358.00,294.00,307.45,354681
2020-08-17,311.00,362.00,302.20,356.80,198000
2020-08-24,351.55,363.00,323.75,327.70,92839
2020-08-31,332.00,335.00,288.00,323.40,82625
2020-09-07,335.00,345.90,312.45,332.65,100891
2020-09-14,339.95,423.70,338.05,411.55,499704
2020-09-21,415.00,415.00,339.70,363.85,177998
2020-09-28,365.50,380.00,340.00,344.75,71575
2020-10-05,356.90,374.50,345.00,349.70,74584
2020-10-12,358.00,395.00,347.50,360.50,170867
2020-10-19,373.00,526.90,364.00,475.55,1666523
2020-10-26,475.00,503.70,435.00,456.95,196470
2020-11-02,456.95,475.00,442.15,470.80,74182
2020-11-09,485.00,495.50,455.25,471.75,128202
2020-11-17,473.00,510.90,460.25,495.45,166033
2020-11-23,503.00,525.00,490.00,516.85,139637
2020-12-01,519.45,617.95,519.45,565.50,267855
2020-12-07,581.00,585.00,542.10,546.00,80264
2020-12-14,555.00,565.00,514.00,536.05,103937
2020-12-21,535.95,564.00,471.00,546.75,121335
2020-12-28,574.00,584.25,550.00,554.85,67674
2021-01-04,564.70,617.00,547.00,570.15,106333
2021-01-11,574.70,578.60,533.00,571.05,142859
2021-01-18,576.00,680.00,571.10,606.20,703783
2021-01-25,614.80,624.00,575.15,583.40,161514
2021-02-01,587.25,619.75,578.00,594.50,107315
2021-02-08,595.75,646.00,576.85,630.20,144143
2021-02-15,636.50,678.00,602.25,612.85,188882
2021-02-22,613.00,628.20,580.00,595.70,154880
2021-03-01,610.00,630.00,592.00,604.25,92433
2021-03-08,614.70,629.00,579.95,589.50,63748
2021-03-15,591.20,644.00,548.95,562.35,114026
2021-03-22,557.00,581.90,545.05,560.55,61890
2021-03-30,562.00,595.00,562.00,588.65,54878
2021-04-05,595.00,754.80,585.45,721.70,402905
2021-04-12,736.20,745.00,659.20,705.50,119029
2021-04-19,690.05,755.15,684.00,726.00,95926
2021-04-26,739.95,1009.95,711.00,891.95,749307
2021-05-03,885.00,946.00,865.00,868.75,151689
2021-05-10,865.05,903.00,800.10,810.70,230680
2021-05-17,794.50,820.65,779.65,792.25,188940
2021-05-24,799.70,842.10,744.00,808.60,108094
2021-05-31,820.00,838.00,784.80,805.70,105625
2021-06-07,815.00,820.85,778.00,791.00,87715
2021-06-14,798.00,798.90,760.95,769.70,110611
2021-06-21,761.05,817.00,761.05,771.25,60121
2021-06-28,785.00,869.00,762.00,823.20,181196
2021-07-05,848.75,917.95,841.00,856.15,199275
2021-07-12,871.95,1019.00,860.20,954.40,390573
2021-07-19,957.00,984.80,899.00,920.60,168817
2021-07-26,921.00,975.35,915.15,924.65,100232
2021-08-02,922.00,950.00,874.85,882.25,76702
2021-08-09,882.25,950.00,760.05,909.55,115788
2021-08-16,909.55,915.00,780.40,805.45,54770
2021-08-23,805.50,848.95,761.10,814.15,63175
2021-08-30,820.00,971.00,819.40,922.35,168013
2021-09-06,932.50,962.15,893.00,943.25,138436
2021-09-13,947.50,1100.00,944.35,1019.80,483000
2021-09-20,999.40,1036.30,917.00,959.45,116412
2021-09-27,960.00,973.80,857.80,941.10,97521
2021-10-04,955.00,974.95,913.25,918.50,105954
2021-10-11,916.10,935.00,901.00,904.10,51882
2021-10-18,916.00,925.00,821.00,848.70,122968
2021-10-25,849.00,859.75,760.00,768.70,189330
2021-11-01,785.00,824.90,750.05,810.30,123528
2021-11-08,815.00,820.00,785.25,800.00,51757
2021-11-15,810.00,810.00,765.00,767.55,48186
2021-11-22,760.00,768.00,711.00,747.15,48635
2021-11-29,726.00,796.80,680.00,772.45,68523
