Date,Open,High,Low,Close,Volume
2011-07-04,5.77,10.35,5.77,9.35,983914780
2011-07-11,8.91,12.75,8.91,10.58,1200378050
2011-07-18,10.64,15.76,10.18,14.56,845977467
2011-07-25,14.49,14.80,8.11,10.46,635400702
2011-08-01,10.51,11.51,7.38,8.35,359815874
2011-08-08,8.24,9.41,8.01,9.10,143594985
2011-08-16,9.15,9.84,8.10,8.28,68726457
2011-08-22,8.29,10.53,8.29,9.53,101992842
2011-08-29,9.61,11.30,9.61,11.08,57909693
2011-09-05,10.85,12.14,9.70,11.21,127361395
2011-09-12,11.01,14.24,10.86,14.09,141047116
2011-09-19,14.14,14.57,12.52,12.63,65174962
2011-09-26,12.71,15.89,12.56,13.55,109484647
2011-10-03,13.41,15.48,13.21,13.31,66140756
2011-10-10,13.42,14.88,12.63,12.75,54849050
2011-10-17,12.85,13.12,10.46,10.69,24473311
2011-10-24,10.85,13.52,10.61,12.77,34456523
2011-10-31,12.83,12.91,11.63,11.75,23730518
2011-11-08,11.83,12.59,11.35,12.45,20452345
2011-11-14,12.56,12.70,10.70,11.05,20445055
2011-11-21,11.12,11.39,10.68,10.92,11260997
2011-11-28,11.02,12.40,11.02,11.94,18701758
2011-12-05,11.99,12.15,10.86,10.93,13057209
2011-12-12,11.07,12.71,9.84,10.18,11869459
2011-12-19,10.01,10.11,8.91,8.98,7505650
2011-12-26,9.04,11.39,7.82,9.16,37320061
2012-01-02,9.21,10.46,8.92,9.84,15180353
2012-01-09,10.15,10.46,9.88,10.09,6786765
2012-01-16,10.15,10.83,10.04,10.49,9114963
2012-01-23,10.54,12.79,10.54,11.97,24264285
2012-01-30,12.02,12.93,11.95,12.67,18457584
2012-02-06,12.75,13.67,12.13,13.52,14016680
2012-02-13,13.63,14.26,12.32,12.42,18166185
2012-02-21,12.44,13.56,12.25,13.18,10198896
2012-02-27,13.24,15.04,13.09,14.53,18555014
2012-03-05,14.66,15.43,14.65,14.77,10698780
2012-03-12,14.86,16.51,13.75,14.80,26371727
2012-03-19,14.81,17.52,14.55,17.12,23462886
2012-03-26,17.13,17.44,15.42,16.00,20964848
2012-04-02,16.07,17.59,15.89,17.43,4498154
2012-04-09,17.52,19.89,16.88,18.94,22971751
2012-04-16,18.99,19.69,18.68,18.98,7754508
2012-04-23,19.22,19.43,18.21,18.67,6341383
2012-04-30,18.56,20.14,17.83,17.98,4635699
2012-05-07,17.59,18.83,16.90,17.11,6826261
2012-05-14,17.26,17.59,16.10,16.38,5693774
2012-05-21,16.48,17.43,16.28,16.36,5704548
2012-05-28,16.41,16.74,15.81,15.92,6595003
2012-06-04,16.12,16.48,15.85,15.98,3120564
2012-06-11,16.17,16.28,15.52,15.97,4582048
2012-06-18,15.97,16.35,15.66,15.81,4723490
2012-06-25,15.89,17.48,15.60,15.97,10579686
2012-07-02,16.18,16.96,15.66,15.79,2917034
2012-07-09,15.84,16.71,14.73,15.81,4258960
2012-07-16,15.86,17.34,15.58,16.66,10106563
2012-07-23,16.43,16.76,13.95,15.06,3361383
2012-07-30,15.42,15.73,14.92,15.21,1214136
2012-08-06,15.31,16.85,14.90,15.93,11547429
2012-08-13,16.02,16.37,15.22,15.41,2436027
2012-08-21,15.58,18.06,15.04,17.79,15160444
2012-08-27,17.96,18.32,16.46,16.51,10174264
2012-09-03,16.74,16.88,15.89,16.12,5594396
2012-09-10,16.43,18.97,16.39,17.96,11761926
2012-09-17,18.21,19.86,18.10,19.20,6810932
2012-09-24,19.42,20.81,19.41,19.78,9891717
2012-10-01,19.93,20.60,19.11,19.25,5776598
2012-10-08,19.31,21.29,19.31,20.70,10715153
2012-10-15,20.88,21.16,19.93,20.05,4924130
2012-10-22,20.15,22.03,20.15,20.45,7957445
2012-10-29,20.56,22.53,20.46,21.69,9917690
2012-11-05,21.69,23.48,20.15,21.68,5695013
2012-11-12,21.93,23.56,19.21,23.47,4112293
2012-11-19,23.73,24.92,22.88,22.96,9375253
2012-11-26,23.13,23.62,21.73,21.86,2836546
2012-12-03,22.06,23.87,21.70,22.78,7091880
2012-12-10,22.83,23.24,21.32,21.51,2868016
2012-12-17,21.53,22.47,21.00,21.12,4026334
2012-12-24,21.31,21.80,20.69,21.27,3478464
2012-12-31,21.22,26.34,20.38,24.45,40061138
2013-01-07,24.58,27.10,22.09,24.16,28426151
2013-01-14,24.35,24.79,19.22,19.28,16989842
2013-01-21,19.36,20.30,18.46,18.71,11825112
2013-01-28,18.81,19.44,18.22,18.45,8154665
2013-02-04,18.43,18.74,16.28,17.68,7887188
2013-02-11,17.79,18.37,16.66,16.72,4609777
2013-02-18,16.67,18.76,16.58,17.21,10017675
2013-02-25,17.24,17.34,8.63,8.63,2302495
2013-03-04,7.77,7.77,6.34,6.34,79159
2013-03-11,6.02,6.02,4.91,4.91,377306
2013-03-18,4.67,4.67,3.81,3.81,237503
2013-03-25,3.62,3.62,3.27,3.27,39328
2013-04-01,3.18,3.42,2.81,3.42,13070292
2013-04-08,3.58,3.58,2.97,3.57,6379331
2013-04-15,3.57,4.29,3.45,3.96,5255425
2013-04-22,4.02,4.38,3.74,3.76,3284431
2013-04-29,3.96,3.96,3.44,3.44,1836997
2013-05-06,3.37,3.63,2.91,3.63,5972877
2013-05-13,4.18,4.18,3.43,3.54,2226058
2013-05-20,3.42,3.64,3.06,3.06,7553223
2013-05-27,2.97,3.19,2.66,2.67,2698459
2013-06-03,2.57,2.96,2.55,2.77,1142654
2013-06-10,2.72,2.86,2.21,2.24,1553740
2013-06-17,2.17,2.44,2.05,2.10,1621661
2013-06-24,2.05,2.15,2.01,2.05,1435717
2013-07-01,2.13,2.59,2.03,2.59,505587
2013-07-08,2.60,2.83,2.58,2.81,4850945
2013-07-15,2.83,3.41,2.79,2.93,898648
2013-07-22,2.72,3.02,2.56,2.74,731542
2013-07-29,2.72,2.94,2.33,2.52,707969
2013-08-05,2.70,2.70,2.33,2.51,665815
2013-08-12,2.71,2.78,2.38,2.51,964762
2013-08-19,2.54,3.02,2.48,2.96,685621
2013-08-26,2.95,4.06,2.88,3.88,2600926
2013-09-02,3.80,4.02,3.26,3.68,1457085
2013-09-10,3.80,3.86,3.49,3.54,1438569
2013-09-16,3.57,3.93,3.46,3.56,1195620
2013-09-23,3.53,3.56,3.21,3.36,4155453
2013-09-30,3.26,3.53,3.23,3.47,261064
2013-10-07,3.39,3.49,3.26,3.37,418621
2013-10-14,3.49,3.49,3.26,3.37,135867
2013-10-21,3.36,3.49,3.26,3.33,286431
2013-10-28,3.33,3.44,3.22,3.38,258858
2013-11-05,3.46,3.57,3.27,3.36,209066
2013-11-11,3.41,3.48,3.19,3.22,214046
2013-11-18,3.30,3.75,3.14,3.46,530554
2013-11-25,3.50,4.05,3.49,3.64,601597
2013-12-02,3.83,3.85,3.38,3.45,404686
2013-12-09,3.55,3.63,3.26,3.26,268832
2013-12-16,3.26,3.68,3.18,3.57,8366324
2013-12-23,3.58,4.11,3.45,3.67,7073351
2013-12-30,3.88,4.14,3.57,3.80,717517
2014-01-06,3.98,5.08,3.77,4.10,13084743
2014-01-13,4.34,5.47,4.12,4.74,51794781
2014-01-20,4.79,4.95,3.66,3.72,25702557
2014-01-27,3.72,5.00,3.71,4.17,55474376
2014-02-03,4.26,4.45,3.98,4.01,7344777
2014-02-10,4.03,4.17,3.69,3.75,3646628
2014-02-17,3.78,3.88,3.40,3.69,6221451
2014-02-24,3.71,3.75,3.21,3.37,1356055
2014-03-03,3.43,3.68,3.21,3.34,5876337
2014-03-10,3.37,3.91,3.29,3.84,9670871
2014-03-18,3.85,3.96,3.49,3.53,4668898
2014-03-24,3.59,3.67,3.41,3.47,2499690
2014-03-31,3.42,4.07,3.42,3.84,5474683
2014-04-07,3.87,3.88,3.63,3.65,772612
2014-04-15,3.69,3.71,3.34,3.42,905473
2014-04-21,3.55,4.35,3.30,3.89,9831138
2014-04-28,3.93,4.22,3.75,3.93,4285230
2014-05-05,4.02,4.12,3.65,3.71,1813566
2014-05-12,3.67,4.26,3.67,3.95,4509341
2014-05-19,4.06,5.05,4.02,4.69,5362144
2014-05-26,4.68,4.88,4.27,4.34,4223026
2014-06-02,4.47,5.78,4.47,5.53,15841304
2014-06-09,5.52,5.66,5.19,5.25,3550940
2014-06-16,5.20,6.93,5.13,5.45,37935426
2014-06-23,5.49,5.65,3.70,3.73,35250799
2014-06-30,3.73,3.88,3.49,3.72,2370467
2014-07-07,3.72,3.78,3.14,3.14,2444220
2014-07-14,2.99,3.72,2.98,3.59,2585507
2014-07-21,3.49,3.72,3.33,3.34,368236
2014-07-28,3.33,3.76,3.22,3.76,1176253
2014-08-04,3.72,3.98,3.58,3.60,2545276
2014-08-11,3.58,3.87,3.50,3.52,769503
2014-08-18,3.58,3.80,3.53,3.59,630706
2014-08-25,3.60,3.90,3.57,3.86,2935640
2014-09-01,3.80,4.01,3.74,3.77,683105
2014-09-08,3.79,4.22,3.75,4.11,1271283
2014-09-15,4.05,4.18,3.65,3.75,877100
2014-09-22,3.57,4.47,3.57,4.06,3131906
2014-09-29,4.11,4.11,3.81,3.82,267696
2014-10-07,3.84,4.52,3.28,3.43,8338893
2014-10-13,3.43,3.60,3.22,3.26,1486890
2014-10-20,3.24,4.08,3.24,3.85,7926787
2014-10-27,3.88,3.88,3.51,3.55,991226
2014-11-03,3.57,3.72,3.47,3.54,1098784
2014-11-10,3.51,4.08,3.37,4.08,5154047
2014-11-17,4.13,4.26,3.74,3.95,4878428
2014-11-24,3.91,4.04,3.51,3.66,1636267
2014-12-01,3.72,4.81,3.64,4.49,9507275
2014-12-08,4.51,4.75,4.11,4.22,3649105
2014-12-15,4.13,4.98,3.91,4.50,6763566
2014-12-22,4.38,4.68,4.26,4.30,1797218
2014-12-29,4.31,4.84,4.08,4.31,2880506
2015-01-05,4.40,4.61,3.98,4.07,2334546
2015-01-12,4.18,4.96,3.86,4.46,13017842
2015-01-19,4.43,4.65,4.12,4.20,2371009
2015-01-27,4.27,5.65,4.12,5.36,15351162
2015-02-02,4.96,5.55,4.81,4.86,2453085
2015-02-09,4.85,5.03,4.67,4.80,766496
2015-02-16,4.81,4.88,4.62,4.67,712678
2015-02-23,4.77,5.07,4.42,4.73,5376931
2015-03-02,4.68,4.77,4.28,4.43,644951
2015-03-09,4.46,5.22,4.26,4.48,7864453
2015-03-16,4.57,5.81,4.50,5.24,14016603
2015-03-23,5.20,6.35,4.65,5.48,16684650
2015-03-30,5.56,5.74,5.27,5.50,2520954
2015-04-06,5.58,5.87,5.48,5.71,3573868
2015-04-13,5.67,5.81,5.29,5.33,2329991
2015-04-20,5.36,5.79,4.84,5.25,3738832
2015-04-27,5.33,5.41,4.67,4.73,1650834
2015-05-04,4.77,4.94,3.95,4.56,2917756
2015-05-11,4.65,4.71,4.17,4.27,1123868
2015-05-18,4.20,4.81,4.12,4.36,4257721
2015-05-25,4.34,5.33,4.34,4.89,6127157
2015-06-01,4.78,5.10,4.05,4.56,4956658
2015-06-08,4.63,5.63,4.63,5.25,12219050
2015-06-15,5.21,5.58,5.05,5.08,2245361
2015-06-22,5.05,5.50,5.05,5.18,4995289
2015-06-29,5.05,5.43,4.96,5.26,3462413
2015-07-06,5.30,5.72,5.04,5.47,3208420
2015-07-13,5.50,5.66,5.24,5.27,4727154
2015-07-20,5.29,6.06,5.21,5.89,7529211
2015-07-27,5.88,7.70,5.74,7.46,27087282
2015-08-03,7.57,11.11,7.56,11.11,37079732
2015-08-10,11.21,12.63,10.21,10.89,25716157
2015-08-17,10.97,12.19,10.85,11.51,8303319
2015-08-24,11.01,11.41,8.60,10.17,5343358
2015-08-31,10.24,11.32,9.31,10.54,7642756
2015-09-07,10.54,11.68,10.48,10.63,7575222
2015-09-14,10.77,14.72,10.66,13.36,77811098
2015-09-21,13.49,17.65,13.45,15.48,113498440
2015-09-28,15.51,16.57,13.03,13.09,67707270
2015-10-05,13.25,18.40,13.11,17.98,161239004
2015-10-12,17.98,18.90,15.87,17.84,75492216
2015-10-19,17.96,21.48,17.45,20.99,117943330
2015-10-26,21.00,23.31,20.17,22.67,84071051
2015-11-02,22.57,22.91,19.01,19.14,44344356
2015-11-09,18.60,20.49,18.37,19.87,19622676
2015-11-16,19.91,22.00,19.29,20.66,32730297
2015-11-23,20.76,22.48,19.86,21.50,19983261
2015-11-30,21.57,22.47,20.03,20.11,20443597
2015-12-07,20.31,21.24,19.74,20.90,19882579
2015-12-14,20.76,22.05,20.54,21.64,12260945
2015-12-21,21.69,24.64,21.60,24.44,30331443
2015-12-28,24.60,26.58,21.70,22.13,59768715
2016-01-04,21.87,21.96,20.73,20.75,12256520
2016-01-11,20.77,22.16,18.60,18.86,17033376
2016-01-18,18.88,19.76,13.69,15.49,14319331
2016-01-25,15.80,17.48,15.60,16.95,11607453
2016-02-01,17.19,19.95,15.81,17.42,27002704
2016-02-08,17.88,18.67,13.53,14.65,17809666
2016-02-15,14.96,21.06,14.96,20.41,31329107
2016-02-22,20.31,24.55,20.31,22.91,49167585
2016-02-29,22.55,24.53,20.23,21.82,20029853
2016-03-08,21.87,24.40,18.77,19.15,64122989
2016-03-14,19.19,19.99,15.11,16.23,137608961
2016-03-21,16.36,16.62,14.20,15.12,63638215
2016-03-28,15.23,16.88,15.00,15.67,65093622
2016-04-04,15.69,18.17,15.11,18.02,48844716
2016-04-11,18.06,20.10,17.60,18.60,53158900
2016-04-18,18.76,20.34,18.08,20.08,32177846
2016-04-25,20.18,22.78,19.69,22.36,64949690
2016-05-02,22.24,25.15,22.20,24.65,53158320
2016-05-09,24.79,26.96,24.17,24.76,56347153
2016-05-16,24.87,26.51,24.58,25.87,27587063
