Date,Open,High,Low,Close,Volume
2018-08-27,66.00,75.90,49.00,51.40,120264
2018-09-03,49.10,53.00,41.20,41.90,123574
2018-09-10,41.35,53.20,37.10,50.85,199426
2018-09-17,49.80,52.45,45.10,50.25,42698
2018-09-24,50.00,50.00,40.10,40.25,108406
2018-10-01,34.00,40.90,34.00,39.00,24076
2018-10-08,37.00,39.00,31.50,38.10,44964
2018-10-15,40.00,45.00,36.50,39.55,55422
2018-10-22,39.60,42.00,38.00,38.65,55665
2018-10-29,38.65,41.85,37.00,38.45,21400
2018-11-05,37.75,40.80,37.50,38.65,17712
2018-11-12,39.00,45.60,37.00,37.30,17265
2018-11-19,37.40,40.00,36.95,37.80,14348
2018-11-26,38.30,38.95,35.00,37.00,17955
2018-12-03,39.00,39.00,34.50,36.00,24554
2018-12-10,35.90,38.00,32.50,37.00,18128
2018-12-17,37.60,42.90,37.10,41.50,51453
2018-12-24,41.70,42.00,36.60,41.15,23035
2018-12-31,40.50,44.90,39.05,42.80,43839
2019-01-07,44.50,44.50,38.20,42.70,21067
2019-01-14,42.70,43.90,41.35,42.45,21826
2019-01-21,42.80,54.00,41.80,48.25,394349
2019-01-28,48.35,50.05,44.60,45.50,78146
2019-02-04,45.50,45.50,39.10,40.30,33850
2019-02-11,39.95,42.95,37.20,38.90,22385
2019-02-18,39.50,42.50,38.30,39.80,53064
2019-02-25,40.00,40.40,36.30,38.00,56124
2019-03-05,38.05,42.50,37.65,40.85,90016
2019-03-11,40.05,42.90,40.00,40.65,97333
2019-03-18,41.10,41.10,39.60,40.05,15723
2019-03-25,37.50,41.50,35.50,37.95,121209
2019-04-01,38.30,39.50,37.00,37.75,34104
2019-04-08,38.05,38.10,36.10,37.15,35796
2019-04-15,37.40,39.00,35.15,36.75,17352
2019-04-22,36.55,37.35,33.55,35.85,29967
2019-04-30,41.85,44.00,38.00,39.75,391883
2019-05-06,40.30,40.30,36.20,37.40,65284
2019-05-13,37.70,38.90,35.15,35.85,47477
2019-05-20,36.95,38.90,36.00,37.35,43386
2019-05-27,37.50,38.70,35.80,36.15,43618
2019-06-03,37.25,37.30,32.65,34.05,50525
2019-06-10,36.00,36.00,32.65,32.70,16783
2019-06-17,32.45,33.70,27.10,28.60,61111
2019-06-24,28.65,36.65,26.10,33.85,309985
2019-07-01,33.20,33.20,29.50,30.60,45630
2019-07-08,30.05,31.50,27.00,27.60,69101
2019-07-15,27.20,28.65,23.50,24.00,50473
2019-07-22,22.75,26.60,20.50,26.60,85739
