Date,Open,High,Low,Close,Volume
2008-01-01,160.00,264.20,34.20,37.75,38257133
2009-01-01,37.00,81.15,24.15,67.75,8337988
2010-01-04,87.35,204.00,79.55,139.25,10836130
2011-01-03,138.00,138.50,64.20,65.35,4893992
2012-01-02,72.00,102.05,45.60,64.50,5024188
2013-01-01,65.00,68.40,33.10,51.35,3249303
2014-01-01,53.15,143.45,43.40,117.50,32303768
2015-01-01,117.05,164.65,87.00,98.25,21519085
2016-01-01,98.60,177.65,64.55,159.80,25578283
2017-01-02,160.00,292.80,122.70,246.60,40188241
2018-01-01,242.00,255.00,85.55,101.00,9560189
2019-01-01,100.70,111.80,41.60,65.35,9487521
2020-01-01,65.20,118.40,34.00,103.25,16129856
2021-01-01,103.00,193.90,75.65,144.85,45437662
2022-01-03,145.90,242.70,106.10,206.45,36540074
2023-01-02,207.80,227.90,143.50,204.55,32861094
2024-01-01,203.00,406.95,192.10,290.85,55554433
2025-01-01,294.55,459.90,220.11,326.90,21765583
2026-01-01,331.00,524.75,285.35,472.05,7961059
