Date,Open,High,Low,Close,Volume
2003-01-01,14.80,15.65,7.60,12.25,12020362
2004-01-01,12.25,14.90,4.50,14.20,57239928
2005-01-03,14.80,18.00,8.10,10.90,152244983
2006-01-02,11.15,15.40,7.50,8.85,60461061
2007-01-02,8.95,104.00,8.75,88.05,86273180
2008-01-01,88.50,105.00,11.65,15.10,64841583
2009-01-01,15.50,27.35,10.00,21.50,46979051
2010-01-04,21.90,30.55,9.30,11.00,292698100
2011-01-03,11.10,11.50,3.65,3.90,39785117
2012-01-02,4.05,7.60,3.50,4.90,36342758
2013-01-01,5.00,5.75,2.40,3.00,23634667
2014-01-01,3.15,5.15,2.05,2.95,46541949
2015-01-01,2.90,4.20,2.35,3.75,35197110
2016-01-01,3.85,7.30,3.15,3.95,57162196
2017-01-02,4.00,9.20,3.95,7.50,77676365
2018-01-01,7.55,8.45,3.90,4.95,50262204
2019-01-01,5.00,5.60,1.35,1.90,43234971
2020-01-01,1.95,4.10,1.40,3.30,27701060
2021-01-01,3.30,5.10,1.90,5.10,53891545
2022-01-03,5.35,10.70,4.40,5.10,77564137
2023-01-02,5.30,9.80,3.50,8.85,87856150
2024-01-01,8.85,15.40,7.55,9.90,156910214
2025-01-01,9.91,10.54,5.31,6.37,32452823
2026-01-01,6.38,6.45,3.61,4.35,19475239
