Date,Open,High,Low,Close,Volume
2001-01-01,7.52,9.62,4.05,4.05,333969
2002-01-01,4.05,6.54,3.42,4.59,2803543
2003-01-01,5.16,33.61,4.64,29.95,15607050
2004-01-01,30.15,100.24,23.73,98.34,52302923
2005-01-03,100.16,287.13,99.65,263.70,167333326
2006-01-02,265.56,481.29,173.50,185.75,391368975
2007-01-02,186.64,260.07,97.12,241.99,587501190
2008-01-01,243.22,336.96,32.09,61.56,822646690
2009-01-01,61.65,203.99,33.06,189.93,1390930315
2010-01-04,190.86,205.00,80.95,100.37,645269305
2011-01-03,101.34,104.68,23.10,23.80,430682005
2012-01-02,23.80,37.50,23.35,25.15,673431458
2013-01-01,25.25,25.60,11.85,14.15,452183102
2014-01-01,14.15,32.60,11.95,18.90,627945336
2015-01-01,19.00,22.70,10.95,17.80,472710875
2016-01-01,18.00,24.20,12.00,14.00,806352937
2017-01-02,14.20,18.45,13.05,15.40,1088743163
2018-01-01,15.60,18.80,5.60,8.70,975736434
2019-01-01,8.70,10.20,5.10,6.55,436852444
2020-01-01,6.60,8.30,2.35,6.15,735055977
2021-01-01,6.20,24.65,5.90,15.15,2191878737
2022-01-03,15.10,22.35,8.35,17.20,3053763790
2023-01-02,17.20,35.85,11.45,27.80,4468377164
2024-01-01,27.90,46.10,24.75,30.36,4716920655
2025-01-01,30.35,31.71,16.50,18.56,2029344604
2026-01-01,18.56,26.00,14.85,19.53,2834967139
