Date,Open,High,Low,Close,Volume
2002-01-01,115.10,115.95,64.00,95.75,546802788
2003-01-01,96.40,122.25,50.10,104.65,507906329
2004-01-01,109.00,155.00,50.40,129.35,340577420
2005-01-03,131.00,144.80,92.00,107.05,279236549
2006-01-02,107.55,180.90,101.00,146.25,209786106
2007-01-02,146.00,299.95,128.00,278.25,195781425
2008-01-01,279.00,316.45,144.00,207.55,67873253
2009-01-01,206.50,395.00,204.50,387.85,32557789
2010-01-04,387.00,477.00,378.00,416.65,32010347
2011-01-03,417.00,436.55,29.25,36.70,690829410
2012-01-02,36.65,61.85,23.80,27.35,215255205
2013-01-01,27.50,29.20,10.95,19.85,55561786
2014-01-01,20.00,34.30,13.35,16.40,57142591
2015-01-01,16.50,19.30,10.05,16.20,39067894
2016-01-01,15.75,24.60,10.60,16.70,84999411
2017-01-02,16.75,20.15,12.50,17.25,83162510
2018-01-01,17.50,19.70,5.05,5.70,36669337
2019-01-01,5.60,8.60,1.30,1.65,18184412
2020-01-01,1.60,6.10,0.90,6.10,17142432
2021-01-01,6.40,31.65,4.80,24.95,92358904
2022-01-03,26.15,27.45,6.80,8.00,370168605
2023-01-02,8.20,10.95,4.70,8.90,157046194
2024-01-01,10.00,19.45,9.20,12.32,329299449
2025-01-01,12.50,13.00,7.59,8.04,181019215
2026-01-01,8.01,9.32,4.91,7.09,62378993
