Date,Open,High,Low,Close,Volume
2012-01-02,200.00,200.85,188.25,193.70,41372887
2013-01-01,194.70,216.00,126.30,168.75,127173667
2014-01-01,169.50,371.90,161.60,336.90,251755497
2015-01-01,333.50,499.65,329.85,428.10,568812374
2016-01-01,428.00,434.00,301.50,343.45,505681114
2017-01-02,344.95,482.80,281.75,378.75,908236252
2018-01-01,379.90,383.45,242.25,259.00,760784535
2019-01-01,259.95,335.00,176.35,252.50,1375337554
2020-01-01,254.00,258.45,120.05,229.90,2702083517
2021-01-01,230.70,332.80,194.10,248.30,1309100988
2022-01-03,248.00,278.10,181.20,190.45,924362440
2023-01-02,191.50,203.00,135.15,199.05,2011610886
2024-01-01,198.10,460.35,195.50,341.80,4940772810
2025-01-01,340.00,434.70,312.55,418.75,1831849891
2026-01-01,421.05,481.50,363.50,375.90,1113052793
