Date,Open,High,Low,Close,Volume
2006-01-02,319.00,350.00,262.50,265.55,381458
2007-01-02,255.00,745.00,195.00,668.05,4044864
2008-01-01,669.00,1085.05,195.25,249.45,1662451
2009-01-01,238.00,705.00,212.50,541.60,5817446
2010-01-04,549.90,668.80,449.00,518.60,24737026
2011-01-03,518.20,535.00,285.00,286.40,4257836
2012-01-02,289.40,360.00,226.05,253.00,2121448
2013-01-01,253.05,272.50,142.60,195.20,1548090
2014-01-01,196.00,304.00,161.15,171.15,4019494
2015-01-01,171.15,202.90,104.15,136.20,3075495
2016-01-01,135.10,216.40,105.00,168.10,15451051
2017-01-02,168.00,189.80,133.30,173.85,19493792
2018-01-01,175.25,234.95,109.00,113.05,24794433
2019-01-01,113.50,118.00,58.95,81.40,6464280
2020-01-01,81.00,127.70,40.55,86.40,9894668
2021-01-01,87.40,167.95,79.80,131.75,21782392
2022-01-03,131.75,350.50,131.25,294.30,41347818
2023-01-02,292.00,915.00,229.80,736.90,33884181
2024-01-01,752.00,859.85,520.00,770.95,20026472
2025-01-01,775.00,990.35,490.50,573.70,61808530
2026-01-01,578.85,704.40,440.10,594.85,318373351
