Date,Open,High,Low,Close,Volume
2001-01-01,20.00,23.20,7.65,13.40,97140940
2002-01-01,13.78,32.50,12.73,24.94,89301550
2003-01-01,28.48,90.00,25.31,82.94,55990620
2004-01-01,83.20,112.00,63.02,109.31,13758595
2005-01-03,108.54,197.00,94.20,188.46,21826240
2006-01-02,192.94,417.90,192.00,388.70,38994928
2007-01-02,396.00,945.00,326.65,819.10,16321980
2008-01-01,839.00,860.00,150.00,179.90,20125580
2009-01-01,180.50,646.70,150.00,609.05,28034066
2010-01-04,609.90,930.00,556.05,871.55,20097957
2011-01-03,879.90,908.85,380.60,393.40,24436087
2012-01-02,399.90,691.00,388.00,616.90,17837593
2013-01-01,618.00,716.60,530.00,702.10,14623343
2014-01-01,701.15,1132.00,620.00,1068.15,14491156
2015-01-01,1061.30,1317.95,827.00,904.45,14445614
2016-01-01,918.80,949.00,690.00,743.60,10608055
2017-01-02,745.05,1250.00,731.15,1223.75,13850358
2018-01-01,1223.75,1360.00,873.05,1120.25,14043667
2019-01-01,1108.00,1198.00,927.40,1082.60,18462152
2020-01-01,1086.65,1119.90,570.00,907.95,22381513
2021-01-01,910.90,1943.80,902.00,1786.90,25041733
2022-01-03,1786.90,2679.00,1651.00,1968.20,22218905
2023-01-02,1978.00,3230.00,1872.00,3081.50,18098806
2024-01-01,3099.70,5839.95,2977.00,4039.75,40786434
2025-01-01,4061.65,4316.95,2742.70,3022.60,40262370
2026-01-01,3023.10,5277.80,2749.80,3551.90,43218055
