Date,Open,High,Low,Close,Volume
2001-01-01,25.80,28.50,3.52,11.38,343695700
2002-01-01,11.40,18.30,4.38,5.55,597964950
2003-01-01,5.20,6.18,2.50,5.07,114053300
2004-01-01,5.16,5.63,2.55,4.78,108432400
2005-01-03,4.94,5.48,3.21,4.17,161431300
2006-01-02,4.25,4.58,1.76,2.62,90238100
2007-01-02,2.61,11.81,2.40,11.19,125135090
2008-01-01,11.35,14.24,1.86,2.60,47436180
2009-01-01,2.52,5.79,2.12,5.05,78487370
2010-01-04,5.05,6.30,3.41,4.00,142823340
2011-01-03,4.00,4.49,2.31,4.08,52850090
2012-01-02,4.00,8.89,3.91,8.31,26381290
2013-01-01,8.49,9.04,3.80,3.80,6490750
2014-01-01,3.99,8.35,3.25,5.43,42274480
2015-01-01,5.33,7.08,3.42,6.30,37880170
2016-01-01,6.30,8.60,5.10,6.13,34288430
2017-01-02,6.12,15.94,5.60,11.70,57964540
2018-01-01,12.10,14.98,5.86,6.27,41736070
2019-01-01,6.19,11.39,5.21,9.00,32866630
2020-01-01,9.05,35.41,7.20,31.76,77438510
2021-01-01,34.00,189.90,33.32,184.62,57280920
2022-01-03,188.20,262.88,125.01,176.47,28578660
2023-01-02,176.00,399.35,143.00,341.90,58723346
2024-01-01,343.50,950.00,335.95,761.20,100890951
2025-01-01,760.00,760.50,483.00,552.25,63145876
2026-01-01,557.80,741.00,481.15,657.70,81030780
