Date,Open,High,Low,Close,Volume
2001-12-03,3301.05,3500.20,3100.57,3262.33,277532000
2002-01-01,3262.01,3466.73,3236.76,3311.03,468060000
2002-02-01,3334.69,3758.11,3290.00,3562.31,401954000
2002-03-01,3551.56,3758.27,3454.27,3469.35,256086000
2002-04-01,3482.94,3538.49,3296.88,3338.16,256135000
2002-05-01,3361.33,3478.02,3097.73,3125.73,246319000
2002-06-03,3162.27,3377.88,3148.57,3244.70,250117000
2002-07-01,3246.44,3366.74,2932.35,2987.65,293205000
2002-08-01,2998.46,3185.08,2931.78,3181.23,280358000
2002-09-02,3206.81,3227.62,2973.97,2991.36,321328000
2002-10-01,2976.04,3038.92,2828.48,2949.32,324009000
2002-11-01,2956.94,3245.98,2928.63,3228.82,374557000
2002-12-02,3247.60,3413.83,3186.62,3377.28,334305000
2003-01-01,3383.85,3416.92,3199.18,3250.38,321348000
2003-02-03,3260.04,3341.61,3218.37,3283.66,280111000
2003-03-03,3301.67,3311.57,3039.83,3048.72,258364000
2003-04-01,3037.54,3221.90,2904.44,2959.79,322341000
2003-05-01,2949.04,3200.48,2934.78,3180.75,275653000
2003-06-02,3176.56,3632.84,3170.38,3607.13,302371000
2003-07-01,3617.74,3835.75,3534.06,3792.61,482900000
2003-08-01,3800.73,4277.64,3722.08,4244.73,512790000
2003-09-01,4248.07,4473.57,4097.55,4453.24,584273000
2003-10-01,4452.07,4951.11,4432.93,4906.87,731098000
2003-11-03,4946.93,5135.00,4736.70,5044.82,594244000
2003-12-01,5086.86,5920.76,5082.82,5838.96,598027000
2004-01-01,5872.48,6249.60,5567.68,5695.67,761712000
2004-02-03,5715.46,6082.80,5550.17,5667.51,725419000
2004-03-01,5649.30,5951.03,5324.78,5590.60,729523000
2004-04-01,5599.12,5979.25,5599.12,5655.09,475571000
2004-05-03,5645.86,5772.64,4227.50,4759.62,645927000
2004-06-01,4792.01,5012.52,4613.94,4795.46,639113000
2004-07-01,4813.76,5200.85,4723.04,5170.32,590422000
2004-08-02,5193.25,5269.22,5022.29,5192.08,576071000
2004-09-01,5202.16,5638.79,5178.57,5582.18,458150000
2004-10-01,5587.46,5803.82,5558.14,5672.27,369657000
2004-11-01,5678.65,6248.43,5649.03,6234.29,521274000
2004-12-01,6261.93,6617.15,6176.09,6602.69,482294000
2005-01-03,6626.49,6696.31,6069.33,6555.94,424808000
2005-02-01,6565.21,6720.94,6508.33,6713.86,446140000
2005-03-01,6725.92,6954.86,6321.31,6492.82,483277000
2005-04-01,6506.60,6649.42,6118.42,6154.44,266675000
2005-05-02,6183.07,6772.74,6141.37,6715.11,250726000
2005-06-01,6729.39,7228.21,6647.36,7193.85,333046000
2005-07-01,7165.45,7708.59,7123.11,7635.42,280822000
2005-08-01,7632.01,7921.39,7537.50,7805.43,337776000
2005-09-01,7818.90,8722.17,7818.90,8634.48,322818000
2005-10-03,8662.99,8821.84,7656.15,7892.32,452965596
2005-11-01,7953.28,9032.03,7891.23,8788.81,334625000
2005-12-01,8813.82,9434.82,8770.59,9397.93,494018000
2006-01-02,9422.49,9945.19,9158.44,9919.89,412604000
2006-02-01,9959.24,10422.65,9713.51,10370.24,348352000
2006-03-01,10368.75,11356.95,10344.26,11279.96,456757000
2006-04-03,11342.96,12102.00,11008.43,11851.93,403522000
2006-05-02,12103.78,12631.54,9826.91,10398.61,531859000
2006-06-01,10472.46,10626.84,8799.01,10609.25,569811000
2006-07-03,10646.56,10940.45,9875.35,10743.88,446298698
2006-08-01,10737.50,11794.43,10646.65,11699.05,342816162
2006-09-01,11699.57,12485.17,11445.19,12454.42,294697303
2006-10-03,12479.98,13075.85,12178.83,12961.90,265680053
2006-11-01,12992.62,13799.02,12937.30,13696.31,384367920
2006-12-01,13729.67,14035.30,12801.65,13786.91,282066456
2007-01-02,13827.77,14325.92,13303.22,14090.92,298563000
2007-02-01,14124.36,14723.88,12800.91,12938.09,309452642
2007-03-01,13013.74,13386.95,12344.44,13072.10,365443486
2007-04-02,12811.93,14383.72,12425.52,13872.37,337231000
2007-05-03,13987.77,14576.37,13562.95,14544.46,310102000
2007-06-01,14610.28,14683.36,13946.99,14650.51,290099000
2007-07-02,14685.16,15868.85,14638.88,15550.99,389699000
2007-08-01,15344.02,15542.40,13779.88,15318.60,352556000
2007-09-03,15401.99,17361.47,15323.05,17291.10,389543000
2007-10-01,17356.99,20238.16,17144.58,19837.99,640992000
2007-11-01,20055.13,20156.59,18182.83,19363.19,357766000
2007-12-03,19547.09,20484.28,18886.40,20286.99,235568000
2008-01-01,20323.28,21206.77,15332.42,17648.71,466105000
2008-02-01,17820.67,18895.34,16457.74,17578.72,325931000
2008-03-03,17227.56,17227.56,14677.24,15644.44,444213000
2008-04-01,15771.72,17480.74,15301.85,17287.31,397582000
2008-05-02,17560.15,17735.70,16196.02,16415.57,384297000
2008-06-02,16591.46,16632.72,13405.54,13461.60,489041000
2008-07-01,13480.02,15129.99,12514.99,14355.75,669647000
2008-08-01,14064.26,15579.78,14002.43,14564.53,472641000
2008-09-01,14412.99,15107.01,12153.55,12860.43,629468000
2008-10-01,13006.72,13203.86,7697.39,9788.06,872995000
2008-11-03,10209.37,10945.41,8316.39,9092.72,836957000
2008-12-01,9162.94,10188.54,8467.43,9647.31,1166289000
2009-01-01,9719.21,10469.72,8631.60,9424.24,1163145992
2009-02-02,9363.58,9724.87,8619.22,8891.61,653577000
2009-03-02,8762.88,10127.09,8047.17,9708.50,867628000
2009-04-01,9745.77,11492.10,9546.29,11403.25,860065000
2009-05-04,11635.24,14930.54,11621.30,14625.25,1050049008
2009-06-01,14790.89,15600.30,14016.95,14493.84,851684000
2009-07-01,14506.43,15732.17,13219.99,15670.31,801156000
2009-08-03,15670.31,16002.46,14684.45,15666.64,598933000
2009-09-01,15666.64,17142.52,15356.72,17126.84,550408000
2009-10-01,17126.84,17457.26,15805.20,15896.28,561684000
2009-11-03,15854.93,17290.48,15330.56,16926.22,477959000
2009-12-01,16947.46,17530.94,16577.78,17464.81,400115000
2010-01-04,17381.37,17790.33,15982.08,16357.96,391396000
2010-02-01,16339.32,16669.25,15651.99,16429.55,351197000
2010-03-02,16438.45,17793.01,16438.45,17527.77,368509000
2010-04-01,17555.04,18047.86,17276.80,17558.71,259792000
2010-05-03,17536.86,17536.86,15960.15,16944.63,398303000
2010-06-01,16944.63,17919.62,16318.39,17700.90,500169000
2010-07-01,17700.90,18237.56,17395.58,17868.29,330502000
2010-08-02,17931.66,18475.27,17819.99,17971.12,311126000
2010-09-01,18027.43,20267.98,18027.43,20069.12,334878000
2010-10-01,20101.58,20854.55,19768.96,20032.34,288845000
2010-11-01,20106.16,21079.77,18954.82,19521.25,289610000
2010-12-01,19520.78,20552.03,19074.57,20509.09,292270000
2011-01-03,20531.43,20664.80,18038.48,18327.76,312666000
2011-02-01,18425.18,18690.97,17295.62,17823.40,434223000
2011-03-01,17982.28,19575.16,17792.17,19445.22,375020000
2011-04-01,19463.11,19811.14,18976.19,19135.96,231013000
2011-05-02,19224.05,19253.87,17786.13,18503.28,286379000
2011-06-01,18527.12,18873.39,17314.38,18845.87,270022000
2011-07-01,18974.96,19131.70,18131.86,18197.20,249496000
2011-08-01,18352.23,18440.07,15765.53,16676.75,295637000
2011-09-02,16963.67,17211.80,15801.01,16453.76,333793000
2011-10-03,16255.97,17908.13,15745.43,17705.01,308551000
2011-11-01,17540.55,17702.26,15478.69,16123.46,351768000
2011-12-01,16555.93,17003.71,15135.86,15454.92,370980000
2012-01-02,15534.67,17258.97,15358.02,17193.55,350444000
2012-02-01,17179.64,18523.78,17061.55,17752.68,431546000
2012-03-01,17714.62,18040.69,16920.61,17404.20,335524000
2012-04-02,17429.96,17664.10,17010.16,17318.81,212773000
2012-05-02,17370.93,17432.33,15809.71,16218.53,250023000
2012-06-01,16217.48,17448.48,15748.98,17429.98,219920000
2012-07-02,17438.68,17631.19,16598.48,17236.18,210389000
2012-08-01,17244.44,17972.54,17026.97,17380.75,213147000
2012-09-03,17465.60,18869.94,17250.80,18762.74,214097000
2012-10-01,18784.64,19137.29,18393.42,18505.38,200763000
2012-11-01,18487.90,19372.70,18255.69,19339.90,162911000
2012-12-03,19342.83,19612.18,19149.03,19426.71,175125000
2013-01-01,19513.45,20203.66,19508.93,19894.98,211406000
2013-02-01,19907.21,19966.69,18793.97,18861.54,179773000
2013-03-01,18876.68,19754.66,18568.43,18835.77,194438000
2013-04-01,18890.81,19622.68,18144.22,19504.18,183422000
2013-05-02,19459.33,20443.62,19451.26,19760.30,197658000
2013-06-03,19859.22,19860.19,18467.16,19395.81,197779000
2013-07-01,19352.48,20351.06,19126.82,19345.70,214861000
2013-08-01,19443.29,19569.20,17448.71,18619.72,304519000
2013-09-02,18691.83,20739.69,18166.17,19379.77,264334000
2013-10-01,19452.05,21205.44,19264.72,21164.52,235441000
2013-11-01,21158.81,21293.88,20137.67,20791.93,193103000
2013-12-02,20771.27,21483.74,20568.70,21170.68,198455000
2014-01-01,21222.19,21409.66,20343.78,20513.85,204916000
2014-02-03,20479.03,21140.51,19963.12,21120.12,166148000
2014-03-03,21079.27,22467.21,20920.98,22386.27,365995000
2014-04-01,22455.23,22939.31,22197.51,22417.80,155712000
2014-05-02,22493.59,25375.63,22277.04,24217.34,321357000
2014-06-02,24368.96,25735.87,24270.20,25413.78,271554000
2014-07-01,25469.94,26300.17,24892.00,25894.97,232072000
2014-08-01,25753.92,26674.38,25232.82,26638.11,156892000
2014-09-01,26733.18,27354.99,26220.49,26630.51,178163000
2014-10-01,26681.47,27894.32,25910.77,27865.83,147404000
2014-11-03,27943.04,28822.37,27739.56,28693.99,164774000
2014-12-01,28748.22,28809.64,26469.42,27499.42,211293000
2015-01-01,27485.77,29844.16,26776.12,29182.95,238172000
2015-02-02,29143.63,29560.32,28044.49,29361.50,277393000
2015-03-02,29533.42,30024.74,27248.45,27957.49,264351000
2015-04-01,27954.86,29094.61,26897.54,27011.31,224793000
2015-05-04,27204.63,28071.16,26423.99,27828.44,223899000
2015-06-01,27770.79,27968.75,26307.07,27780.83,249176000
2015-07-01,27823.65,28578.33,27416.39,28114.56,223848000
2015-08-03,28089.09,28417.59,25298.42,26283.09,295645000
2015-09-01,26127.04,26471.82,24833.54,26154.83,322596000
2015-10-01,26344.19,27618.14,26168.71,26656.83,250130000
2015-11-02,26641.69,26824.30,25451.42,26145.67,202134000
2015-12-01,26201.27,26256.42,24867.73,26117.54,225281000
2016-01-01,26101.50,26197.27,23839.76,24870.69,233405000
2016-02-01,24982.22,25002.32,22494.61,23002.00,375735000
2016-03-01,23153.32,25479.62,23133.18,25341.86,311012000
2016-04-01,25301.70,26100.54,24523.20,25606.62,243866000
2016-05-02,25565.44,26837.20,25057.93,26667.96,289159000
2016-06-01,26684.46,27105.41,25911.33,26999.72,253198000
2016-07-01,27064.33,28240.20,27034.14,28051.86,274424000
2016-08-01,28083.08,28532.25,27627.97,28452.17,289583000
2016-09-01,28459.09,29077.28,27716.78,27865.96,266891000
2016-10-03,27997.29,28477.65,27488.30,27941.51,235073000
2016-11-01,27966.18,28029.80,25717.93,26652.81,268940000
2016-12-01,26756.66,26803.76,25753.74,26626.46,194897000
2017-01-02,26711.15,27980.39,26447.06,27655.96,207489000
2017-02-01,27669.08,29065.31,27590.10,28743.32,247804000
2017-03-01,28849.04,29824.62,28716.21,29620.50,390699000
2017-04-03,29737.73,30184.22,29241.48,29918.40,200873000
2017-05-02,30021.49,31255.28,29804.12,31145.80,291342000
2017-06-01,31117.09,31522.87,30680.66,30921.61,339427000
2017-07-03,31156.04,32672.66,31017.11,32514.94,266436000
2017-08-01,32579.80,32686.48,31128.02,31730.49,248688000
2017-09-01,31769.34,32524.11,31081.83,31283.72,241074000
2017-10-03,31537.81,33340.17,31440.48,33213.13,216176000
2017-11-01,33344.23,33865.95,32683.59,33149.35,740172008
2017-12-01,33247.66,34137.97,32565.16,34056.83,260497000
2018-01-01,34059.99,36443.98,33703.37,35965.02,394287000
2018-02-01,36048.99,36256.83,33482.81,34184.04,353437000
2018-03-01,34141.22,34278.63,32483.84,32968.68,250533000
2018-04-02,33030.87,35213.30,32972.56,35160.36,234705000
2018-05-02,35328.91,35993.53,34302.89,35322.38,246590000
2018-06-01,35373.98,35877.41,34784.68,35423.48,331128000
2018-07-02,35545.22,37644.59,35106.57,37606.58,281826000
2018-08-01,37643.87,38989.65,37128.99,38645.07,271286000
2018-09-03,38915.91,38934.35,35985.63,36227.14,315588000
2018-10-01,36274.25,36616.64,33291.58,34442.05,455016000
2018-11-01,34650.63,36389.22,34303.38,36194.30,412111000
2018-12-03,36396.69,36554.99,34426.29,36068.33,380929890
2019-01-01,36161.80,36701.03,35375.51,36256.69,439936958
2019-02-01,36311.74,37172.18,35287.16,35867.44,353405634
2019-03-01,36018.49,38748.54,35926.94,38672.91,327939653
2019-04-01,38858.88,39487.45,38460.25,39031.55,322518207
2019-05-02,39036.51,40124.96,36956.10,39714.20,408673850
2019-06-03,39806.86,40312.07,38870.96,39394.64,320972934
2019-07-01,39543.73,40032.41,37128.26,37481.12,458878268
2019-08-01,37387.18,37807.55,36102.35,37332.79,564231580
2019-09-03,37181.76,39441.12,35987.80,38667.33,618943376
2019-10-01,38813.48,40392.22,37415.83,40129.05,903717691
2019-11-01,40196.07,41163.79,40014.23,40793.81,711064536
2019-12-02,41072.94,41809.96,40135.37,41253.74,538196247
2020-01-01,41349.36,42273.87,40476.55,40723.49,208883294
2020-02-01,40753.18,41709.30,38219.97,38297.29,213430366
2020-03-02,38910.95,39083.17,25638.90,29468.49,702008874
2020-04-01,29505.33,33887.25,27500.79,33717.62,346458692
2020-05-04,32748.14,32845.48,29968.45,32424.10,430785749
2020-06-01,32906.05,35706.55,32348.10,34915.80,541978738
2020-07-01,35009.59,38617.03,34927.20,37606.89,442932517
2020-08-03,37595.73,40010.17,36911.23,38628.29,381927250
2020-09-01,38754.00,39359.51,36495.98,38067.93,309871492
2020-10-01,38410.20,41048.05,38410.20,39614.07,323064684
2020-11-02,39880.38,44825.37,39334.92,44149.72,410333377
2020-12-01,44435.83,47896.97,44118.10,47751.33,390448257
2021-01-01,47785.28,50184.01,46160.46,46285.77,349716754
2021-02-01,46617.95,52516.76,46433.65,49099.99,439699690
2021-03-01,49747.71,51821.84,48236.35,49509.15,293123232
2021-04-01,49868.53,50375.77,47204.50,48782.36,249488925
2021-05-03,48356.01,52013.22,48028.07,51937.44,276675214
2021-06-01,52067.51,53126.73,51450.58,52482.71,260149167
2021-07-01,52638.50,53290.81,51802.73,52586.84,210722607
2021-08-02,52901.28,57625.26,52804.08,57552.39,191720867
2021-09-01,57763.53,60412.32,57263.90,59126.36,255739124
2021-10-01,58889.77,62245.43,58551.14,59306.93,250630888
2021-11-01,59577.48,61036.56,56382.93,57064.87,161756923
2021-12-01,57365.85,59203.37,55132.68,58253.82,177405270
2022-01-03,58310.09,61475.15,56409.63,58014.17,175122003
2022-02-01,58672.86,59618.51,54383.20,56247.28,177586353
2022-03-02,55629.30,58890.92,52260.82,58568.51,242112057
2022-04-01,58530.73,60845.10,56009.07,57060.87,163752038
2022-05-02,56429.45,57184.21,52632.48,55566.41,197910665
2022-06-01,55588.27,56432.65,50921.22,53018.94,131733488
2022-07-01,52863.34,57619.27,52094.25,57570.25,215343419
2022-08-01,57823.10,60411.20,57367.47,59537.07,297759062
2022-09-01,58710.53,60676.12,56147.23,57426.92,341497922
