Date,Open,High,Low,Close,Volume
2022-10-10,245.25,257.50,245.25,257.50,354400
2022-10-11,270.35,270.35,270.35,270.35,7200
2022-10-12,283.85,283.85,283.00,283.85,184800
2022-10-13,294.00,298.00,283.85,298.00,110400
2022-10-14,312.90,312.90,305.00,312.65,51200
2022-10-17,328.25,328.25,306.55,308.25,44800
2022-10-18,296.00,318.90,292.85,318.90,19200
2022-10-19,318.90,334.80,318.90,334.80,39200
2022-10-20,342.35,351.50,339.00,351.40,18400
2022-10-21,354.00,368.35,340.00,340.00,12800
2022-10-24,333.00,350.00,325.00,340.65,0
2022-10-25,336.95,336.95,336.95,336.95,800
2022-10-27,340.00,340.00,337.95,338.00,3200
2022-10-28,342.00,343.85,300.00,319.70,8000
2022-10-31,319.70,319.70,300.00,305.00,5600
2022-11-01,275.00,305.00,275.00,305.00,3200
2022-11-02,299.00,299.00,299.00,299.00,800
2022-11-03,245.00,290.00,245.00,280.00,4800
2022-11-04,272.00,275.00,271.10,275.00,9600
2022-11-07,280.00,281.00,254.50,256.85,6400
2022-11-09,264.00,264.00,250.00,250.00,1600
2022-11-10,241.00,286.00,241.00,246.15,15200
2022-11-11,242.00,248.00,231.10,248.00,5600
2022-11-14,235.00,256.00,234.50,245.25,4800
2022-11-15,264.00,264.00,216.40,234.50,20000
2022-11-16,220.05,240.00,220.05,233.00,4000
2022-11-17,240.00,245.00,238.60,238.60,5600
2022-11-21,245.00,249.00,245.00,249.00,1600
2022-11-22,226.05,234.20,226.05,234.20,1600
2022-11-23,238.00,238.00,238.00,238.00,800
2022-11-24,228.00,235.00,228.00,235.00,3200
2022-11-25,238.00,238.00,238.00,238.00,1600
2022-11-28,221.10,234.95,214.00,231.95,10400
2022-11-29,239.50,258.95,239.50,255.00,7200
2022-11-30,249.90,273.00,249.90,273.00,5600
2022-12-01,285.00,285.00,284.90,284.90,1600
2022-12-05,280.00,286.00,280.00,285.90,24000
2022-12-06,270.00,270.00,270.00,270.00,800
2022-12-07,255.00,264.00,255.00,264.00,1600
2022-12-09,250.00,250.00,239.00,249.00,5600
2022-12-12,250.00,280.00,250.00,251.00,3200
2022-12-14,260.00,260.00,260.00,260.00,1600
2022-12-15,255.00,255.00,255.00,255.00,800
2022-12-16,250.00,250.00,245.00,245.00,1600
2022-12-19,245.00,257.00,245.00,257.00,3200
2022-12-20,257.00,259.70,257.00,259.70,1600
2022-12-21,259.00,259.00,250.00,250.00,1600
2022-12-22,240.00,240.00,232.00,240.00,11200
2022-12-23,230.00,230.00,225.00,225.00,2400
2022-12-28,225.00,225.50,225.00,225.25,2400
2022-12-30,235.00,235.00,235.00,235.00,800
2023-01-02,245.00,245.00,245.00,245.00,800
2023-01-03,225.30,225.30,225.30,225.30,800
2023-01-04,225.00,225.00,225.00,225.00,1600
2023-01-05,211.00,211.00,211.00,211.00,800
2023-01-11,220.00,220.00,220.00,220.00,800
2023-01-12,200.00,201.00,188.00,201.00,6400
2023-01-13,234.00,234.00,197.05,199.00,6400
2023-01-17,206.00,207.00,206.00,207.00,1600
2023-01-18,207.90,215.00,207.90,215.00,1600
2023-01-20,208.00,208.00,206.00,206.00,1600
2023-01-23,215.00,215.00,215.00,215.00,800
2023-01-24,215.00,215.00,208.10,208.10,1600
2023-01-25,231.00,231.00,217.50,217.50,3200
2023-01-27,205.00,205.00,205.00,205.00,800
2023-01-30,200.05,200.05,200.00,200.00,1600
2023-02-03,199.95,199.95,175.00,199.90,8000
2023-02-06,175.10,194.50,175.10,194.50,5600
2023-02-07,200.00,200.00,200.00,200.00,800
2023-02-09,187.05,188.10,187.05,188.00,2400
2023-02-16,176.40,176.40,176.40,176.40,800
2023-02-17,171.15,171.15,160.00,160.00,14400
2023-02-20,160.00,160.00,160.00,160.00,800
2023-02-22,142.00,156.00,128.10,155.50,16000
2023-02-23,140.10,160.00,140.10,148.00,19200
2023-02-24,141.05,148.75,131.00,133.65,31200
2023-02-27,134.00,134.00,129.50,130.00,27200
2023-02-28,132.00,135.80,126.00,135.80,44800
2023-03-01,134.00,137.85,127.00,137.65,30400
2023-03-02,148.95,149.00,148.95,149.00,1600
2023-03-03,163.00,167.00,155.00,165.00,68800
2023-03-06,155.00,190.00,155.00,184.90,7200
2023-03-08,184.90,184.90,180.00,180.50,2400
2023-03-09,166.00,166.00,162.45,162.45,10400
2023-03-10,150.00,165.00,150.00,164.00,11200
2023-03-13,155.00,155.00,155.00,155.00,800
2023-03-14,151.00,151.00,150.00,150.00,1600
2023-03-15,151.00,151.00,150.00,150.00,3200
2023-03-16,151.00,151.00,141.05,141.05,1600
2023-03-17,150.00,150.00,150.00,150.00,800
2023-03-20,148.00,148.00,148.00,148.00,6400
2023-03-21,152.00,152.00,152.00,152.00,1600
2023-03-23,152.50,152.50,142.00,142.00,18400
2023-03-24,140.00,140.00,136.00,136.00,2400
2023-03-27,135.10,149.00,135.10,149.00,9600
2023-03-28,149.00,149.00,149.00,149.00,800
2023-03-29,140.00,149.00,137.50,140.50,19200
2023-04-03,154.00,154.00,154.00,154.00,800
2023-04-05,160.00,160.00,160.00,160.00,9600
2023-04-11,152.05,163.00,152.00,163.00,2400
2023-04-12,154.85,170.00,154.85,170.00,1600
2023-04-17,161.50,161.50,161.50,161.50,2400
2023-04-18,153.55,162.00,153.50,155.50,7200
2023-04-25,158.00,158.00,155.50,155.50,34400
2023-04-26,148.05,151.75,147.75,151.75,20800
2023-04-27,147.75,150.00,147.00,147.00,17600
2023-04-28,147.50,147.50,139.65,139.65,7200
2023-05-04,142.00,142.00,142.00,142.00,1600
2023-05-05,134.90,140.00,134.90,134.90,15200
2023-05-08,128.15,128.15,128.15,128.15,8800
2023-05-09,121.75,121.75,121.75,121.75,8800
2023-05-10,115.70,116.00,115.70,115.70,4800
2023-05-11,110.00,121.45,109.95,116.80,11200
2023-05-12,120.00,122.60,120.00,122.60,11200
2023-05-16,117.50,117.50,116.50,116.50,16000
2023-05-17,121.95,121.95,116.00,116.00,1600
2023-05-18,111.00,121.80,110.20,121.80,13600
2023-05-19,122.00,122.00,118.00,118.00,2400
2023-05-22,122.95,123.50,122.95,123.15,11200
2023-05-23,121.00,121.00,121.00,121.00,800
2023-05-24,118.05,118.05,118.00,118.00,1600
2023-05-25,123.90,123.90,123.90,123.90,800
2023-05-26,130.05,130.05,130.00,130.00,6400
2023-05-29,130.00,130.00,130.00,130.00,800
2023-05-30,129.95,129.95,129.95,129.95,800
2023-05-31,131.00,131.00,131.00,131.00,800
2023-06-01,124.45,124.45,124.45,124.45,2400
2023-06-02,130.65,130.65,130.65,130.65,800
2023-06-05,130.65,130.65,130.65,130.65,800
2023-06-07,124.15,124.15,124.15,124.15,800
2023-06-08,118.05,118.05,117.95,118.05,7200
2023-06-09,123.95,123.95,123.95,123.95,2400
2023-06-12,129.75,129.80,129.75,129.80,1600
2023-06-13,125.00,125.00,125.00,125.00,800
2023-06-14,129.00,129.00,129.00,129.00,800
2023-06-20,122.55,122.55,122.55,122.55,2400
2023-06-21,117.20,117.20,116.45,116.45,4800
2023-06-22,111.10,112.00,110.65,110.65,4000
2023-06-28,110.00,110.00,110.00,110.00,800
2023-06-30,115.00,115.00,114.00,114.00,1600
2023-07-03,110.25,118.00,110.25,118.00,2400
2023-07-04,118.00,118.00,118.00,118.00,800
2023-07-05,116.00,123.90,116.00,123.90,3200
2023-07-06,123.00,123.00,123.00,123.00,800
