Date,Open,High,Low,Close,Volume
2025-09-01,210.00,339.70,210.00,296.70,2398400
2025-10-01,292.10,425.00,292.00,316.00,1286400
2025-11-03,316.00,372.30,237.00,244.60,1570400
2025-12-01,243.50,251.00,193.90,237.15,953600
2026-01-01,244.00,259.90,223.00,252.00,486400
2026-02-01,252.00,276.95,208.55,214.25,672800
2026-03-02,221.00,225.00,192.00,198.00,444800
2026-04-01,207.00,335.00,207.00,255.70,532000
2026-05-04,267.00,314.30,261.10,288.50,505600
2026-06-01,290.00,318.00,256.00,298.10,780800
2026-07-01,297.20,417.00,290.95,384.00,1043200
2026-08-03,386.00,544.80,350.00,499.90,1088800
2026-09-01,498.00,545.25,433.00,517.25,396800
